time,rdis
1974-01-01,0.20521
1974-01-02,0.203
1974-01-03,0.19738
1974-01-04,0.1913
1974-01-05,0.18534
1974-01-06,0.17982
1974-01-07,0.17429
1974-01-08,0.16893
1974-01-09,0.16548
1974-01-10,0.16253
1974-01-11,0.16691
1974-01-12,0.16884
1974-01-13,0.1899
1974-01-14,0.18936
1974-01-15,0.19395
1974-01-16,0.18995
1974-01-17,0.18449
1974-01-18,0.17899
1974-01-19,0.3344
1974-01-20,0.29129
1974-01-21,0.29831
1974-01-22,0.59607
1974-01-23,0.44418
1974-01-24,0.33377
1974-01-25,0.71455
1974-01-26,0.98155
1974-01-27,0.92616
1974-01-28,0.81406
1974-01-29,0.57667
1974-01-30,0.70341
1974-01-31,0.67705
1974-02-01,0.51888
1974-02-02,0.45729
1974-02-03,0.43656
1974-02-04,0.42382
1974-02-05,0.41258
1974-02-06,0.40064
1974-02-07,0.38893
1974-02-08,0.37755
1974-02-09,0.36645
1974-02-10,0.35721
1974-02-11,0.35997
1974-02-12,0.35201
1974-02-13,0.34183
1974-02-14,0.34042
1974-02-15,0.34713
1974-02-16,0.34551
1974-02-17,0.35811
1974-02-18,0.35565
1974-02-19,0.37075
1974-02-20,0.37642
1974-02-21,0.36824
1974-02-22,0.35716
1974-02-23,0.34608
1974-02-24,0.51597
1974-02-25,0.45976
1974-02-26,0.39726
1974-02-27,0.3761
1974-02-28,0.36321
1974-03-01,0.36395
1974-03-02,0.35722
1974-03-03,0.3534
1974-03-04,0.34793
1974-03-05,0.34003
1974-03-06,0.33001
1974-03-07,0.3201
1974-03-08,0.31066
1974-03-09,0.30192
1974-03-10,0.29916
1974-03-11,0.30995
1974-03-12,0.30324
1974-03-13,0.29477
1974-03-14,0.28639
1974-03-15,0.27827
1974-03-16,0.27041
1974-03-17,0.26281
1974-03-18,0.25545
1974-03-19,0.26117
1974-03-20,0.3012
1974-03-21,0.30182
1974-03-22,0.30005
1974-03-23,0.31804
1974-03-24,0.32157
1974-03-25,0.31424
1974-03-26,0.30393
1974-03-27,0.29322
1974-03-28,0.29047
1974-03-29,0.28098
1974-03-30,0.275
1974-03-31,0.309
1974-04-01,0.60982
1974-04-02,0.45389
1974-04-03,0.35661
1974-04-04,0.33067
1974-04-05,0.31783
1974-04-06,0.30802
1974-04-07,0.29923
1974-04-08,0.29226
1974-04-09,0.28362
1974-04-10,0.27422
1974-04-11,0.26369
1974-04-12,0.2529
1974-04-13,0.24233
1974-04-14,0.22937
1974-04-15,0.22157
1974-04-16,0.21557
1974-04-17,0.20993
1974-04-18,0.20585
1974-04-19,0.20094
1974-04-20,0.19629
1974-04-21,0.19227
1974-04-22,0.18767
1974-04-23,0.18736
1974-04-24,0.1849
1974-04-25,0.18082
1974-04-26,0.17856
1974-04-27,0.18534
1974-04-28,0.17763
1974-04-29,0.16938
1974-04-30,0.16378
1974-05-01,0.15875
1974-05-02,0.15385
1974-05-03,0.14917
