time,rdis
1978-01-01,0.1806017
1978-01-02,0.17968938
1978-01-03,0.17873421
1978-01-04,0.17774372
1978-01-05,0.17670922
1978-01-06,0.1756321
1978-01-07,0.17451677
1978-01-08,0.17336738
1978-01-09,0.17250574
1978-01-10,0.17098352
1978-01-11,0.16975243
1978-01-12,0.16850315
1978-01-13,0.16723678
1978-01-14,0.16595604
1978-01-15,0.16466346
1978-01-16,0.16336137
1978-01-17,0.16205195
1978-01-18,0.16073719
1978-01-19,0.15977119
1978-01-20,0.15810186
1978-01-21,0.15677853
1978-01-22,0.6257006
1978-01-23,0.4702467
1978-01-24,0.553295
1978-01-25,0.18693057
1978-01-26,0.15166295
1978-01-27,0.15147136
1978-01-28,0.15146162
1978-01-29,0.15156609
1978-01-30,0.15173797
1978-01-31,0.15194365
1978-02-01,0.15215856
1978-02-02,0.15236458
1978-02-03,0.15254831
1978-02-04,0.15269995
1978-02-05,0.15281238
1978-02-06,0.1528806
1978-02-07,0.15290129
1978-02-08,0.15287238
1978-02-09,0.15279283
1978-02-10,0.15332639
1978-02-11,0.2529572
1978-02-12,0.1732198
1978-02-13,0.15200834
1978-02-14,0.15173383
1978-02-15,0.3181611
1978-02-16,1.0835125
1978-02-17,1.2107539
1978-02-18,0.35280725
1978-02-19,0.17650042
1978-02-20,0.16742705
1978-02-21,0.16946079
1978-02-22,0.17607284
1978-02-23,0.1803134
1978-02-24,0.18565913
1978-02-25,0.19008769
1978-02-26,0.24748698
1978-02-27,0.40444675
1978-02-28,0.42383242
1978-03-01,0.36689365
1978-03-02,0.2352636
1978-03-03,0.24501398
1978-03-04,0.22088026
1978-03-05,0.22077265
1978-03-06,0.22392857
1978-03-07,0.22682446
1978-03-08,0.23347293
1978-03-09,0.36116335
1978-03-10,0.29192713
1978-03-11,0.2526881
1978-03-12,0.24669905
1978-03-13,0.2411941
1978-03-14,0.8518699
1978-03-15,0.36459517
1978-03-16,0.3360333
1978-03-17,0.29876602
1978-03-18,0.24555834
1978-03-19,0.38532376
1978-03-20,0.5364639
1978-03-21,0.40627858
1978-03-22,0.39697117
1978-03-23,0.603164
1978-03-24,0.31642443
1978-03-25,0.26667053
1978-03-26,0.2691671
1978-03-27,0.2769353
1978-03-28,0.446614
1978-03-29,0.30489174
1978-03-30,0.34297606
1978-03-31,0.3010205
1978-04-01,0.29212883
1978-04-02,0.5039854
1978-04-03,0.31964985
1978-04-04,0.39169037
1978-04-05,0.35508397
1978-04-06,0.30469814
1978-04-07,0.2999736
1978-04-08,0.34964392
1978-04-09,0.5054016
1978-04-10,0.32656333
1978-04-11,0.3244817
1978-04-12,0.30359674
1978-04-13,0.31392547
1978-04-14,0.3001224
1978-04-15,0.29836637
1978-04-16,0.2972037
1978-04-17,0.29582074
1978-04-18,0.29423723
1978-04-19,0.29240218
1978-04-20,0.29029366
1978-04-21,0.28791904
1978-04-22,0.8808508
1978-04-23,0.53223455
1978-04-24,0.30193204
1978-04-25,0.2786334
1978-04-26,0.27668816
1978-04-27,0.27456856
1978-04-28,0.3236033
1978-04-29,0.4337189
1978-04-30,0.50295293
1978-05-01,0.29210117
1978-05-02,0.26237038
1978-05-03,0.25991702
1978-05-04,0.2573403
1978-05-05,0.254539
1978-05-06,0.25159582
1978-05-07,0.24852969
1978-05-08,0.24516964
1978-05-09,0.24142514
1978-05-10,0.2373629
1978-05-11,0.24636167
1978-05-12,0.23044728
1978-05-13,0.2242335
1978-05-14,0.21951692
1978-05-15,0.28966558
1978-05-16,0.22212926
1978-05-17,0.43986958
1978-05-18,0.26312914
1978-05-19,0.20479427
1978-05-20,0.20833832
1978-05-21,0.18983462
1978-05-22,0.7670582
1978-05-23,0.25531444
1978-05-24,0.5028422
1978-05-25,0.5443639
1978-05-26,0.21079232
1978-05-27,0.16443793
1978-05-28,0.16089375
1978-05-29,0.15737809
1978-05-30,0.15385799
1978-05-31,0.15029302
1978-06-01,0.14668599
1978-06-02,0.14307065
1978-06-03,0.1395014
1978-06-04,0.13599482
1978-06-05,0.13253288
1978-06-06,0.12911095
1978-06-07,0.12577938
1978-06-08,0.12257203
1978-06-09,0.23028941
1978-06-10,0.36637977
1978-06-11,0.44823083
1978-06-12,0.18261951
1978-06-13,0.11209502
1978-06-14,0.15032783
1978-06-15,0.1093811
1978-06-16,0.3243233
1978-06-17,0.29596624
1978-06-18,0.11861377
1978-06-19,0.094881
1978-06-20,0.09287001
1978-06-21,0.11381327
1978-06-22,0.2830588
1978-06-23,0.18668453
1978-06-24,0.09882382
1978-06-25,0.17036255
1978-06-26,0.19523065
1978-06-27,0.09428065
1978-06-28,0.07999973
1978-06-29,0.44372353
1978-06-30,0.32194263
1978-07-01,0.19726452
1978-07-02,0.16506392
1978-07-03,0.10353513
1978-07-04,0.08718538
1978-07-05,0.10503052
1978-07-06,0.19810943
1978-07-07,0.085724354
1978-07-08,0.08775223
1978-07-09,0.16318172
1978-07-10,0.19662334
1978-07-11,0.13641267
1978-07-12,0.14246576
1978-07-13,0.07409804
1978-07-14,0.08745782
1978-07-15,0.06683348
1978-07-16,0.19202071
1978-07-17,0.07912957
1978-07-18,0.061869446
1978-07-19,0.07411298
1978-07-20,0.08044293
1978-07-21,0.062113106
1978-07-22,0.059037387
1978-07-23,0.058549408
1978-07-24,0.06490721
1978-07-25,1.058868
1978-07-26,0.22007832
1978-07-27,0.13219857
1978-07-28,0.19146939
1978-07-29,0.07012644
1978-07-30,0.05309098
1978-07-31,0.052486636
1978-08-01,0.20090002
1978-08-02,0.739385
1978-08-03,0.45549002
1978-08-04,0.33542737
1978-08-05,0.081614956
1978-08-06,0.05019511
1978-08-07,0.105295315
1978-08-08,0.057679463
1978-08-09,0.06914588
1978-08-10,0.05348353
1978-08-11,0.051373526
1978-08-12,0.13339709
1978-08-13,0.59294313
1978-08-14,0.14316134
1978-08-15,0.055050936
1978-08-16,0.05246791
1978-08-17,0.052762058
1978-08-18,0.053021707
1978-08-19,0.05323063
1978-08-20,0.18731835
1978-08-21,0.2968588
1978-08-22,0.26041836
1978-08-23,0.0767945
1978-08-24,0.054055624
1978-08-25,0.054234598
1978-08-26,0.05482136
1978-08-27,1.5341909
1978-08-28,0.25383037
1978-08-29,0.15035188
1978-08-30,0.51703054
1978-08-31,0.3683094
1978-09-01,0.19352996
1978-09-02,0.22210163
1978-09-03,0.41113493
1978-09-04,0.1509861
1978-09-05,0.54508877
1978-09-06,1.1197735
1978-09-07,0.93062043
1978-09-08,0.44804692
1978-09-09,0.78779984
1978-09-10,0.20044972
1978-09-11,1.2118852
1978-09-12,0.28812703
1978-09-13,0.16424786
1978-09-14,0.18327257
1978-09-15,0.20233548
1978-09-16,0.22032623
1978-09-17,0.23684052
1978-09-18,0.25162724
1978-09-19,0.2645702
1978-09-20,0.29072312
1978-09-21,0.29309452
1978-09-22,0.37732226
1978-09-23,0.32279038
1978-09-24,0.5234497
1978-09-25,0.34845856
1978-09-26,0.31361908
1978-09-27,0.31436813
1978-09-28,0.31572384
1978-09-29,0.31866467
1978-09-30,0.3163168
1978-10-01,0.3149783
1978-10-02,0.4977815
1978-10-03,0.35755274
1978-10-04,0.6215008
1978-10-05,0.34580174
1978-10-06,0.30294064
1978-10-07,0.29999766
1978-10-08,0.29692233
1978-10-09,0.29367417
1978-10-10,0.29025418
1978-10-11,0.30625132
1978-10-12,0.36758903
