time,rdis
2001-01-01,0.49543
2001-01-02,0.48012
2001-01-03,0.35577
2001-01-04,0.31988
2001-01-05,0.30643
2001-01-06,0.30016
2001-01-07,0.30072
2001-01-08,0.29389
2001-01-09,0.29469
2001-01-10,0.28755
2001-01-11,0.28516
2001-01-12,0.28803
2001-01-13,0.28564
2001-01-14,0.28514
2001-01-15,0.27798
2001-01-16,0.26989
2001-01-17,0.26191
2001-01-18,0.2542
2001-01-19,0.24674
2001-01-20,0.23953
2001-01-21,0.23257
2001-01-22,0.22584
2001-01-23,0.21933
2001-01-24,0.21303
2001-01-25,0.20695
2001-01-26,0.20106
2001-01-27,0.27122
2001-01-28,0.28858
2001-01-29,0.28371
2001-01-30,0.27561
2001-01-31,0.26737
2001-02-01,0.25936
2001-02-02,0.25163
2001-02-03,0.24416
2001-02-04,0.2917
2001-02-05,0.39845
2001-02-06,0.71344
2001-02-07,0.56765
2001-02-08,0.6492
2001-02-09,0.47917
2001-02-10,0.38595
2001-02-11,0.39681
2001-02-12,0.49935
2001-02-13,0.88977
2001-02-14,0.75306
2001-02-15,0.54719
2001-02-16,0.48791
2001-02-17,0.43345
2001-02-18,0.59942
2001-02-19,0.80007
2001-02-20,0.71992
2001-02-21,0.54156
2001-02-22,0.48212
2001-02-23,0.46041
2001-02-24,0.4479
2001-02-25,0.43534
2001-02-26,0.42316
2001-02-27,0.41137
2001-02-28,0.39995
2001-03-01,0.38889
2001-03-02,0.37818
2001-03-03,0.40304
2001-03-04,0.39921
2001-03-05,0.38988
2001-03-06,0.37902
2001-03-07,0.36846
2001-03-08,0.36774
2001-03-09,0.35988
2001-03-10,0.39261
2001-03-11,0.3889
2001-03-12,0.37854
2001-03-13,0.36855
2001-03-14,0.5977
2001-03-15,0.64118
2001-03-16,0.52385
2001-03-17,0.43649
2001-03-18,0.63754
2001-03-19,0.64057
2001-03-20,0.47721
2001-03-21,0.43888
2001-03-22,0.44867
2001-03-23,0.55168
2001-03-24,0.45199
2001-03-25,0.42026
2001-03-26,0.4044
2001-03-27,0.3913
2001-03-28,0.37897
2001-03-29,0.36621
2001-03-30,0.35416
2001-03-31,0.3416
2001-04-01,0.33441
2001-04-02,0.32284
2001-04-03,0.33839
2001-04-04,0.33164
2001-04-05,0.32014
2001-04-06,0.30768
2001-04-07,0.30247
2001-04-08,0.2911
2001-04-09,0.27856
2001-04-10,0.267
2001-04-11,0.26059
2001-04-12,0.26732
2001-04-13,0.26348
2001-04-14,0.25551
2001-04-15,0.24581
2001-04-16,0.2679
2001-04-17,0.26683
2001-04-18,0.25759
2001-04-19,0.25117
2001-04-20,0.23961
2001-04-21,0.22818
2001-04-22,0.24218
2001-04-23,0.28068
2001-04-24,0.27246
