time,rdis
1974-01-01,0.15017454
1974-01-02,0.15097643
1974-01-03,0.15163061
1974-01-04,0.15217523
1974-01-05,0.17463459
1974-01-06,0.15789318
1974-01-07,0.15307003
1974-01-08,0.1531621
1974-01-09,0.29151708
1974-01-10,0.18398534
1974-01-11,0.21051481
1974-01-12,0.16472928
1974-01-13,0.18624943
1974-01-14,0.24465108
1974-01-15,0.53454113
1974-01-16,0.22538163
1974-01-17,0.15316264
1974-01-18,0.16286798
1974-01-19,0.9330171
1974-01-20,0.33699447
1974-01-21,0.3184713
1974-01-22,0.29851878
1974-01-23,0.18277182
1974-01-24,0.17408709
1974-01-25,0.33361828
1974-01-26,0.1866779
1974-01-27,0.2039873
1974-01-28,0.3246458
1974-01-29,0.21396518
1974-01-30,0.56921315
1974-01-31,0.25178912
1974-02-01,0.18803437
1974-02-02,0.19185968
1974-02-03,0.19535239
1974-02-04,0.20328762
1974-02-05,0.20424324
1974-02-06,0.20524321
1974-02-07,0.20727588
1974-02-08,0.20976487
1974-02-09,0.21160643
1974-02-10,0.28759894
1974-02-11,0.46601915
1974-02-12,0.2594138
1974-02-13,0.21692573
1974-02-14,0.29495558
1974-02-15,0.33795896
1974-02-16,0.23952556
1974-02-17,0.4056125
1974-02-18,0.28117168
1974-02-19,0.24970497
1974-02-20,0.24626075
1974-02-21,0.23850688
1974-02-22,0.22698434
1974-02-23,0.22997046
1974-02-24,0.3645881
1974-02-25,0.25521895
1974-02-26,0.22796816
1974-02-27,0.22777005
1974-02-28,0.22739351
1974-03-01,0.22820044
1974-03-02,0.22783895
1974-03-03,0.22725244
1974-03-04,0.23428412
1974-03-05,0.23723538
1974-03-06,0.22763535
1974-03-07,0.22520325
1974-03-08,0.22438969
1974-03-09,0.22346886
1974-03-10,0.27563003
1974-03-11,0.5196258
1974-03-12,0.26423413
1974-03-13,0.21914068
1974-03-14,0.2181108
1974-03-15,0.21715488
1974-03-16,0.22606808
1974-03-17,0.22019956
1974-03-18,0.21411999
1974-03-19,0.21308163
1974-03-20,0.21201159
1974-03-21,0.21090652
1974-03-22,0.20976503
1974-03-23,0.20858362
1974-03-24,0.20738147
1974-03-25,0.2061266
1974-03-26,0.20478559
1974-03-27,0.20343076
1974-03-28,0.26854578
1974-03-29,0.21294153
1974-03-30,0.21704622
1974-03-31,0.20108862
1974-04-01,0.19634065
1974-04-02,0.19485348
1974-04-03,0.19379136
1974-04-04,0.19178343
1974-04-05,0.19020806
1974-04-06,0.18861426
1974-04-07,0.18715163
1974-04-08,0.2352052
1974-04-09,0.39359665
1974-04-10,0.21909194
1974-04-11,0.18049319
1974-04-12,0.17887275
1974-04-13,0.17724387
1974-04-14,0.17557879
1974-04-15,0.17755635
1974-04-16,0.17289108
1974-04-17,0.22561297
1974-04-18,0.17891087
1974-04-19,0.16701259
1974-04-20,0.16531304
1974-04-21,0.16355085
1974-04-22,0.2968376
1974-04-23,0.18515784
1974-04-24,0.3436671
1974-04-25,0.21310514
1974-04-26,0.15916842
1974-04-27,0.15354766
1974-04-28,0.15193677
1974-04-29,0.3017012
1974-04-30,0.17672151
1974-05-01,0.14722201
1974-05-02,0.14561304
1974-05-03,0.14389805
1974-05-04,0.14208196
1974-05-05,0.14018698
1974-05-06,0.13822909
1974-05-07,0.43099508
1974-05-08,0.18880078
1974-05-09,0.17203324
1974-05-10,0.278192
1974-05-11,0.23820186
1974-05-12,0.14215092
1974-05-13,0.1518728
1974-05-14,0.12788314
1974-05-15,0.12107641
1974-05-16,0.119269945
1974-05-17,0.11743202
1974-05-18,0.11557685
1974-05-19,0.113720745
1974-05-20,0.11185646
1974-05-21,0.109976284
1974-05-22,0.108061686
1974-05-23,0.10610872
1974-05-24,0.1041164
1974-05-25,0.10209672
1974-05-26,0.1000582
1974-05-27,0.09800325
1974-05-28,0.0959307
1974-05-29,0.09383826
1974-05-30,0.09172355
1974-05-31,0.08961348
1974-06-01,0.08752696
1974-06-02,0.085463606
1974-06-03,0.08341622
1974-06-04,0.081363894
1974-06-05,0.079285145
1974-06-06,0.07717693
1974-06-07,0.07505279
1974-06-08,0.07292892
1974-06-09,0.107001826
1974-06-10,0.6128405
1974-06-11,0.1669337
1974-06-12,0.064892985
1974-06-13,0.13890366
1974-06-14,0.07526922
1974-06-15,0.059578486
1974-06-16,0.057920687
1974-06-17,0.056307297
1974-06-18,0.05473536
1974-06-19,0.053205993
1974-06-20,0.05171783
1974-06-21,0.050271876
1974-06-22,0.04886579
1974-06-23,0.04749284
1974-06-24,0.046148274
1974-06-25,0.04483124
1974-06-26,0.043542795
1974-06-27,0.04228379
1974-06-28,0.041054714
1974-06-29,0.109373555
1974-06-30,0.05155542
1974-07-01,0.106592044
1974-07-02,0.2764644
1974-07-03,0.077659816
1974-07-04,0.08112997
1974-07-05,0.042324167
1974-07-06,0.032892704
1974-07-07,0.18740626
1974-07-08,0.059928633
1974-07-09,0.030466855
1974-07-10,0.35754597
1974-07-11,0.08981604
1974-07-12,0.07797233
1974-07-13,0.26612493
1974-07-14,0.11717304
1974-07-15,0.035203718
1974-07-16,0.3087674
1974-07-17,0.087922305
1974-07-18,0.21753821
1974-07-19,0.22230807
1974-07-20,0.2023326
1974-07-21,0.09409332
1974-07-22,0.09697475
1974-07-23,0.034716237
1974-07-24,0.092191644
1974-07-25,0.03472357
1974-07-26,0.021497032
1974-07-27,0.040505987
1974-07-28,0.02441478
1974-07-29,0.9512733
1974-07-30,0.49880522
1974-07-31,0.21886216
1974-08-01,0.6701324
1974-08-02,0.36259618
1974-08-03,0.07160812
1974-08-04,0.02334776
1974-08-05,0.091150895
1974-08-06,0.03726496
1974-08-07,0.07299458
1974-08-08,0.19853781
1974-08-09,0.20427124
1974-08-10,0.05394972
1974-08-11,0.038209412
1974-08-12,0.032493822
1974-08-13,0.31945732
1974-08-14,0.309597
1974-08-15,0.1875692
1974-08-16,0.05256239
1974-08-17,0.032252617
1974-08-18,0.14016144
1974-08-19,0.0562
1974-08-20,0.038731623
1974-08-21,0.040558178
1974-08-22,0.037268896
1974-08-23,0.037336484
1974-08-24,0.3068602
1974-08-25,0.08844958
1974-08-26,0.15077835
1974-08-27,0.07702009
1974-08-28,0.05315188
1974-08-29,0.042704947
1974-08-30,0.071559854
1974-08-31,0.1010019
1974-09-01,0.052749276
1974-09-02,0.042818684
1974-09-03,0.2327244
1974-09-04,0.078608185
1974-09-05,0.043883193
1974-09-06,0.13142008
1974-09-07,0.060644187
1974-09-08,0.044793405
1974-09-09,0.051921744
1974-09-10,0.04656919
1974-09-11,0.045530133
1974-09-12,0.045712642
1974-09-13,0.045873165
1974-09-14,0.04600406
1974-09-15,0.04870121
1974-09-16,0.05470719
1974-09-17,0.14864601
1974-09-18,0.067459434
1974-09-19,0.046717186
1974-09-20,0.046192072
1974-09-21,0.04614004
1974-09-22,0.046087556
1974-09-23,0.045989994
1974-09-24,0.045959476
1974-09-25,0.045777313
1974-09-26,0.045630857
1974-09-27,0.045482166
1974-09-28,0.045317534
1974-09-29,0.18511821
1974-09-30,0.07080585
1974-10-01,0.04476135
1974-10-02,0.044555426
1974-10-03,0.044346426
1974-10-04,0.044206884
1974-10-05,0.12408859
1974-10-06,0.058508832
1974-10-07,0.12303518
1974-10-08,0.057958826
1974-10-09,0.04305954
1974-10-10,0.04284211
1974-10-11,0.042624105
1974-10-12,0.042404935
1974-10-13,0.042230308
1974-10-14,0.053781155
1974-10-15,0.094207846
1974-10-16,0.05085693
1974-10-17,0.041316867
1974-10-18,0.12605475
1974-10-19,0.056659985
1974-10-20,0.13513073
1974-10-21,0.057902057
1974-10-22,0.089630894
1974-10-23,0.16523875
1974-10-24,0.090377815
1974-10-25,0.17234254
1974-10-26,0.3047042
1974-10-27,0.17524466
1974-10-28,0.05638001
1974-10-29,0.049186602
1974-10-30,0.081705205
1974-10-31,0.2718561
1974-11-01,0.3851539
1974-11-02,0.20630336
1974-11-03,0.41319335
1974-11-04,0.10667816
1974-11-05,0.06469142
1974-11-06,0.04770731
1974-11-07,0.115233645
1974-11-08,0.18351193
1974-11-09,0.2763397
1974-11-10,0.1747563
1974-11-11,0.35132205
1974-11-12,0.10500192
1974-11-13,0.05525793
1974-11-14,0.0560116
1974-11-15,0.1221092
1974-11-16,0.07178771
1974-11-17,0.084861144
1974-11-18,0.097812936
1974-11-19,0.24035265
1974-11-20,0.15495326
1974-11-21,0.11087486
1974-11-22,0.45513776
1974-11-23,0.17170273
1974-11-24,0.31712633
1974-11-25,0.22285476
1974-11-26,0.3878939
1974-11-27,0.15488169
1974-11-28,0.11236651
1974-11-29,0.09056092
1974-11-30,0.09039639
1974-12-01,0.09412547
1974-12-02,0.096432924
1974-12-03,0.099009134
1974-12-04,0.13804007
1974-12-05,0.22072555
1974-12-06,0.14603919
1974-12-07,0.1120027
1974-12-08,0.11027547
1974-12-09,0.11229583
1974-12-10,0.17156382
1974-12-11,0.13460802
1974-12-12,0.19855507
1974-12-13,0.20755251
1974-12-14,0.21030699
1974-12-15,0.14407282
1974-12-16,0.22700973
1974-12-17,0.287025
1974-12-18,0.1760887
1974-12-19,0.13581486
1974-12-20,0.12716
1974-12-21,0.14881383
1974-12-22,0.13733625
1974-12-23,0.16900212
1974-12-24,0.16222367
1974-12-25,0.18879795
1974-12-26,0.14378837
1974-12-27,0.17435624
1974-12-28,0.14088811
1974-12-29,0.13433304
1974-12-30,0.14777316
1974-12-31,0.13823293
