time,rdis
1976-01-01,0.43387
1976-01-02,0.40263
1976-01-03,0.3501
1976-01-04,0.33177
1976-01-05,0.3214
1976-01-06,0.33129
1976-01-07,0.32485
1976-01-08,0.31531
1976-01-09,0.30569
1976-01-10,0.29641
1976-01-11,0.28752
1976-01-12,0.29805
1976-01-13,0.29481
1976-01-14,0.29267
1976-01-15,0.2867
1976-01-16,0.28037
1976-01-17,0.27608
1976-01-18,0.28201
1976-01-19,0.28951
1976-01-20,0.28354
1976-01-21,0.2829
1976-01-22,0.27569
1976-01-23,0.268
1976-01-24,0.26008
1976-01-25,0.25249
1976-01-26,0.24518
1976-01-27,0.23811
1976-01-28,0.23128
1976-01-29,0.22467
1976-01-30,0.21828
1976-01-31,0.21743
1976-02-01,0.21216
1976-02-02,0.20626
1976-02-03,0.20045
1976-02-04,0.19482
1976-02-05,0.18937
1976-02-06,0.20543
1976-02-07,0.2549
1976-02-08,0.27646
1976-02-09,0.27306
1976-02-10,0.26569
1976-02-11,0.25746
1976-02-12,0.25474
1976-02-13,0.25165
1976-02-14,0.24499
1976-02-15,0.23782
1976-02-16,0.2305
1976-02-17,0.23199
1976-02-18,0.22852
1976-02-19,0.25475
1976-02-20,0.25314
1976-02-21,0.24632
1976-02-22,0.23902
1976-02-23,0.2319
1976-02-24,0.22501
1976-02-25,0.21835
1976-02-26,0.23078
1976-02-27,0.26666
1976-02-28,0.26814
1976-02-29,0.26086
1976-03-01,0.25256
1976-03-02,0.24746
1976-03-03,0.23991
1976-03-04,0.23284
1976-03-05,0.26303
1976-03-06,0.37371
1976-03-07,0.31369
1976-03-08,0.29827
1976-03-09,0.34621
1976-03-10,0.3554
1976-03-11,0.42079
1976-03-12,0.68565
1976-03-13,0.50317
1976-03-14,0.40891
1976-03-15,0.34747
1976-03-16,0.32665
1976-03-17,0.31606
1976-03-18,0.32567
1976-03-19,0.31985
1976-03-20,0.30931
1976-03-21,0.29895
1976-03-22,0.2895
1976-03-23,0.27921
1976-03-24,0.27037
1976-03-25,0.26407
1976-03-26,0.25468
1976-03-27,0.24544
1976-03-28,0.23643
1976-03-29,0.22939
1976-03-30,0.22051
1976-03-31,0.21554
1976-04-01,0.2232
1976-04-02,0.22836
1976-04-03,0.24219
1976-04-04,0.23682
1976-04-05,0.22573
1976-04-06,0.21559
1976-04-07,0.20664
1976-04-08,0.19787
1976-04-09,0.18882
1976-04-10,0.19358
1976-04-11,0.18954
1976-04-12,0.18129
1976-04-13,0.17124
1976-04-14,0.16532
1976-04-15,0.1608
1976-04-16,0.15661
1976-04-17,0.15253
1976-04-18,0.14876
1976-04-19,0.15176
1976-04-20,0.15041
1976-04-21,0.14535
1976-04-22,0.14123
1976-04-23,0.14015
1976-04-24,0.13687
1976-04-25,0.13338
1976-04-26,0.13074
1976-04-27,0.12724
1976-04-28,0.1234
1976-04-29,0.1207
1976-04-30,0.11695
1976-05-01,0.11312
1976-05-02,0.10963
1976-05-03,0.10943
1976-05-04,0.10677
1976-05-05,0.10536
1976-05-06,0.10378
1976-05-07,0.10078
1976-05-08,0.097465
1976-05-09,0.094252
1976-05-10,0.09126
1976-05-11,0.088374
1976-05-12,0.090283
1976-05-13,0.092
1976-05-14,0.093162
1976-05-15,0.091074
1976-05-16,0.088268
1976-05-17,0.095028
1976-05-18,0.093069
1976-05-19,0.090183
1976-05-20,0.087282
1976-05-21,0.084427
1976-05-22,0.081679
1976-05-23,0.078963
1976-05-24,0.076299
1976-05-25,0.073467
1976-05-26,0.070609
1976-05-27,0.06762
1976-05-28,0.064773
1976-05-29,0.062072
1976-05-30,0.062913
1976-05-31,0.062725
1976-06-01,0.062603
1976-06-02,0.060516
1976-06-03,0.061023
1976-06-04,0.058963
1976-06-05,0.058491
1976-06-06,0.058454
1976-06-07,0.058167
1976-06-08,0.055951
1976-06-09,0.055324
1976-06-10,0.052952
1976-06-11,0.050186
1976-06-12,0.04744
1976-06-13,0.044578
1976-06-14,0.041665
1976-06-15,0.038756
1976-06-16,0.035926
1976-06-17,0.033194
1976-06-18,0.035333
1976-06-19,0.033242
1976-06-20,0.030561
1976-06-21,0.028389
1976-06-22,0.027474
1976-06-23,0.026807
1976-06-24,0.026186
1976-06-25,0.025583
1976-06-26,0.024995
1976-06-27,0.02442
1976-06-28,0.023858
1976-06-29,0.023309
1976-06-30,0.022773
1976-07-01,0.022249
1976-07-02,0.021737
1976-07-03,0.021237
1976-07-04,0.020748
1976-07-05,0.020271
1976-07-06,0.019805
1976-07-07,0.019349
1976-07-08,0.018904
1976-07-09,0.018469
1976-07-10,0.018044
1976-07-11,0.017629
1976-07-12,0.017223
1976-07-13,0.016827
1976-07-14,0.01644
1976-07-15,0.016062
1976-07-16,0.019957
1976-07-17,0.018743
1976-07-18,0.01825
1976-07-19,0.016482
1976-07-20,0.014618
1976-07-21,0.01401
1976-07-22,0.013652
1976-07-23,0.013334
1976-07-24,0.013026
1976-07-25,0.012727
1976-07-26,0.012434
1976-07-27,0.012148
1976-07-28,0.011869
1976-07-29,0.011596
1976-07-30,0.011329
1976-07-31,0.011068
1976-08-01,0.010813
1976-08-02,0.010565
1976-08-03,0.010322
1976-08-04,0.010084
1976-08-05,0.0098522
1976-08-06,0.0096254
1976-08-07,0.0094041
1976-08-08,0.0091877
1976-08-09,0.0089764
1976-08-10,0.0087699
1976-08-11,0.0085681
1976-08-12,0.0083709
1976-08-13,0.0081784
1976-08-14,0.0079902
1976-08-15,0.0078065
1976-08-16,0.0076268
1976-08-17,0.0074513
1976-08-18,0.0072799
1976-08-19,0.0071124
1976-08-20,0.0069488
1976-08-21,0.006789
1976-08-22,0.0066327
1976-08-23,0.00648
1976-08-24,0.0063309
1976-08-25,0.0061854
1976-08-26,0.0060431
1976-08-27,0.019481
1976-08-28,0.021928
1976-08-29,0.023647
1976-08-30,0.022546
1976-08-31,0.021032
1976-09-01,0.019505
1976-09-02,0.017977
1976-09-03,0.01647
1976-09-04,0.014925
1976-09-05,0.013357
1976-09-06,0.011776
1976-09-07,0.010217
1976-09-08,0.0087242
1976-09-09,0.011121
1976-09-10,0.010672
1976-09-11,0.0099328
1976-09-12,0.008884
1976-09-13,0.0078636
1976-09-14,0.0079773
1976-09-15,0.011986
1976-09-16,0.01523
1976-09-17,0.016936
1976-09-18,0.017575
1976-09-19,0.016745
1976-09-20,0.015681
1976-09-21,0.017056
1976-09-22,0.025816
1976-09-23,0.026547
1976-09-24,0.026435
1976-09-25,0.026759
1976-09-26,0.025883
1976-09-27,0.024729
1976-09-28,0.025795
1976-09-29,0.024932
1976-09-30,0.026495
1976-10-01,0.025999
1976-10-02,0.025384
1976-10-03,0.024356
1976-10-04,0.0233
1976-10-05,0.022322
1976-10-06,0.021347
1976-10-07,0.020355
1976-10-08,0.019752
1976-10-09,0.018843
1976-10-10,0.01791
1976-10-11,0.017019
1976-10-12,0.016232
1976-10-13,0.015481
1976-10-14,0.014759
1976-10-15,0.014137
1976-10-16,0.013475
1976-10-17,0.012872
1976-10-18,0.012782
1976-10-19,0.013364
1976-10-20,0.013651
1976-10-21,0.013824
1976-10-22,0.013331
1976-10-23,0.012799
1976-10-24,0.012355
1976-10-25,0.011877
1976-10-26,0.011417
1976-10-27,0.010995
1976-10-28,0.010591
1976-10-29,0.010542
1976-10-30,0.01044
1976-10-31,0.010475
1976-11-01,0.010181
1976-11-02,0.0098277
1976-11-03,0.011021
1976-11-04,0.013543
1976-11-05,0.016843
1976-11-06,0.018132
1976-11-07,0.021436
1976-11-08,0.026137
1976-11-09,0.028199
1976-11-10,0.032437
1976-11-11,0.036169
1976-11-12,0.040019
1976-11-13,0.039165
1976-11-14,0.064247
1976-11-15,0.080676
1976-11-16,0.13306
1976-11-17,0.10017
1976-11-18,0.089105
1976-11-19,0.16414
1976-11-20,0.35451
1976-11-21,0.19708
1976-11-22,0.10956
1976-11-23,0.1817
1976-11-24,0.11027
1976-11-25,0.091546
1976-11-26,0.15438
1976-11-27,0.22756
1976-11-28,0.20057
1976-11-29,0.13741
1976-11-30,0.12121
1976-12-01,0.12487
1976-12-02,0.12408
1976-12-03,0.13124
1976-12-04,0.12796
1976-12-05,0.12276
1976-12-06,0.11825
1976-12-07,0.12111
1976-12-08,0.12146
1976-12-09,0.1194
1976-12-10,0.11485
1976-12-11,0.11007
1976-12-12,0.10643
1976-12-13,0.10529
1976-12-14,0.1016
1976-12-15,0.097588
1976-12-16,0.093785
