time,rdis
1996-01-01,0.042568
1996-01-02,0.044324
1996-01-03,0.045218
1996-01-04,0.05545
1996-01-05,0.10524
1996-01-06,0.12506
1996-01-07,0.1365
1996-01-08,0.13389
1996-01-09,0.12894
1996-01-10,0.12389
1996-01-11,0.11902
1996-01-12,0.11436
1996-01-13,0.10991
1996-01-14,0.10564
1996-01-15,0.10245
1996-01-16,0.098634
1996-01-17,0.094876
1996-01-18,0.091268
1996-01-19,0.13096
1996-01-20,0.30897
1996-01-21,0.51977
1996-01-22,0.35118
1996-01-23,0.26164
1996-01-24,0.44892
1996-01-25,0.35668
1996-01-26,0.26763
1996-01-27,0.2449
1996-01-28,0.23554
1996-01-29,0.23252
1996-01-30,0.23177
1996-01-31,0.46833
1996-02-01,0.41272
1996-02-02,0.32903
1996-02-03,0.28715
1996-02-04,0.27533
1996-02-05,0.26579
1996-02-06,0.25672
1996-02-07,0.24798
1996-02-08,0.23974
1996-02-09,0.23249
1996-02-10,0.24042
1996-02-11,0.26151
1996-02-12,0.25822
1996-02-13,0.25084
1996-02-14,0.24318
1996-02-15,0.23573
1996-02-16,0.22854
1996-02-17,0.2216
1996-02-18,0.21491
1996-02-19,0.20845
1996-02-20,0.20221
1996-02-21,0.26197
1996-02-22,0.32619
1996-02-23,0.32577
1996-02-24,0.29517
1996-02-25,0.28218
1996-02-26,0.2722
1996-02-27,0.26316
1996-02-28,0.25476
1996-02-29,0.24696
1996-03-01,0.23948
1996-03-02,0.24744
1996-03-03,0.24669
1996-03-04,0.2397
1996-03-05,0.23268
1996-03-06,0.22571
1996-03-07,0.21785
1996-03-08,0.21013
1996-03-09,0.20256
1996-03-10,0.19564
1996-03-11,0.19005
1996-03-12,0.18411
1996-03-13,0.17839
1996-03-14,0.17587
1996-03-15,0.17248
1996-03-16,0.16672
1996-03-17,0.16173
1996-03-18,0.17517
1996-03-19,0.17936
1996-03-20,0.17661
1996-03-21,0.17292
1996-03-22,0.16637
1996-03-23,0.15893
1996-03-24,0.15162
1996-03-25,0.14565
1996-03-26,0.19018
1996-03-27,0.24036
1996-03-28,0.2562
1996-03-29,0.32301
1996-03-30,0.26914
1996-03-31,0.24959
1996-04-01,0.26224
1996-04-02,0.25341
1996-04-03,0.24211
1996-04-04,0.231
1996-04-05,0.21972
1996-04-06,0.21251
1996-04-07,0.20169
1996-04-08,0.19181
1996-04-09,0.18678
1996-04-10,0.18027
1996-04-11,0.17192
1996-04-12,0.16404
1996-04-13,0.15873
1996-04-14,0.15419
1996-04-15,0.15002
1996-04-16,0.14639
1996-04-17,0.14278
1996-04-18,0.13916
1996-04-19,0.13569
1996-04-20,0.13215
1996-04-21,0.12871
1996-04-22,0.12867
1996-04-23,0.12998
1996-04-24,0.12806
1996-04-25,0.12464
1996-04-26,0.12091
1996-04-27,0.11722
1996-04-28,0.11365
1996-04-29,0.11025
1996-04-30,0.11293
1996-05-01,0.11048
1996-05-02,0.10704
1996-05-03,0.10346
1996-05-04,0.099923
1996-05-05,0.096579
1996-05-06,0.093418
1996-05-07,0.090235
1996-05-08,0.087164
1996-05-09,0.08421
1996-05-10,0.081372
1996-05-11,0.078576
1996-05-12,0.075758
1996-05-13,0.072957
1996-05-14,0.069991
1996-05-15,0.066894
1996-05-16,0.063749
1996-05-17,0.060524
1996-05-18,0.057814
1996-05-19,0.056249
1996-05-20,0.054923
1996-05-21,0.053656
1996-05-22,0.052421
1996-05-23,0.051216
1996-05-24,0.050037
1996-05-25,0.048886
1996-05-26,0.047762
1996-05-27,0.046663
1996-05-28,0.045589
1996-05-29,0.044541
1996-05-30,0.043516
1996-05-31,0.042515
1996-06-01,0.041537
1996-06-02,0.040581
1996-06-03,0.039648
1996-06-04,0.038736
1996-06-05,0.037844
1996-06-06,0.036974
1996-06-07,0.036123
1996-06-08,0.035292
1996-06-09,0.03448
1996-06-10,0.033687
1996-06-11,0.032912
1996-06-12,0.032155
1996-06-13,0.031415
1996-06-14,0.030692
1996-06-15,0.029986
1996-06-16,0.029296
1996-06-17,0.028622
1996-06-18,0.027964
1996-06-19,0.027321
1996-06-20,0.026692
1996-06-21,0.026078
1996-06-22,0.025478
1996-06-23,0.024892
1996-06-24,0.024319
1996-06-25,0.02376
1996-06-26,0.023213
1996-06-27,0.022679
1996-06-28,0.022157
1996-06-29,0.021648
1996-06-30,0.02115
1996-07-01,0.020663
1996-07-02,0.020188
1996-07-03,0.019723
1996-07-04,0.01927
1996-07-05,0.018826
1996-07-06,0.018393
1996-07-07,0.01797
1996-07-08,0.017557
1996-07-09,0.017153
1996-07-10,0.016758
1996-07-11,0.016372
1996-07-12,0.015996
1996-07-13,0.015628
1996-07-14,0.015268
1996-07-15,0.014917
1996-07-16,0.014574
1996-07-17,0.014239
1996-07-18,0.013911
1996-07-19,0.013591
1996-07-20,0.013278
1996-07-21,0.012973
1996-07-22,0.012675
1996-07-23,0.012383
1996-07-24,0.012098
1996-07-25,0.01182
1996-07-26,0.011548
1996-07-27,0.011282
1996-07-28,0.011023
1996-07-29,0.010769
1996-07-30,0.010521
1996-07-31,0.010279
1996-08-01,0.010043
1996-08-02,0.0098119
1996-08-03,0.0095861
1996-08-04,0.0093656
1996-08-05,0.0091501
1996-08-06,0.0089396
1996-08-07,0.008734
1996-08-08,0.0085331
1996-08-09,0.0083367
1996-08-10,0.0081449
1996-08-11,0.0079574
1996-08-12,0.0077744
1996-08-13,0.0075956
1996-08-14,0.0074208
1996-08-15,0.0072501
1996-08-16,0.0070835
1996-08-17,0.0069204
1996-08-18,0.0067613
1996-08-19,0.0066057
1996-08-20,0.0064537
1996-08-21,0.0063053
1996-08-22,0.0061603
1996-08-23,0.0060186
1996-08-24,0.0058801
1996-08-25,0.0057449
1996-08-26,0.0056126
1996-08-27,0.0054836
1996-08-28,0.0053573
1996-08-29,0.0052341
1996-08-30,0.0051137
1996-08-31,0.0049959
1996-09-01,0.0048809
1996-09-02,0.0047686
1996-09-03,0.004659
1996-09-04,0.0045518
1996-09-05,0.0044471
1996-09-06,0.0043448
1996-09-07,0.0042448
1996-09-08,0.0041471
1996-09-09,0.0040517
1996-09-10,0.0039585
1996-09-11,0.0038674
1996-09-12,0.0037785
1996-09-13,0.0036915
1996-09-14,0.0036067
1996-09-15,0.0035236
1996-09-16,0.0034425
1996-09-17,0.0033633
1996-09-18,0.0032858
1996-09-19,0.0032102
1996-09-20,0.0031363
1996-09-21,0.0030643
1996-09-22,0.0029937
1996-09-23,0.0029249
1996-09-24,0.0028577
1996-09-25,0.0027919
1996-09-26,0.0027275
1996-09-27,0.0026648
1996-09-28,0.0026034
1996-09-29,0.0025437
1996-09-30,0.0024851
1996-10-01,0.0024279
1996-10-02,0.0023721
1996-10-03,0.0023175
1996-10-04,0.0022642
1996-10-05,0.0022122
1996-10-06,0.0021614
1996-10-07,0.0021117
1996-10-08,0.0020631
1996-10-09,0.0020156
1996-10-10,0.0019692
1996-10-11,0.0019238
1996-10-12,0.0018795
1996-10-13,0.0018363
1996-10-14,0.0017941
1996-10-15,0.0017527
1996-10-16,0.0017123
1996-10-17,0.0016731
1996-10-18,0.0016345
1996-10-19,0.0015969
1996-10-20,0.0015601
1996-10-21,0.0015243
1996-10-22,0.0014891
1996-10-23,0.0014549
1996-10-24,0.0014215
1996-10-25,0.0013888
1996-10-26,0.0013568
1996-10-27,0.0013257
1996-10-28,0.0012951
1996-10-29,0.0012653
1996-10-30,0.0012363
1996-10-31,0.0012078
1996-11-01,0.0011801
1996-11-02,0.0011528
1996-11-03,0.0011263
1996-11-04,0.0011005
1996-11-05,0.0010752
1996-11-06,0.0010506
1996-11-07,0.0010263
1996-11-08,0.001096
1996-11-09,0.013136
1996-11-10,0.017247
1996-11-11,0.018441
1996-11-12,0.018228
1996-11-13,0.01794
1996-11-14,0.017574
1996-11-15,0.020838
1996-11-16,0.021638
1996-11-17,0.024671
1996-11-18,0.025297
1996-11-19,0.027081
1996-11-20,0.028616
1996-11-21,0.028954
1996-11-22,0.031789
1996-11-23,0.033014
1996-11-24,0.032651
1996-11-25,0.034155
1996-11-26,0.03425
1996-11-27,0.040734
1996-11-28,0.057181
1996-11-29,0.060572
1996-11-30,0.057932
1996-12-01,0.054616
1996-12-02,0.051508
1996-12-03,0.04869
1996-12-04,0.046074
1996-12-05,0.043629
1996-12-06,0.041225
1996-12-07,0.039043
1996-12-08,0.036852
1996-12-09,0.035323
1996-12-10,0.035663
1996-12-11,0.034345
1996-12-12,0.040456
1996-12-13,0.05905
1996-12-14,0.066416
1996-12-15,0.10604
1996-12-16,0.11044
1996-12-17,0.23697
1996-12-18,0.19866
1996-12-19,0.21575
1996-12-20,0.16924
1996-12-21,0.28155
1996-12-22,0.24733
1996-12-23,0.18856
1996-12-24,0.1752
1996-12-25,0.19436
1996-12-26,0.32665
1996-12-27,0.23367
1996-12-28,0.20296
1996-12-29,0.19264
1996-12-30,0.18605
1996-12-31,0.17921
