time,rdis
1973-01-01,0.25854
1973-01-02,0.25914
1973-01-03,0.2532
1973-01-04,0.2461
1973-01-05,0.24487
1973-01-06,0.23927
1973-01-07,0.25991
1973-01-08,0.25812
1973-01-09,0.26544
1973-01-10,0.26069
1973-01-11,0.25621
1973-01-12,0.26665
1973-01-13,0.26367
1973-01-14,0.25772
1973-01-15,0.25021
1973-01-16,0.24258
1973-01-17,0.23724
1973-01-18,0.26267
1973-01-19,0.26086
1973-01-20,0.2834
1973-01-21,0.28051
1973-01-22,0.28022
1973-01-23,0.27688
1973-01-24,0.26948
1973-01-25,0.26168
1973-01-26,0.25407
1973-01-27,0.25925
1973-01-28,0.25833
1973-01-29,0.25179
1973-01-30,0.24459
1973-01-31,0.23752
1973-02-01,0.23068
1973-02-02,0.22406
1973-02-03,0.21765
1973-02-04,0.21146
1973-02-05,0.20547
1973-02-06,0.22199
1973-02-07,0.21993
1973-02-08,0.21408
1973-02-09,0.21751
1973-02-10,0.32495
1973-02-11,0.48265
1973-02-12,0.44679
1973-02-13,0.34869
1973-02-14,0.38832
1973-02-15,0.33808
1973-02-16,0.31908
1973-02-17,0.30855
1973-02-18,0.30174
1973-02-19,0.29252
1973-02-20,0.42849
1973-02-21,0.3858
1973-02-22,0.33633
1973-02-23,0.31844
1973-02-24,0.30718
1973-02-25,0.30217
1973-02-26,0.30376
1973-02-27,0.29564
1973-02-28,0.28902
1973-03-01,0.32495
1973-03-02,0.33598
1973-03-03,0.32373
1973-03-04,0.31226
1973-03-05,0.30244
1973-03-06,0.29271
1973-03-07,0.28322
1973-03-08,0.27446
1973-03-09,0.26694
1973-03-10,0.2657
1973-03-11,0.25839
1973-03-12,0.25006
1973-03-13,0.24345
1973-03-14,0.23656
1973-03-15,0.22996
1973-03-16,0.22348
1973-03-17,0.21631
1973-03-18,0.21164
1973-03-19,0.20619
1973-03-20,0.22774
1973-03-21,0.23315
1973-03-22,0.22697
1973-03-23,0.23271
1973-03-24,0.25892
1973-03-25,0.25522
1973-03-26,0.24671
1973-03-27,0.23744
1973-03-28,0.22836
1973-03-29,0.21984
1973-03-30,0.21128
1973-03-31,0.2031
1973-04-01,0.19616
1973-04-02,0.18918
1973-04-03,0.18231
1973-04-04,0.18112
1973-04-05,0.17594
1973-04-06,0.17122
