time,rdis
1975-01-01,0.10968268
1975-01-02,0.11095352
1975-01-03,0.11218053
1975-01-04,0.3627487
1975-01-05,0.19850889
1975-01-06,0.17716995
1975-01-07,0.3021589
1975-01-08,0.26226735
1975-01-09,0.1493397
1975-01-10,0.12278605
1975-01-11,0.1438336
1975-01-12,0.37772804
1975-01-13,0.5680632
1975-01-14,0.508122
1975-01-15,0.18642148
1975-01-16,0.13301803
1975-01-17,0.14012316
1975-01-18,0.2040477
1975-01-19,0.24360925
1975-01-20,0.16256095
1975-01-21,0.1496025
1975-01-22,0.15266956
1975-01-23,0.16833517
1975-01-24,0.15942626
1975-01-25,0.16077244
1975-01-26,0.16623975
1975-01-27,0.1673481
1975-01-28,0.16703506
1975-01-29,0.16867602
1975-01-30,0.17009754
1975-01-31,0.17130648
1975-02-01,0.1723116
1975-02-02,0.17312293
1975-02-03,0.1738873
1975-02-04,0.17420988
1975-02-05,0.17450453
1975-02-06,0.1746522
1975-02-07,0.17466222
1975-02-08,0.95235306
1975-02-09,0.30547166
1975-02-10,0.17685108
1975-02-11,0.17610481
1975-02-12,0.17633143
1975-02-13,0.17719327
1975-02-14,0.17805313
1975-02-15,0.17886503
1975-02-16,0.1796017
1975-02-17,0.18024524
1975-02-18,0.25415024
1975-02-19,0.2773603
1975-02-20,0.24271056
1975-02-21,0.20802353
1975-02-22,0.18557689
1975-02-23,0.21535157
1975-02-24,0.2093581
1975-02-25,0.19345698
1975-02-26,0.18286167
1975-02-27,0.19846575
1975-02-28,0.4017299
1975-03-01,0.21783768
1975-03-02,0.18263079
1975-03-03,0.1825645
1975-03-04,0.18266913
1975-03-05,0.19399709
1975-03-06,0.25407282
1975-03-07,0.23448695
1975-03-08,0.20526856
1975-03-09,0.38026398
1975-03-10,0.29179654
1975-03-11,0.26339903
1975-03-12,0.20529473
1975-03-13,0.18486193
1975-03-14,0.18415706
1975-03-15,0.30398214
1975-03-16,0.24909738
1975-03-17,0.19113672
1975-03-18,0.3591627
1975-03-19,0.21667093
1975-03-20,0.18320993
1975-03-21,0.30458298
1975-03-22,0.27153072
1975-03-23,0.46056616
1975-03-24,0.32505935
1975-03-25,0.20396385
1975-03-26,0.18886343
1975-03-27,0.27596623
1975-03-28,0.20737682
1975-03-29,0.19120353
1975-03-30,0.19246559
1975-03-31,0.19365573
1975-04-01,0.19650204
1975-04-02,0.19568966
1975-04-03,0.19646181
1975-04-04,0.19705136
1975-04-05,0.19749655
1975-04-06,0.19776015
1975-04-07,0.19786914
1975-04-08,0.19780633
1975-04-09,0.19757031
1975-04-10,0.19717577
1975-04-11,0.19661717
1975-04-12,0.19588584
1975-04-13,0.1949774
1975-04-14,0.34714463
1975-04-15,0.22128552
1975-04-16,0.327405
1975-04-17,0.21549687
1975-04-18,0.20280185
1975-04-19,0.1900299
1975-04-20,0.18605438
1975-04-21,0.33627453
1975-04-22,0.46949008
1975-04-23,0.22947486
1975-04-24,0.18029262
1975-04-25,0.17892718
1975-04-26,0.17753108
1975-04-27,0.17607819
1975-04-28,0.17455189
1975-04-29,0.17293756
1975-04-30,0.17121667
1975-05-01,0.38098994
1975-05-02,0.20665586
1975-05-03,0.16569833
1975-05-04,0.16382258
1975-05-05,0.1619159
1975-05-06,0.15997
1975-05-07,0.15799138
1975-05-08,0.1559664
1975-05-09,0.15390573
1975-05-10,0.15179193
1975-05-11,0.14960667
1975-05-12,0.14733389
1975-05-13,0.14499445
1975-05-14,0.14260048
1975-05-15,0.14017089
1975-05-16,0.1377033
1975-05-17,0.13519756
1975-05-18,0.13265589
1975-05-19,0.13008094
1975-05-20,0.1274884
1975-05-21,0.124880694
1975-05-22,0.12231919
1975-05-23,0.13324916
1975-05-24,0.12042839
1975-05-25,0.11504372
1975-05-26,0.25532192
1975-05-27,0.13995898
1975-05-28,0.108307704
1975-05-29,0.10618596
1975-05-30,0.10408763
1975-05-31,0.10198048
1975-06-01,0.10019561
1975-06-02,0.09822426
1975-06-03,0.0958882
1975-06-04,0.09393696
1975-06-05,0.092006974
1975-06-06,0.099712424
1975-06-07,0.09007706
1975-06-08,0.0865589
1975-06-09,0.08479434
1975-06-10,0.08304904
1975-06-11,0.4570075
1975-06-12,0.19241823
1975-06-13,0.08373064
1975-06-14,0.07651455
1975-06-15,0.07491887
1975-06-16,0.07334871
1975-06-17,0.071795374
1975-06-18,0.07024351
1975-06-19,0.06872553
1975-06-20,1.4660852
1975-06-21,0.3369644
1975-06-22,0.16080259
1975-06-23,0.08060096
1975-06-24,0.06208056
1975-06-25,0.063495934
1975-06-26,0.060363095
1975-06-27,0.058844615
1975-06-28,0.057788882
1975-06-29,0.056723546
1975-06-30,0.05565216
1975-07-01,0.07161316
1975-07-02,0.16763094
1975-07-03,0.80651695
1975-07-04,0.18876228
1975-07-05,0.050765317
1975-07-06,0.05167186
1975-07-07,0.04952493
1975-07-08,0.04848576
1975-07-09,0.047761176
1975-07-10,0.04702255
1975-07-11,0.080775544
1975-07-12,0.94502413
1975-07-13,0.3207581
1975-07-14,0.06430445
1975-07-15,0.20881094
1975-07-16,0.09527847
1975-07-17,0.04729991
1975-07-18,0.1744653
1975-07-19,0.31103343
1975-07-20,0.14506154
1975-07-21,0.07927058
1975-07-22,0.07102524
1975-07-23,0.047466032
1975-07-24,0.043299854
1975-07-25,0.04337362
1975-07-26,0.043383136
1975-07-27,0.043311406
1975-07-28,0.043162167
1975-07-29,0.042952955
1975-07-30,0.042691357
1975-07-31,0.042382564
1975-08-01,0.04203941
1975-08-02,0.12352074
1975-08-03,0.056403562
1975-08-04,0.040911306
1975-08-05,0.04053865
1975-08-06,0.040101405
1975-08-07,0.039666366
1975-08-08,0.039195698
1975-08-09,0.038704176
1975-08-10,0.0382003
1975-08-11,0.09808895
1975-08-12,0.04832195
1975-08-13,0.03675431
1975-08-14,0.043898188
1975-08-15,0.03712543
1975-08-16,0.03521575
1975-08-17,0.034727897
1975-08-18,0.034254376
1975-08-19,0.041814804
1975-08-20,0.034887716
1975-08-21,0.21265973
1975-08-22,0.06874722
1975-08-23,0.03265593
1975-08-24,0.031612497
1975-08-25,0.033157166
1975-08-26,0.039191205
1975-08-27,0.039748102
1975-08-28,0.15979306
1975-08-29,0.053452305
1975-08-30,0.029332573
1975-08-31,0.029090963
1975-09-01,0.028673686
1975-09-02,0.028323684
1975-09-03,0.028000684
1975-09-04,0.027684633
1975-09-05,0.027393451
