time,rdis
2012-01-01,0.12596
2012-01-02,0.13006
2012-01-03,0.16573
2012-01-04,0.3065
2012-01-05,0.27519
2012-01-06,0.27691
2012-01-07,0.21381
2012-01-08,0.20531
2012-01-09,0.20227
2012-01-10,0.19582
2012-01-11,0.20382
2012-01-12,0.21277
2012-01-13,0.20896
2012-01-14,0.20924
2012-01-15,0.20334
2012-01-16,0.22976
2012-01-17,0.22775
2012-01-18,0.22525
2012-01-19,0.22091
2012-01-20,0.21556
2012-01-21,0.20941
2012-01-22,0.20261
2012-01-23,0.196
2012-01-24,0.20005
2012-01-25,0.20061
2012-01-26,0.19494
2012-01-27,0.19632
2012-01-28,0.20568
2012-01-29,0.20186
2012-01-30,0.19574
2012-01-31,0.18952
2012-02-01,0.18349
2012-02-02,0.17769
2012-02-03,0.17209
2012-02-04,0.1667
2012-02-05,0.1615
2012-02-06,0.15649
2012-02-07,0.15166
2012-02-08,0.147
2012-02-09,0.14251
2012-02-10,0.17359
2012-02-11,0.19815
2012-02-12,0.22306
2012-02-13,0.2212
2012-02-14,0.21485
2012-02-15,0.21081
2012-02-16,0.20476
2012-02-17,0.20795
2012-02-18,0.24116
2012-02-19,0.24044
2012-02-20,0.23286
2012-02-21,0.22471
2012-02-22,0.2169
2012-02-23,0.21578
2012-02-24,0.21035
2012-02-25,0.20301
2012-02-26,0.19573
2012-02-27,0.18888
2012-02-28,0.18244
2012-02-29,0.17674
2012-03-01,0.17323
2012-03-02,0.16714
2012-03-03,0.16039
2012-03-04,0.15422
2012-03-05,0.1484
2012-03-06,0.14352
2012-03-07,0.14001
2012-03-08,0.13676
2012-03-09,0.13358
2012-03-10,0.1304
2012-03-11,0.12733
2012-03-12,0.12706
2012-03-13,0.12469
2012-03-14,0.12193
2012-03-15,0.11911
2012-03-16,0.11631
2012-03-17,0.11364
2012-03-18,0.11098
2012-03-19,0.10841
2012-03-20,0.10595
2012-03-21,0.10342
2012-03-22,0.10097
2012-03-23,0.098675
2012-03-24,0.096459
2012-03-25,0.094271
2012-03-26,0.092013
2012-03-27,0.089735
2012-03-28,0.087466
2012-03-29,0.087048
2012-03-30,0.085662
2012-03-31,0.084707
2012-04-01,0.082754
2012-04-02,0.080998
2012-04-03,0.078674
2012-04-04,0.076026
2012-04-05,0.073473
2012-04-06,0.070949
2012-04-07,0.068404
2012-04-08,0.065736
2012-04-09,0.063126
2012-04-10,0.06091
2012-04-11,0.0589
2012-04-12,0.060164
2012-04-13,0.059909
2012-04-14,0.058463
2012-04-15,0.056884
2012-04-16,0.055663
2012-04-17,0.054396
2012-04-18,0.052686
2012-04-19,0.051474
2012-04-20,0.049739
2012-04-21,0.047893
2012-04-22,0.056998
2012-04-23,0.057024
2012-04-24,0.056661
2012-04-25,0.059603
2012-04-26,0.059353
2012-04-27,0.061414
2012-04-28,0.070348
2012-04-29,0.068059
2012-04-30,0.06446
2012-05-01,0.061452
2012-05-02,0.058359
2012-05-03,0.055172
2012-05-04,0.052574
2012-05-05,0.050156
2012-05-06,0.047776
2012-05-07,0.045679
2012-05-08,0.049077
2012-05-09,0.049371
2012-05-10,0.047474
2012-05-11,0.045334
2012-05-12,0.043323
2012-05-13,0.04997
2012-05-14,0.053156
2012-05-15,0.051861
2012-05-16,0.049536
2012-05-17,0.047144
2012-05-18,0.044856
2012-05-19,0.042536
2012-05-20,0.040451
2012-05-21,0.03845
2012-05-22,0.037641
2012-05-23,0.038694
2012-05-24,0.04126
2012-05-25,0.04051
2012-05-26,0.039921
2012-05-27,0.037759
2012-05-28,0.035048
2012-05-29,0.032469
2012-05-30,0.030081
2012-05-31,0.029142
2012-06-01,0.027464
2012-06-02,0.025238
2012-06-03,0.022852
2012-06-04,0.020336
2012-06-05,0.017849
2012-06-06,0.015309
2012-06-07,0.013702
2012-06-08,0.013168
2012-06-09,0.012836
2012-06-10,0.012538
2012-06-11,0.012249
2012-06-12,0.015694
2012-06-13,0.014907
2012-06-14,0.012988
2012-06-15,0.011427
