time,rdis
2024-01-01,0.17728
2024-01-02,0.17029
2024-01-03,0.16419
2024-01-04,0.15841
2024-01-05,0.15288
2024-01-06,0.18678
2024-01-07,0.18771
2024-01-08,0.18223
2024-01-09,0.1761
2024-01-10,0.17011
2024-01-11,0.16435
2024-01-12,0.1588
2024-01-13,0.15348
2024-01-14,0.14836
2024-01-15,0.14343
2024-01-16,0.1387
2024-01-17,0.13414
2024-01-18,0.12976
2024-01-19,0.12554
2024-01-20,0.12148
2024-01-21,0.11757
2024-01-22,0.73276
2024-01-23,0.87399
2024-01-24,0.66912
2024-01-25,0.50009
2024-01-26,0.35906
2024-01-27,0.32543
2024-01-28,0.31696
2024-01-29,0.44228
2024-01-30,0.41794
2024-01-31,0.35014
2024-02-01,0.62587
2024-02-02,0.52503
2024-02-03,0.39857
2024-02-04,0.36324
2024-02-05,0.47965
2024-02-06,0.45793
2024-02-07,0.38412
2024-02-08,0.36076
2024-02-09,0.34799
2024-02-10,0.33978
2024-02-11,0.33914
2024-02-12,0.33312
2024-02-13,0.35156
2024-02-14,0.3479
2024-02-15,0.35497
2024-02-16,0.37158
2024-02-17,0.35325
2024-02-18,0.3503
2024-02-19,0.34151
2024-02-20,0.33148
2024-02-21,0.32465
2024-02-22,0.32296
2024-02-23,0.31917
2024-02-24,0.3107
2024-02-25,0.54773
2024-02-26,0.65001
2024-02-27,0.48906
2024-02-28,0.39474
2024-02-29,0.3694
2024-03-01,0.35687
2024-03-02,0.34635
2024-03-03,0.33636
2024-03-04,0.32673
2024-03-05,0.32071
2024-03-06,0.31202
2024-03-07,0.30321
2024-03-08,0.29465
2024-03-09,0.28635
2024-03-10,0.27832
2024-03-11,0.27055
2024-03-12,0.29497
2024-03-13,0.29411
2024-03-14,0.32081
2024-03-15,0.31805
2024-03-16,0.31971
2024-03-17,0.31853
2024-03-18,0.33338
2024-03-19,0.328
2024-03-20,0.31867
2024-03-21,0.30933
2024-03-22,0.30029
2024-03-23,0.29155
2024-03-24,0.2831
2024-03-25,0.27494
2024-03-26,0.26704
2024-03-27,0.2594
2024-03-28,0.26401
2024-03-29,0.47188
2024-03-30,0.40075
2024-03-31,0.34802
2024-04-01,0.32855
2024-04-02,0.31659
2024-04-03,0.32741
2024-04-04,0.31965
2024-04-05,0.30787
2024-04-06,0.30349
2024-04-07,0.29408
2024-04-08,0.28827
2024-04-09,0.27804
2024-04-10,0.26956
2024-04-11,0.27057
2024-04-12,0.27101
2024-04-13,0.26306
2024-04-14,0.28713
2024-04-15,0.43759
2024-04-16,0.33864
2024-04-17,0.30815
2024-04-18,0.46466
2024-04-19,0.42994
2024-04-20,0.3406
2024-04-21,0.31237
2024-04-22,0.29719
2024-04-23,0.30098
2024-04-24,0.29
2024-04-25,0.27585
2024-04-26,0.26877
2024-04-27,0.26078
2024-04-28,0.24873
2024-04-29,0.23626
2024-04-30,0.22385
2024-05-01,0.22408
2024-05-02,0.21133
2024-05-03,0.20427
2024-05-04,0.20438
2024-05-05,0.19589
2024-05-06,0.18967
2024-05-07,0.18502
2024-05-08,0.1798
2024-05-09,0.17463
2024-05-10,0.1696
2024-05-11,0.20746
2024-05-12,0.31671
2024-05-13,0.24272
2024-05-14,0.40936
2024-05-15,0.26432
2024-05-16,0.22226
2024-05-17,0.35967
2024-05-18,0.24698
2024-05-19,0.21644
2024-05-20,0.25453
2024-05-21,0.217
2024-05-22,0.46086
2024-05-23,0.36812
2024-05-24,0.24551
2024-05-25,0.21242
2024-05-26,0.1951
2024-05-27,0.20141
2024-05-28,0.18886
2024-05-29,0.17915
2024-05-30,0.16513
2024-05-31,0.16928
2024-06-01,0.1656
2024-06-02,0.15446
2024-06-03,0.15692
2024-06-04,0.15287
2024-06-05,0.15481
2024-06-06,0.16344
2024-06-07,0.15198
2024-06-08,0.14067
2024-06-09,0.41379
2024-06-10,0.24474
2024-06-11,0.22589
2024-06-12,0.17877
2024-06-13,0.16088
2024-06-14,0.14464
2024-06-15,0.13258
2024-06-16,0.12223
2024-06-17,0.12296
2024-06-18,0.1587
2024-06-19,0.43963
2024-06-20,0.22915
2024-06-21,0.1634
2024-06-22,0.13974
2024-06-23,0.1217
2024-06-24,0.10461
2024-06-25,0.097358
2024-06-26,0.092713
2024-06-27,0.088446
2024-06-28,0.084159
2024-06-29,0.080189
2024-06-30,0.0764
2024-07-01,0.075318
2024-07-02,0.073063
2024-07-03,0.071313
2024-07-04,0.10991
