time,rdis
2072-01-01,0.060891
2072-01-02,0.059968
2072-01-03,0.059413
2072-01-04,0.064769
2072-01-05,0.069485
2072-01-06,0.13023
2072-01-07,0.14264
2072-01-08,0.14143
2072-01-09,0.15551
2072-01-10,0.1653
2072-01-11,0.16258
2072-01-12,0.15702
2072-01-13,0.15129
2072-01-14,0.14578
2072-01-15,0.1423
2072-01-16,0.13748
2072-01-17,0.13257
2072-01-18,0.12886
2072-01-19,0.12457
2072-01-20,0.1204
2072-01-21,0.1164
2072-01-22,0.11254
2072-01-23,0.10884
2072-01-24,0.10527
2072-01-25,0.10184
2072-01-26,0.098543
2072-01-27,0.095366
2072-01-28,0.092812
2072-01-29,0.26013
2072-01-30,0.23898
2072-01-31,0.52652
2072-02-01,0.39145
2072-02-02,0.3688
2072-02-03,0.36111
2072-02-04,0.2928
2072-02-05,0.26894
2072-02-06,0.25792
2072-02-07,0.24951
2072-02-08,0.24171
2072-02-09,0.2341
2072-02-10,0.22673
2072-02-11,0.22057
2072-02-12,0.21552
2072-02-13,0.20868
2072-02-14,0.20193
2072-02-15,0.19576
2072-02-16,0.18987
2072-02-17,0.1842
2072-02-18,0.17884
2072-02-19,0.17369
2072-02-20,0.1683
2072-02-21,0.16402
2072-02-22,0.16036
2072-02-23,0.15611
2072-02-24,0.15146
2072-02-25,0.14666
2072-02-26,0.14453
2072-02-27,0.14072
2072-02-28,0.1382
2072-02-29,0.16134
2072-03-01,0.16841
2072-03-02,0.19287
2072-03-03,0.19664
2072-03-04,0.19075
2072-03-05,0.18355
2072-03-06,0.17747
2072-03-07,0.17344
2072-03-08,0.21479
2072-03-09,0.22685
2072-03-10,0.22301
2072-03-11,0.34622
2072-03-12,0.28704
2072-03-13,0.41572
2072-03-14,0.37949
2072-03-15,0.57023
2072-03-16,0.40892
2072-03-17,0.31803
2072-03-18,0.44585
2072-03-19,0.42654
2072-03-20,0.35376
2072-03-21,0.43534
2072-03-22,0.34382
2072-03-23,0.45384
2072-03-24,0.67032
2072-03-25,0.57035
2072-03-26,0.43606
2072-03-27,0.60738
2072-03-28,0.62759
2072-03-29,0.52593
2072-03-30,0.40719
2072-03-31,0.37417
2072-04-01,0.35837
2072-04-02,0.34484
2072-04-03,0.33241
2072-04-04,0.32045
2072-04-05,0.31006
2072-04-06,0.30265
2072-04-07,0.29525
2072-04-08,0.29282
2072-04-09,0.28874
2072-04-10,0.29018
2072-04-11,0.28606
2072-04-12,0.27718
2072-04-13,0.26949
2072-04-14,0.2638
2072-04-15,0.26157
2072-04-16,0.25231
2072-04-17,0.24149
2072-04-18,0.23119
2072-04-19,0.22112
2072-04-20,0.2134
2072-04-21,0.20758
2072-04-22,0.20376
2072-04-23,0.19868
2072-04-24,0.19338
2072-04-25,0.18864
2072-04-26,0.18338
2072-04-27,0.17836
2072-04-28,0.17348
2072-04-29,0.16864
2072-04-30,0.16377
2072-05-01,0.15894
2072-05-02,0.15431
2072-05-03,0.15215
2072-05-04,0.15034
2072-05-05,0.14978
2072-05-06,0.14671
2072-05-07,0.14447
2072-05-08,0.14064
2072-05-09,0.13782
2072-05-10,0.14399
2072-05-11,0.14262
2072-05-12,0.14846
2072-05-13,0.14661
2072-05-14,0.16932
2072-05-15,1.1501
2072-05-16,0.67321
2072-05-17,0.33415
2072-05-18,0.26124
2072-05-19,0.23697
2072-05-20,0.22002
2072-05-21,0.21572
2072-05-22,0.20251
2072-05-23,0.18793
2072-05-24,0.17979
2072-05-25,0.17345
2072-05-26,0.16746
2072-05-27,0.1617
2072-05-28,0.15644
2072-05-29,0.15416
2072-05-30,0.15231
2072-05-31,1.2792
2072-06-01,0.6354
2072-06-02,0.33827
2072-06-03,0.36731
2072-06-04,0.25385
2072-06-05,0.21563
2072-06-06,0.21447
2072-06-07,0.21026
2072-06-08,0.47399
2072-06-09,1.1291
2072-06-10,0.73972
2072-06-11,0.37569
2072-06-12,0.29006
2072-06-13,0.27184
2072-06-14,0.25915
2072-06-15,0.24868
2072-06-16,0.23563
2072-06-17,0.23933
2072-06-18,0.22973
2072-06-19,0.21877
2072-06-20,0.20468
2072-06-21,0.20891
2072-06-22,0.19855
2072-06-23,0.18409
2072-06-24,0.21753
2072-06-25,0.23252
2072-06-26,0.23238
2072-06-27,0.2201
2072-06-28,0.20425
2072-06-29,0.2014
2072-06-30,0.2013
2072-07-01,0.1982
2072-07-02,0.19594
2072-07-03,0.19183
2072-07-04,0.17957
2072-07-05,0.16392
2072-07-06,0.14716
2072-07-07,0.13928
