time,rdis
2022-01-01,0.34413
2022-01-02,0.43074
2022-01-03,0.37832
2022-01-04,0.35846
2022-01-05,0.34675
2022-01-06,0.33652
2022-01-07,0.32675
2022-01-08,0.31733
2022-01-09,0.30822
2022-01-10,0.29941
2022-01-11,0.29088
2022-01-12,0.28264
2022-01-13,0.27466
2022-01-14,0.26694
2022-01-15,0.25946
2022-01-16,0.31241
2022-01-17,0.60569
2022-01-18,0.47384
2022-01-19,0.5641
2022-01-20,0.44106
2022-01-21,0.38494
2022-01-22,0.3666
2022-01-23,0.35507
2022-01-24,0.34472
2022-01-25,0.33481
2022-01-26,0.32524
2022-01-27,0.31598
2022-01-28,0.31027
2022-01-29,0.30203
2022-01-30,0.31695
2022-01-31,0.52147
2022-02-01,0.67305
2022-02-02,0.60379
2022-02-03,0.63063
2022-02-04,0.48178
2022-02-05,0.62317
2022-02-06,0.72832
2022-02-07,0.56348
2022-02-08,0.48012
2022-02-09,0.44194
2022-02-10,0.43076
2022-02-11,0.4223
2022-02-12,0.58423
2022-02-13,0.48665
2022-02-14,0.43874
2022-02-15,0.42045
2022-02-16,0.40815
2022-02-17,0.39617
2022-02-18,0.40493
2022-02-19,0.39627
2022-02-20,0.38462
2022-02-21,0.40072
2022-02-22,0.47468
2022-02-23,0.42181
2022-02-24,0.40062
2022-02-25,0.38674
2022-02-26,0.37755
2022-02-27,0.48701
2022-02-28,0.42932
2022-03-01,0.39902
2022-03-02,0.38409
2022-03-03,0.37213
2022-03-04,0.36119
2022-03-05,0.36283
2022-03-06,0.36413
2022-03-07,0.43267
2022-03-08,0.43916
2022-03-09,0.39388
2022-03-10,0.37677
2022-03-11,0.36444
2022-03-12,0.35868
2022-03-13,0.34784
2022-03-14,0.33618
2022-03-15,0.32533
2022-03-16,0.31977
2022-03-17,0.3123
2022-03-18,0.30701
2022-03-19,0.30466
2022-03-20,0.32542
2022-03-21,0.34334
2022-03-22,0.3396
2022-03-23,0.3306
2022-03-24,0.43001
2022-03-25,0.41745
2022-03-26,0.36089
2022-03-27,0.34202
2022-03-28,0.34019
2022-03-29,0.33137
2022-03-30,0.32055
2022-03-31,0.45718
2022-04-01,0.43149
2022-04-02,0.50406
2022-04-03,0.38417
2022-04-04,0.37475
2022-04-05,0.34755
2022-04-06,0.34695
2022-04-07,0.33742
2022-04-08,1.0866
2022-04-09,0.76802
2022-04-10,0.48888
2022-04-11,0.46638
2022-04-12,0.4085
2022-04-13,0.39153
2022-04-14,0.38097
2022-04-15,0.36686
2022-04-16,0.36406
2022-04-17,0.35458
2022-04-18,0.34594
2022-04-19,0.33368
2022-04-20,0.32144
2022-04-21,0.30815
2022-04-22,0.29336
2022-04-23,0.28007
2022-04-24,0.27008
2022-04-25,0.26856
2022-04-26,0.27121
2022-04-27,0.26536
2022-04-28,0.29888
2022-04-29,0.29366
2022-04-30,0.28038
2022-05-01,0.26701
2022-05-02,0.26277
2022-05-03,0.25198
2022-05-04,0.24114
2022-05-05,0.22996
2022-05-06,0.21677
2022-05-07,0.20774
2022-05-08,0.21132
2022-05-09,0.23058
2022-05-10,0.2267
2022-05-11,0.21715
2022-05-12,0.2043
2022-05-13,0.19115
2022-05-14,0.18135
2022-05-15,0.17562
2022-05-16,0.16983
2022-05-17,0.1638
2022-05-18,0.15794
2022-05-19,0.1522
2022-05-20,0.14663
2022-05-21,0.14134
2022-05-22,0.13661
2022-05-23,0.13226
2022-05-24,0.12782
2022-05-25,0.12337
2022-05-26,0.11907
2022-05-27,0.11488
2022-05-28,0.11083
2022-05-29,0.10667
2022-05-30,0.10378
2022-05-31,0.10132
2022-06-01,0.098985
