time,rdis
1975-01-01,0.0023331
1975-01-02,0.0022731
1975-01-03,0.00222
1975-01-04,0.0021687
1975-01-05,0.0021644
1975-01-06,0.0021229
1975-01-07,0.0021742
1975-01-08,0.0021525
1975-01-09,0.0021007
1975-01-10,0.0020749
1975-01-11,0.0021782
1975-01-12,0.0022135
1975-01-13,0.0022041
1975-01-14,0.0021629
1975-01-15,0.0021456
1975-01-16,0.0020969
1975-01-17,0.0020383
1975-01-18,0.53199
1975-01-19,0.18921
1975-01-20,0.044291
1975-01-21,0.010061
1975-01-22,0.0036356
1975-01-23,0.0025384
1975-01-24,0.0023345
1975-01-25,0.0022528
1975-01-26,0.002184
1975-01-27,0.0021193
1975-01-28,0.0020558
1975-01-29,0.001993
1975-01-30,0.0019302
1975-01-31,0.0018749
1975-02-01,0.0018363
1975-02-02,0.0019689
1975-02-03,15.537
1975-02-04,24.063
1975-02-05,10.005
1975-02-06,4.618
1975-02-07,2.9606
1975-02-08,1.7418
1975-02-09,1.3262
1975-02-10,1.1917
1975-02-11,1.1196
1975-02-12,1.06
1975-02-13,1.0044
1975-02-14,0.95597
1975-02-15,0.91211
1975-02-16,0.87454
1975-02-17,0.84318
1975-02-18,0.81503
1975-02-19,0.78848
1975-02-20,0.76517
1975-02-21,0.74378
1975-02-22,0.72342
1975-02-23,0.70346
1975-02-24,0.68498
1975-02-25,0.6674
1975-02-26,0.65024
1975-02-27,0.63394
1975-02-28,0.6186
1975-03-01,0.6038
1975-03-02,0.58932
1975-03-03,0.57531
1975-03-04,0.56193
1975-03-05,0.54895
1975-03-06,0.53643
1975-03-07,0.52412
1975-03-08,0.51205
1975-03-09,5.1598
1975-03-10,10.592
1975-03-11,8.7603
1975-03-12,5.4406
1975-03-13,3.4959
1975-03-14,2.7892
1975-03-15,2.4794
1975-03-16,2.2702
1975-03-17,2.0926
1975-03-18,1.9274
1975-03-19,1.7759
1975-03-20,1.6442
1975-03-21,1.5401
1975-03-22,1.445
1975-03-23,1.3504
1975-03-24,1.2497
1975-03-25,1.1535
1975-03-26,1.0553
1975-03-27,0.94337
1975-03-28,0.86865
1975-03-29,0.84618
1975-03-30,1.049
1975-03-31,1.0432
1975-04-01,15.203
1975-04-02,13.432
1975-04-03,7.8221
1975-04-04,4.8981
1975-04-05,4.4312
1975-04-06,4.038
1975-04-07,3.6796
1975-04-08,3.3598
1975-04-09,3.0713
1975-04-10,2.8087
1975-04-11,2.5643
1975-04-12,2.3397
1975-04-13,2.1343
1975-04-14,1.9714
1975-04-15,1.8195
1975-04-16,1.6744
1975-04-17,1.5494
1975-04-18,1.409
1975-04-19,1.2964
1975-04-20,1.1952
1975-04-21,1.1252
1975-04-22,1.0758
1975-04-23,1.0381
1975-04-24,1.0064
1975-04-25,0.97954
1975-04-26,1.106
1975-04-27,0.99175
1975-04-28,0.92623
1975-04-29,0.89376
1975-04-30,0.87115
1975-05-01,0.85069
1975-05-02,0.83096
1975-05-03,0.81172
1975-05-04,0.79292
1975-05-05,0.77471
1975-05-06,0.75712
1975-05-07,0.73994
1975-05-08,0.72461
1975-05-09,0.71707
1975-05-10,0.72876
1975-05-11,0.72102
1975-05-12,0.70266
1975-05-13,0.68166
1975-05-14,0.65957
1975-05-15,0.63961
1975-05-16,0.62517
1975-05-17,0.64806
1975-05-18,0.63334
1975-05-19,0.61224
1975-05-20,0.59111
1975-05-21,0.57111
1975-05-22,0.55273
1975-05-23,0.53686
1975-05-24,0.52207
1975-05-25,0.50908
1975-05-26,0.49704
1975-05-27,0.48545
1975-05-28,0.47417
1975-05-29,0.46313
1975-05-30,0.45237
1975-05-31,0.44183
1975-06-01,0.43161
1975-06-02,0.42166
1975-06-03,0.41196
1975-06-04,0.40248
1975-06-05,0.39323
1975-06-06,0.38418
1975-06-07,0.37535
1975-06-08,0.36671
1975-06-09,0.35828
1975-06-10,0.35004
1975-06-11,0.34199
1975-06-12,0.33412
1975-06-13,0.32644
1975-06-14,0.31893
1975-06-15,0.31159
1975-06-16,0.30443
1975-06-17,0.29743
1975-06-18,0.29058
1975-06-19,0.2839
1975-06-20,0.27737
1975-06-21,0.27099
1975-06-22,0.26476
1975-06-23,0.25867
1975-06-24,0.25272
1975-06-25,0.24691
1975-06-26,0.24123
1975-06-27,0.23568
1975-06-28,0.23026
1975-06-29,0.22496
1975-06-30,0.21979
1975-07-01,0.21473
1975-07-02,0.2098
1975-07-03,0.20497
1975-07-04,0.20026
1975-07-05,0.19565
1975-07-06,0.19115
1975-07-07,0.18675
1975-07-08,0.18246
1975-07-09,0.17826
1975-07-10,0.17416
1975-07-11,0.17016
1975-07-12,0.16624
1975-07-13,0.16242
1975-07-14,0.15868
1975-07-15,0.15503
1975-07-16,0.15147
1975-07-17,0.14798
1975-07-18,0.14458
1975-07-19,0.14125
1975-07-20,0.13801
1975-07-21,0.13483
1975-07-22,0.13173
1975-07-23,0.1287
1975-07-24,0.12574
1975-07-25,0.12285
1975-07-26,0.12002
1975-07-27,0.11726
1975-07-28,0.11457
1975-07-29,0.11193
1975-07-30,0.10936
1975-07-31,0.10684
1975-08-01,0.10438
1975-08-02,0.10198
1975-08-03,0.099637
1975-08-04,0.097345
1975-08-05,0.095106
1975-08-06,0.092919
1975-08-07,0.090782
1975-08-08,0.088694
1975-08-09,0.086654
1975-08-10,0.084661
1975-08-11,0.082713
1975-08-12,0.080811
1975-08-13,0.078952
1975-08-14,0.077136
1975-08-15,0.075362
1975-08-16,0.073629
1975-08-17,0.071936
1975-08-18,0.070281
1975-08-19,0.068665
