time,rdis
1988-01-01,0.052654
1988-01-02,0.057894
1988-01-03,0.058958
1988-01-04,0.06335
1988-01-05,0.064845
1988-01-06,0.06427
1988-01-07,0.063004
1988-01-08,0.06159
1988-01-09,0.060612
1988-01-10,0.059411
1988-01-11,0.058094
1988-01-12,0.056773
1988-01-13,0.055475
1988-01-14,0.054203
1988-01-15,0.052957
1988-01-16,0.051739
1988-01-17,0.050547
1988-01-18,0.049377
1988-01-19,0.048232
1988-01-20,0.047141
1988-01-21,0.048702
1988-01-22,0.049215
1988-01-23,0.04859
1988-01-24,0.047577
1988-01-25,0.046503
1988-01-26,0.045431
1988-01-27,0.044374
1988-01-28,0.043339
1988-01-29,0.042326
1988-01-30,0.041334
1988-01-31,0.040366
1988-02-01,0.039419
1988-02-02,0.038491
1988-02-03,0.037583
1988-02-04,0.036695
1988-02-05,0.035831
1988-02-06,0.034986
1988-02-07,0.034151
1988-02-08,0.033337
1988-02-09,0.032546
1988-02-10,0.031776
1988-02-11,0.031023
1988-02-12,0.030286
1988-02-13,0.029566
1988-02-14,0.028857
1988-02-15,0.028163
1988-02-16,0.027485
1988-02-17,0.026825
1988-02-18,0.02618
1988-02-19,0.025551
1988-02-20,0.024936
1988-02-21,0.024334
1988-02-22,0.023744
1988-02-23,0.023244
1988-02-24,0.022747
1988-02-25,0.022231
1988-02-26,0.021713
1988-02-27,0.021207
1988-02-28,0.020713
1988-02-29,0.020281
1988-03-01,0.019814
1988-03-02,0.019335
1988-03-03,0.01886
1988-03-04,0.018401
1988-03-05,0.017956
1988-03-06,0.017519
1988-03-07,0.017077
1988-03-08,0.016633
1988-03-09,0.016217
1988-03-10,0.015833
1988-03-11,0.015467
1988-03-12,0.015111
1988-03-13,0.014763
1988-03-14,0.014424
1988-03-15,0.014092
1988-03-16,0.013768
1988-03-17,0.013451
1988-03-18,0.013142
1988-03-19,0.01284
1988-03-20,0.012544
1988-03-21,0.012256
1988-03-22,0.011974
1988-03-23,0.011699
1988-03-24,0.01143
1988-03-25,0.011167
1988-03-26,0.01091
1988-03-27,0.010659
1988-03-28,0.010414
1988-03-29,0.010174
1988-03-30,0.0099403
1988-03-31,0.0097117
1988-04-01,0.0094884
1988-04-02,0.80553
1988-04-03,18.372
1988-04-04,22.681
1988-04-05,9.8454
1988-04-06,3.6573
1988-04-07,1.6794
1988-04-08,1.1841
1988-04-09,1.0645
1988-04-10,1.0221
1988-04-11,0.99424
1988-04-12,0.97011
1988-04-13,0.9473
1988-04-14,0.9258
1988-04-15,0.90444
1988-04-16,0.88563
1988-04-17,0.86663
1988-04-18,0.84627
