time,rdis
1984-01-01,0.6994827
1984-01-02,0.7128335
1984-01-03,0.7161658
1984-01-04,0.68162096
1984-01-05,0.6681945
1984-01-06,0.66165006
1984-01-07,0.6552236
1984-01-08,0.64890784
1984-01-09,0.65190977
1984-01-10,0.6367566
1984-01-11,0.6304992
1984-01-12,0.62461233
1984-01-13,1.3385853
1984-01-14,4.0707746
1984-01-15,3.1105077
1984-01-16,0.7766561
1984-01-17,0.6082615
1984-01-18,0.6058974
1984-01-19,0.606548
1984-01-20,0.6067415
1984-01-21,0.6065908
1984-01-22,0.6065181
1984-01-23,0.6054445
1984-01-24,0.6069331
1984-01-25,0.6032139
1984-01-26,0.600502
1984-01-27,0.5979252
1984-01-28,0.5950825
1984-01-29,0.5919447
1984-01-30,0.58841014
1984-01-31,2.6336188
1984-02-01,1.4254025
1984-02-02,0.57775813
1984-02-03,0.5752827
1984-02-04,0.57298416
1984-02-05,0.57071334
1984-02-06,0.5683666
1984-02-07,0.5660511
1984-02-08,0.5633532
1984-02-09,0.5605067
1984-02-10,0.6308381
1984-02-11,3.3481045
1984-02-12,1.7381335
1984-02-13,0.5537128
1984-02-14,0.5516904
1984-02-15,0.5516252
1984-02-16,0.5512712
1984-02-17,0.5561442
1984-02-18,0.55213827
1984-02-19,0.5484425
1984-02-20,0.55469424
1984-02-21,0.5669293
1984-02-22,0.5457768
1984-02-23,0.541455
1984-02-24,0.5384352
1984-02-25,0.53651404
1984-02-26,0.53221864
1984-02-27,0.527429
1984-02-28,0.522879
1984-02-29,0.5908077
1984-03-01,0.5331769
1984-03-02,0.5097759
1984-03-03,0.50474995
1984-03-04,0.49935797
1984-03-05,0.49348056
1984-03-06,0.48735908
1984-03-07,0.48103714
1984-03-08,0.47440782
1984-03-09,5.6825147
1984-03-10,3.3534663
1984-03-11,0.7312205
1984-03-12,0.45956284
1984-03-13,0.46032217
1984-03-14,0.4640804
1984-03-15,0.46289787
1984-03-16,0.4631135
1984-03-17,0.4626271
1984-03-18,0.46132955
1984-03-19,0.45885795
1984-03-20,0.45492765
1984-03-21,0.45500275
1984-03-22,0.446492
1984-03-23,0.43853268
1984-03-24,0.4330937
1984-03-25,0.44282344
1984-03-26,8.759541
1984-03-27,18.746103
1984-03-28,11.576376
1984-03-29,2.5742614
1984-03-30,1.569152
1984-03-31,2.1066847
1984-04-01,3.0987675
1984-04-02,2.9094243
1984-04-03,2.0701993
1984-04-04,5.8604026
1984-04-05,5.6626906
1984-04-06,2.7356822
1984-04-07,1.8599197
1984-04-08,1.867838
1984-04-09,1.9582942
1984-04-10,2.025012
1984-04-11,2.0822418
1984-04-12,2.882859
1984-04-13,2.4537685
1984-04-14,2.1126301
1984-04-15,2.5149057
1984-04-16,3.9905748
1984-04-17,2.7190747
1984-04-18,2.0514975
1984-04-19,2.0272532
1984-04-20,1.996989
1984-04-21,2.2645931
1984-04-22,4.2352934
1984-04-23,3.6094759
1984-04-24,2.1792102
1984-04-25,1.8355334
1984-04-26,1.9377968
1984-04-27,2.4441898
1984-04-28,2.000746
1984-04-29,1.7295766
1984-04-30,1.7210532
1984-05-01,1.674947
1984-05-02,1.6321329
1984-05-03,2.0902662
1984-05-04,1.7606084
1984-05-05,1.5345083
1984-05-06,1.5037489
1984-05-07,7.0112276
1984-05-08,3.8379066
1984-05-09,1.4075943
1984-05-10,1.388533
1984-05-11,1.3812156
1984-05-12,1.3532615
1984-05-13,4.462166
1984-05-14,3.4427705
1984-05-15,1.5623343
1984-05-16,1.2864091
1984-05-17,1.2756569
1984-05-18,1.2608567
1984-05-19,1.241592
1984-05-20,1.2189815
1984-05-21,1.1937213
1984-05-22,1.1662903
1984-05-23,3.921751
1984-05-24,6.618959
1984-05-25,2.9844704
1984-05-26,1.0961277
1984-05-27,1.0986315
1984-05-28,1.0972056
1984-05-29,1.0903409
1984-05-30,2.6742513
1984-05-31,2.6161773
1984-06-01,1.414383
