time,rdis
1992-01-01,0.95917
1992-01-02,0.93327
1992-01-03,0.88966
1992-01-04,0.84267
1992-01-05,0.86006
1992-01-06,1.291
1992-01-07,1.3458
1992-01-08,1.3154
1992-01-09,1.2404
1992-01-10,1.1574
1992-01-11,1.0781
1992-01-12,1.0065
1992-01-13,1.0278
1992-01-14,0.99335
1992-01-15,0.93911
1992-01-16,0.90694
1992-01-17,0.85656
1992-01-18,0.80266
1992-01-19,0.75621
1992-01-20,0.71393
1992-01-21,0.91984
1992-01-22,1.1656
1992-01-23,4.9201
1992-01-24,3.2364
1992-01-25,2.3144
1992-01-26,2.099
1992-01-27,1.964
1992-01-28,1.8232
1992-01-29,1.6932
1992-01-30,1.5754
1992-01-31,1.4784
1992-02-01,1.3978
1992-02-02,1.3051
1992-02-03,1.221
1992-02-04,1.1377
1992-02-05,1.0586
1992-02-06,0.98351
1992-02-07,0.91326
1992-02-08,0.84471
1992-02-09,0.80702
1992-02-10,0.77015
1992-02-11,0.731
1992-02-12,0.87361
1992-02-13,0.99148
1992-02-14,1.0013
1992-02-15,0.96559
1992-02-16,0.92074
1992-02-17,0.85969
1992-02-18,0.79467
1992-02-19,0.73852
1992-02-20,0.6956
1992-02-21,0.66356
1992-02-22,0.6312
1992-02-23,0.59605
1992-02-24,9.3742
1992-02-25,9.2298
1992-02-26,8.3805
1992-02-27,6.0505
1992-02-28,4.8388
1992-02-29,4.5477
1992-03-01,4.4937
1992-03-02,4.2368
1992-03-03,4.0231
1992-03-04,3.8945
1992-03-05,3.7607
1992-03-06,3.7004
1992-03-07,3.44
1992-03-08,3.1498
1992-03-09,2.8864
1992-03-10,2.6553
1992-03-11,2.453
1992-03-12,2.2678
1992-03-13,2.0893
1992-03-14,1.9424
1992-03-15,1.7965
1992-03-16,1.6614
1992-03-17,1.5448
1992-03-18,1.4378
1992-03-19,1.3374
1992-03-20,1.2412
1992-03-21,1.1442
1992-03-22,1.0772
1992-03-23,1.018
1992-03-24,0.98292
1992-03-25,0.94796
1992-03-26,0.91739
1992-03-27,0.88796
1992-03-28,0.86036
1992-03-29,0.83453
1992-03-30,0.81076
1992-03-31,0.78747
1992-04-01,0.76548
1992-04-02,0.74486
1992-04-03,0.72612
1992-04-04,0.70864
1992-04-05,0.69209
1992-04-06,0.67611
1992-04-07,0.66052
1992-04-08,0.64529
1992-04-09,0.6304
1992-04-10,0.61585
1992-04-11,0.60162
1992-04-12,0.58772
1992-04-13,0.57413
1992-04-14,0.56085
1992-04-15,0.54787
1992-04-16,0.53518
1992-04-17,0.52285
1992-04-18,0.56905
1992-04-19,0.53287
1992-04-20,0.4987
1992-04-21,0.4791
1992-04-22,0.46597
1992-04-23,0.45481
1992-04-24,0.44427
1992-04-25,0.43404
1992-04-26,0.42405
1992-04-27,0.4143
1992-04-28,0.40477
1992-04-29,0.39546
1992-04-30,0.38636
1992-05-01,0.37748
1992-05-02,0.3688
1992-05-03,0.36035
1992-05-04,0.35204
1992-05-05,0.34393
1992-05-06,0.33602
1992-05-07,0.32829
1992-05-08,0.32074
1992-05-09,0.31336
1992-05-10,0.30616
1992-05-11,0.29911
1992-05-12,0.33564
1992-05-13,0.31066
1992-05-14,0.2872
1992-05-15,0.27455
1992-05-16,0.26668
1992-05-17,0.26021
1992-05-18,0.25417
1992-05-19,0.24831
1992-05-20,0.2426
1992-05-21,0.23702
1992-05-22,0.23157
1992-05-23,0.22624
1992-05-24,0.22104
1992-05-25,0.21595
1992-05-26,0.21099
1992-05-27,0.20613
1992-05-28,0.20139
1992-05-29,0.19676
1992-05-30,0.19224
1992-05-31,0.18781
1992-06-01,0.18349
1992-06-02,0.17927
1992-06-03,0.17515
1992-06-04,0.17112
1992-06-05,0.16719
1992-06-06,0.16334
1992-06-07,0.15958
1992-06-08,0.15591
