time,rdis
2001-01-01,15.045408
2001-01-02,6.7809114
2001-01-03,5.0182867
2001-01-04,4.891004
2001-01-05,4.041298
2001-01-06,3.972865
2001-01-07,4.5094123
2001-01-08,4.519655
2001-01-09,4.4120226
2001-01-10,4.389789
2001-01-11,4.391229
2001-01-12,4.390625
2001-01-13,4.339884
2001-01-14,4.281679
2001-01-15,4.214327
2001-01-16,4.1378016
2001-01-17,4.05278
2001-01-18,3.9767208
2001-01-19,3.8708773
2001-01-20,3.771583
2001-01-21,3.6749349
2001-01-22,3.5810475
2001-01-23,5.683836
2001-01-24,4.2187176
2001-01-25,3.3080273
2001-01-26,3.227269
2001-01-27,3.1503408
2001-01-28,3.0765016
2001-01-29,3.0050802
2001-01-30,2.9361982
2001-01-31,2.8693352
2001-02-01,2.906727
2001-02-02,2.7835488
2001-02-03,2.6794908
2001-02-04,2.6185832
2001-02-05,2.558754
2001-02-06,2.500908
2001-02-07,2.4449377
2001-02-08,2.3971877
2001-02-09,4.1565237
2001-02-10,2.9419014
2001-02-11,2.2396374
2001-02-12,2.1943896
2001-02-13,2.1502724
2001-02-14,2.1111562
2001-02-15,2.0695527
2001-02-16,2.087235
2001-02-17,1.9990546
2001-02-18,1.946445
2001-02-19,1.9073226
2001-02-20,1.8683914
2001-02-21,1.8295709
2001-02-22,1.7905864
2001-02-23,1.7506646
2001-02-24,1.7109774
2001-02-25,1.6786358
2001-02-26,1.6370666
2001-02-27,1.6001809
2001-02-28,1.5656877
2001-03-01,1.5317774
2001-03-02,1.4983428
2001-03-03,1.4653864
2001-03-04,1.4332515
2001-03-05,1.4019643
2001-03-06,1.3714677
2001-03-07,1.3408521
2001-03-08,1.310014
2001-03-09,1.2793301
2001-03-10,1.2490939
2001-03-11,1.2192216
2001-03-12,1.1903107
2001-03-13,1.1625158
2001-03-14,1.1355411
2001-03-15,1.109309
2001-03-16,1.0840124
2001-03-17,1.0596113
2001-03-18,1.0361173
2001-03-19,1.0138644
2001-03-20,0.9924212
2001-03-21,0.9709979
2001-03-22,0.9494788
2001-03-23,0.9277789
2001-03-24,0.90602523
2001-03-25,0.8840526
2001-03-26,0.8616544
2001-03-27,0.8391379
2001-03-28,8.846992
2001-03-29,4.6804037
2001-03-30,1.106715
2001-03-31,0.7872459
2001-04-01,0.7672063
2001-04-02,0.76155543
2001-04-03,0.8175459
2001-04-04,0.7958227
2001-04-05,0.74527156
2001-04-06,0.7372622
2001-04-07,0.79773617
2001-04-08,0.7483891
2001-04-09,0.7074845
2001-04-10,0.6965254
2001-04-11,0.6851289
2001-04-12,0.67270815
2001-04-13,0.65914637
2001-04-14,0.6447813
2001-04-15,0.629184
2001-04-16,0.6124375
2001-04-17,0.5956278
2001-04-18,0.5791103
2001-04-19,0.56283987
2001-04-20,0.5468986
2001-04-21,0.5310312
2001-04-22,0.51516056
2001-04-23,0.49912432
2001-04-24,0.48270416
2001-04-25,0.46611494
2001-04-26,0.5011643
2001-04-27,0.44865018
2001-04-28,0.41759312
2001-04-29,0.40182158
2001-04-30,0.4436618
2001-05-01,4.365394
2001-05-02,2.0266938
2001-05-03,0.40893137
2001-05-04,0.35719132
2001-05-05,0.35941193
2001-05-06,0.33408847
2001-05-07,2.1619143
2001-05-08,1.1829972
2001-05-09,2.7012823
2001-05-10,1.2909883
2001-05-11,0.29514667
2001-05-12,0.29055417
2001-05-13,0.60187036
2001-05-14,0.36886314
2001-05-15,0.27681383
2001-05-16,3.1428692
2001-05-17,1.3648565
2001-05-18,0.25876302
2001-05-19,0.2538433
2001-05-20,0.24920207
2001-05-21,0.24455169
2001-05-22,0.26023918
2001-05-23,0.24351028
2001-05-24,0.23003608
2001-05-25,0.22842218
2001-05-26,1.5663418
2001-05-27,1.3404348
2001-05-28,1.0427806
2001-05-29,1.0469623
2001-05-30,0.40319514
2001-05-31,0.19955012
2001-06-01,0.19592445
2001-06-02,0.19250196
2001-06-03,0.18759586
2001-06-04,0.18190615
2001-06-05,0.176118
2001-06-06,0.16978648
2001-06-07,0.18294373
2001-06-08,1.0969725
2001-06-09,0.59071255
2001-06-10,0.14561294
2001-06-11,0.14030696
2001-06-12,0.2432899
2001-06-13,0.1878229
2001-06-14,0.12570307
2001-06-15,0.12130759
2001-06-16,0.11696443
2001-06-17,0.11354983
2001-06-18,0.19408208
2001-06-19,4.0029387
2001-06-20,3.388324
2001-06-21,1.9842426
2001-06-22,2.5367157
2001-06-23,0.8678589
2001-06-24,0.35429633
2001-06-25,0.16016428
2001-06-26,0.6112066
2001-06-27,0.28998423
2001-06-28,0.0970198
2001-06-29,1.4031698
2001-06-30,1.9447029
2001-07-01,2.6126356
2001-07-02,2.9050431
2001-07-03,1.2161816
2001-07-04,0.22103208
2001-07-05,0.10652463
2001-07-06,0.12091979
2001-07-07,0.11598373
2001-07-08,0.11358669
2001-07-09,0.1141977
2001-07-10,0.113989756
2001-07-11,0.18327016
2001-07-12,0.14684644
2001-07-13,0.110220976
2001-07-14,2.1564174
2001-07-15,1.0002906
2001-07-16,0.10542911
2001-07-17,0.103699304
2001-07-18,0.34342128
2001-07-19,0.15529543
2001-07-20,0.099024616
2001-07-21,0.097364455
2001-07-22,0.468924
2001-07-23,0.22647074
2001-07-24,0.099850126
2001-07-25,0.09106225
2001-07-26,0.088118784
2001-07-27,0.08612563
2001-07-28,0.08392218
2001-07-29,0.081515394
2001-07-30,0.078943156
2001-07-31,0.07618817
2001-08-01,1.5452062
2001-08-02,0.69299537
2001-08-03,0.06818039
2001-08-04,0.08849723
2001-08-05,2.8014884
2001-08-06,1.3249876
2001-08-07,0.09572308
2001-08-08,0.059000675
2001-08-09,0.05757064
2001-08-10,0.09580095
2001-08-11,0.91797185
2001-08-12,0.31702328
