time,rdis
1972-01-01,0.93087
1972-01-02,0.31249
1972-01-03,0.17185
1972-01-04,0.14399
1972-01-05,0.13688
1972-01-06,0.13317
1972-01-07,0.13002
1972-01-08,0.12702
1972-01-09,0.12411
1972-01-10,0.12126
1972-01-11,0.1185
1972-01-12,0.11579
1972-01-13,0.11314
1972-01-14,0.11054
1972-01-15,0.108
1972-01-16,0.10554
1972-01-17,0.10373
1972-01-18,0.10151
1972-01-19,0.09913
1972-01-20,0.096739
1972-01-21,0.094333
1972-01-22,0.092097
1972-01-23,0.089957
1972-01-24,0.087879
1972-01-25,0.085852
1972-01-26,0.083869
1972-01-27,0.081932
1972-01-28,0.080035
1972-01-29,0.078188
1972-01-30,0.076406
1972-01-31,0.075429
1972-02-01,0.074131
1972-02-02,0.072545
1972-02-03,0.070894
1972-02-04,0.069256
1972-02-05,0.067671
1972-02-06,0.066121
1972-02-07,0.064592
1972-02-08,0.063091
1972-02-09,0.061623
1972-02-10,0.060189
1972-02-11,0.058794
1972-02-12,0.057519
1972-02-13,0.34125
1972-02-14,0.19953
1972-02-15,0.12428
1972-02-16,0.10586
1972-02-17,0.10023
1972-02-18,0.096577
1972-02-19,0.093203
1972-02-20,0.094645
1972-02-21,0.098255
1972-02-22,0.11956
1972-02-23,0.12513
1972-02-24,0.12299
1972-02-25,0.1191
1972-02-26,0.11506
1972-02-27,0.1106
1972-02-28,0.12635
1972-02-29,0.13409
1972-03-01,0.13323
1972-03-02,0.18502
1972-03-03,38.666
1972-03-04,19.628
1972-03-05,8.5857
1972-03-06,4.8474
1972-03-07,3.6471
1972-03-08,3.1339
1972-03-09,2.8103
1972-03-10,2.5591
1972-03-11,2.3473
1972-03-12,2.1585
1972-03-13,1.9805
1972-03-14,1.8102
1972-03-15,1.6589
1972-03-16,1.5227
1972-03-17,1.4098
1972-03-18,1.3194
1972-03-19,1.246
1972-03-20,1.1855
1972-03-21,1.129
1972-03-22,1.6008
1972-03-23,1.4082
1972-03-24,1.2204
1972-03-25,1.1244
1972-03-26,1.5394
1972-03-27,1.3939
1972-03-28,1.2592
1972-03-29,1.18
1972-03-30,1.12
1972-03-31,1.062
1972-04-01,1.0008
1972-04-02,0.95774
1972-04-03,2.0273
1972-04-04,1.4894
1972-04-05,1.2006
1972-04-06,1.0762
1972-04-07,4.4849
1972-04-08,4.6898
1972-04-09,3.1664
1972-04-10,2.4831
1972-04-11,2.1741
1972-04-12,1.9552
1972-04-13,1.7732
1972-04-14,1.727
1972-04-15,1.6885
1972-04-16,2.1041
1972-04-17,1.9726
1972-04-18,1.8013
1972-04-19,1.6501
1972-04-20,2.0829
1972-04-21,2.4896
1972-04-22,2.4029
1972-04-23,2.2306
1972-04-24,2.0509
1972-04-25,1.9274
1972-04-26,1.7661
1972-04-27,1.8073
1972-04-28,1.8893
1972-04-29,2.3166
1972-04-30,2.5016
1972-05-01,2.6337
1972-05-02,2.5203
1972-05-03,2.3204
1972-05-04,2.1137
1972-05-05,1.9167
1972-05-06,1.7293
1972-05-07,1.5467
1972-05-08,1.3635
1972-05-09,1.1861
1972-05-10,1.0129
1972-05-11,0.87559
1972-05-12,0.78386
1972-05-13,0.73167
1972-05-14,0.70296
1972-05-15,0.68366
1972-05-16,0.66714
1972-05-17,0.65151
1972-05-18,0.63682
1972-05-19,0.62316
1972-05-20,0.60875
1972-05-21,0.59452
1972-05-22,0.58069
1972-05-23,0.5672
1972-05-24,0.55403
1972-05-25,0.54118
1972-05-26,0.52862
1972-05-27,0.51634
1972-05-28,0.50434
1972-05-29,0.49262
1972-05-30,0.48117
1972-05-31,0.47002
1972-06-01,0.45919
1972-06-02,0.44862
1972-06-03,0.4383
1972-06-04,0.42822
1972-06-05,0.41837
1972-06-06,0.40875
1972-06-07,0.39935
1972-06-08,0.39016
1972-06-09,0.38119
1972-06-10,0.37242
1972-06-11,0.36386
1972-06-12,0.35553
1972-06-13,0.34733
1972-06-14,0.33933
1972-06-15,0.33152
1972-06-16,0.3239
1972-06-17,0.31645
1972-06-18,0.30917
1972-06-19,0.30206
1972-06-20,0.29511
1972-06-21,0.28832
1972-06-22,0.28169
1972-06-23,0.27521
1972-06-24,0.26888
1972-06-25,0.2627
1972-06-26,0.25666
1972-06-27,0.25075
1972-06-28,0.24499
1972-06-29,0.23935
1972-06-30,0.23385
1972-07-01,0.22847
1972-07-02,0.22321
1972-07-03,0.21808
1972-07-04,0.21306
1972-07-05,0.20816
1972-07-06,0.20337
1972-07-07,0.1987
1972-07-08,0.19413
1972-07-09,0.18966
1972-07-10,0.1853
1972-07-11,0.18104
1972-07-12,0.17687
1972-07-13,0.17281
1972-07-14,0.16883
1972-07-15,0.16495
1972-07-16,0.16115
1972-07-17,0.15745
1972-07-18,0.15383
1972-07-19,0.15029
1972-07-20,0.14683
1972-07-21,0.14345
1972-07-22,0.14016
1972-07-23,0.13693
1972-07-24,3.6718
1972-07-25,5.5052
1972-07-26,2.8233
1972-07-27,0.9266
1972-07-28,0.33371
1972-07-29,0.19799
1972-07-30,0.16956
1972-07-31,0.16171
1972-08-01,0.15739
1972-08-02,0.15369
1972-08-03,0.15014
1972-08-04,0.14669
1972-08-05,0.14331
1972-08-06,0.14002
1972-08-07,0.1368
1972-08-08,0.13365
1972-08-09,0.13057
1972-08-10,0.12757
1972-08-11,0.12464
1972-08-12,0.12177
1972-08-13,0.11897
1972-08-14,0.11623
1972-08-15,0.11356
1972-08-16,0.11095
1972-08-17,0.1084
1972-08-18,0.1059
1972-08-19,0.10347
1972-08-20,0.10109
1972-08-21,0.098763
1972-08-22,0.096492
1972-08-23,0.094272
1972-08-24,0.092104
1972-08-25,0.089986
1972-08-26,0.087916
1972-08-27,0.085894
1972-08-28,0.083918
1972-08-29,0.081988
1972-08-30,0.080102
1972-08-31,0.07826
1972-09-01,0.07646
1972-09-02,0.074701
1972-09-03,0.19261
1972-09-04,0.13382
1972-09-05,0.088869
1972-09-06,0.072572
1972-09-07,0.067391
1972-09-08,0.065125
1972-09-09,0.063499
1972-09-10,0.062017
1972-09-11,1.8234
1972-09-12,0.76815
1972-09-13,0.23164
1972-09-14,0.090217
1972-09-15,0.060893
1972-09-16,0.054808
1972-09-17,0.052818
1972-09-18,0.051498
1972-09-19,0.050299
1972-09-20,0.04914
1972-09-21,0.04801
1972-09-22,0.046905
1972-09-23,0.045826
1972-09-24,0.044772
1972-09-25,0.043742
1972-09-26,0.042736
1972-09-27,0.041753
1972-09-28,0.040793
1972-09-29,0.039855
1972-09-30,0.038938
1972-10-01,0.038043
1972-10-02,0.037168
1972-10-03,0.036313
1972-10-04,0.035478
1972-10-05,0.034662
1972-10-06,0.033865
1972-10-07,0.033086
1972-10-08,0.032325
1972-10-09,0.031581
1972-10-10,0.030855
1972-10-11,0.030145
1972-10-12,0.029452
1972-10-13,0.028774
1972-10-14,0.028113
1972-10-15,0.027466
1972-10-16,0.026834
1972-10-17,0.026217
1972-10-18,0.025614
1972-10-19,0.025025
1972-10-20,0.02445
1972-10-21,0.023887
1972-10-22,0.023338
1972-10-23,0.022801
1972-10-24,0.022277
1972-10-25,0.021764
1972-10-26,0.021264
1972-10-27,0.020775
1972-10-28,0.020297
1972-10-29,0.01983
1972-10-30,0.019374
1972-10-31,0.018928
1972-11-01,0.018493
1972-11-02,0.018068
1972-11-03,0.017652
1972-11-04,0.017246
1972-11-05,0.016849
1972-11-06,0.16751
1972-11-07,0.07737
1972-11-08,0.030987
1972-11-09,0.018356
1972-11-10,0.01551
1972-11-11,0.014733
1972-11-12,0.014328
1972-11-13,0.013989
1972-11-14,0.013666
1972-11-15,0.013351
1972-11-16,0.013044
1972-11-17,0.012744
1972-11-18,0.012451
1972-11-19,0.012165
1972-11-20,0.011885
1972-11-21,0.011611
1972-11-22,0.011345
1972-11-23,0.011084
1972-11-24,0.010829
1972-11-25,0.01058
1972-11-26,0.010336
1972-11-27,0.010099
1972-11-28,0.0098663
1972-11-29,0.0096393
1972-11-30,0.0094176
1972-12-01,0.7116
1972-12-02,1.0981
1972-12-03,0.37403
1972-12-04,0.095817
1972-12-05,0.030198
1972-12-06,0.01748
1972-12-07,0.015068
1972-12-08,0.014412
1972-12-09,0.014036
1972-12-10,0.013707
1972-12-11,0.013391
1972-12-12,0.013083
1972-12-13,0.012782
1972-12-14,0.012488
1972-12-15,0.012201
1972-12-16,0.011921
1972-12-17,0.011646
1972-12-18,0.011378
1972-12-19,0.011117
1972-12-20,0.010861
1972-12-21,0.010611
1972-12-22,0.010367
1972-12-23,0.010129
1972-12-24,0.0098957
1972-12-25,0.010115
1972-12-26,0.010141
1972-12-27,0.0099923
1972-12-28,0.0097832
1972-12-29,0.0095626
1972-12-30,0.0093434
1972-12-31,0.0091287
