time,rdis
1972-01-01,3.2602
1972-01-02,3.0361
1972-01-03,2.831
1972-01-04,2.6439
1972-01-05,2.4724
1972-01-06,2.3174
1972-01-07,2.1777
1972-01-08,2.0578
1972-01-09,1.9479
1972-01-10,1.8592
1972-01-11,1.7675
1972-01-12,1.6816
1972-01-13,1.6029
1972-01-14,1.5289
1972-01-15,1.4589
1972-01-16,1.3902
1972-01-17,1.3266
1972-01-18,1.2656
1972-01-19,1.2082
1972-01-20,1.1521
1972-01-21,1.0955
1972-01-22,1.0408
1972-01-23,1.1206
1972-01-24,1.1027
1972-01-25,1.0543
1972-01-26,1.0048
1972-01-27,0.9517
1972-01-28,0.89821
1972-01-29,0.85269
1972-01-30,0.81059
1972-01-31,0.76747
1972-02-01,0.73023
1972-02-02,0.69703
1972-02-03,0.67008
1972-02-04,0.64671
1972-02-05,0.62643
1972-02-06,0.60727
1972-02-07,0.59304
1972-02-08,0.57713
1972-02-09,0.56196
1972-02-10,0.54764
1972-02-11,0.53406
1972-02-12,0.52089
1972-02-13,0.51352
1972-02-14,0.5002
1972-02-15,0.48625
1972-02-16,0.47279
1972-02-17,0.46061
1972-02-18,0.44902
1972-02-19,0.43771
1972-02-20,0.42707
1972-02-21,0.41677
1972-02-22,0.40704
1972-02-23,0.40094
1972-02-24,0.39121
1972-02-25,0.38162
1972-02-26,0.37244
1972-02-27,0.36329
1972-02-28,0.35457
1972-02-29,5.8578
1972-03-01,7.8284
1972-03-02,27.527
1972-03-03,18.099
1972-03-04,10.477
1972-03-05,6.6405
1972-03-06,5.1187
1972-03-07,4.4244
1972-03-08,3.9885
1972-03-09,3.6479
1972-03-10,3.3549
1972-03-11,3.0917
1972-03-12,2.8519
1972-03-13,2.6311
1972-03-14,2.4264
1972-03-15,2.2354
1972-03-16,2.0542
1972-03-17,1.8842
1972-03-18,1.7219
1972-03-19,1.6009
1972-03-20,1.4638
1972-03-21,1.3174
1972-03-22,1.1928
1972-03-23,1.1189
1972-03-24,1.0763
1972-03-25,1.0395
1972-03-26,1.0077
1972-03-27,0.97833
1972-03-28,0.95266
1972-03-29,0.92876
1972-03-30,0.90481
1972-03-31,0.88093
1972-04-01,0.85823
1972-04-02,0.83671
1972-04-03,0.81664
1972-04-04,0.7976
1972-04-05,0.77917
1972-04-06,0.7612
1972-04-07,0.74407
1972-04-08,0.72717
1972-04-09,0.71033
1972-04-10,0.69396
1972-04-11,0.67796
1972-04-12,0.66232
1972-04-13,0.64707
1972-04-14,0.63219
1972-04-15,0.61771
1972-04-16,0.60355
1972-04-17,0.58964
1972-04-18,0.57602
1972-04-19,0.56271
1972-04-20,0.5497
1972-04-21,0.53713
1972-04-22,0.52477
1972-04-23,0.51265
1972-04-24,0.50081
1972-04-25,0.48922
1972-04-26,0.47788
1972-04-27,0.46692
1972-04-28,0.45615
1972-04-29,0.44583
1972-04-30,0.43566
1972-05-01,0.42569
1972-05-02,0.41586
1972-05-03,0.40623
1972-05-04,0.39686
1972-05-05,0.38767
1972-05-06,0.37867
1972-05-07,0.36987
1972-05-08,0.36132
1972-05-09,0.353
1972-05-10,0.34488
1972-05-11,0.33695
1972-05-12,0.3292
1972-05-13,0.32163
1972-05-14,0.31423
1972-05-15,0.307
1972-05-16,0.29994
1972-05-17,0.29304
1972-05-18,0.2863
1972-05-19,0.27972
1972-05-20,0.27329
1972-05-21,0.267
1972-05-22,0.26086
1972-05-23,0.25486
1972-05-24,0.249
1972-05-25,0.24327
1972-05-26,0.23768
1972-05-27,0.23221
1972-05-28,0.22687
1972-05-29,0.22165
1972-05-30,0.21655
1972-05-31,0.21157
1972-06-01,0.20671
1972-06-02,0.20195
1972-06-03,0.19731
1972-06-04,0.5928
1972-06-05,0.37567
1972-06-06,0.23706
1972-06-07,0.19167
1972-06-08,0.17813
1972-06-09,0.17228
1972-06-10,0.16802
1972-06-11,0.16411
1972-06-12,0.16032
1972-06-13,0.15664
1972-06-14,0.15303
1972-06-15,0.14951
1972-06-16,0.14607
1972-06-17,0.14271
1972-06-18,0.13943
1972-06-19,0.13622
1972-06-20,0.13309
1972-06-21,0.13003
1972-06-22,0.12704
1972-06-23,0.12412
1972-06-24,0.12126
1972-06-25,0.11847
1972-06-26,0.11575
1972-06-27,0.11309
1972-06-28,0.11049
1972-06-29,0.10794
1972-06-30,0.10546
1972-07-01,0.10304
1972-07-02,0.10067
1972-07-03,0.098351
1972-07-04,0.096089
1972-07-05,0.093879
1972-07-06,0.09172
1972-07-07,0.08961
1972-07-08,0.087549
1972-07-09,0.085535
1972-07-10,0.083568
1972-07-11,0.081646
1972-07-12,0.079768
1972-07-13,0.077934
1972-07-14,0.076141
1972-07-15,0.07439
1972-07-16,0.072679
1972-07-17,0.071007
1972-07-18,0.069374
1972-07-19,0.067779
1972-07-20,0.06622
1972-07-21,0.064697
1972-07-22,0.063209
1972-07-23,0.061755
1972-07-24,0.060335
1972-07-25,0.12649
1972-07-26,0.079316
1972-07-27,0.060667
1972-07-28,0.055694
1972-07-29,0.053813
1972-07-30,0.052487
1972-07-31,0.051268
1972-08-01,0.050087
1972-08-02,0.048935
1972-08-03,0.047809
1972-08-04,0.04671
1972-08-05,0.045635
1972-08-06,0.044586
1972-08-07,0.04356
1972-08-08,0.042558
1972-08-09,0.04158
1972-08-10,0.040623
1972-08-11,0.039689
1972-08-12,0.038776
1972-08-13,0.037884
1972-08-14,0.037013
1972-08-15,0.036161
1972-08-16,0.03533
1972-08-17,0.034517
1972-08-18,0.033723
1972-08-19,0.032948
1972-08-20,0.03219
1972-08-21,0.031449
1972-08-22,0.030726
1972-08-23,0.030019
1972-08-24,0.029329
1972-08-25,0.028654
1972-08-26,0.027996
1972-08-27,0.027352
1972-08-28,0.026723
1972-08-29,0.026108
1972-08-30,0.025507
1972-08-31,0.696
1972-09-01,6.1824
1972-09-02,11.012
1972-09-03,20.453
1972-09-04,48.114
1972-09-05,26.156
1972-09-06,11.724
1972-09-07,5.2834
1972-09-08,3.1306
1972-09-09,2.4343
1972-09-10,2.1731
1972-09-11,3.9761
1972-09-12,2.7241
1972-09-13,2.0832
1972-09-14,1.8499
1972-09-15,1.7635
1972-09-16,1.6956
1972-09-17,1.6455
1972-09-18,1.5885
