time,rdis
1984-01-01,3.1364622
1984-01-02,3.1476746
1984-01-03,4.348533
1984-01-04,3.5334985
1984-01-05,4.1544075
1984-01-06,5.47481
1984-01-07,3.8279414
1984-01-08,3.0739145
1984-01-09,3.052499
1984-01-10,3.111908
1984-01-11,3.1584926
1984-01-12,3.2294092
1984-01-13,3.111218
1984-01-14,3.0126016
1984-01-15,2.9696598
1984-01-16,2.9181423
1984-01-17,2.8905652
1984-01-18,2.9257915
1984-01-19,2.9260936
1984-01-20,2.9480572
1984-01-21,2.9463928
1984-01-22,2.7848065
1984-01-23,2.6972497
1984-01-24,2.6087148
1984-01-25,2.5636945
1984-01-26,2.5264575
1984-01-27,2.864156
1984-01-28,2.5505042
1984-01-29,2.511883
1984-01-30,2.410052
1984-01-31,2.3505366
1984-02-01,2.3168437
1984-02-02,2.8538365
1984-02-03,2.6028976
1984-02-04,2.5365202
1984-02-05,2.4486394
1984-02-06,2.2203836
1984-02-07,2.1367717
1984-02-08,2.1445904
1984-02-09,2.2891345
1984-02-10,2.1846504
1984-02-11,2.022147
1984-02-12,1.989818
1984-02-13,1.9567779
1984-02-14,1.9263676
1984-02-15,1.8947574
1984-02-16,1.8629467
1984-02-17,1.8311131
1984-02-18,1.799086
1984-02-19,1.7666941
1984-02-20,1.7357755
1984-02-21,1.7028015
1984-02-22,1.6707956
1984-02-23,1.6396736
1984-02-24,1.6090652
1984-02-25,1.5790308
1984-02-26,1.5487846
1984-02-27,1.518596
1984-02-28,1.4888327
1984-02-29,1.4604415
1984-03-01,1.4319544
1984-03-02,1.410548
1984-03-03,1.3794836
1984-03-04,1.3556874
1984-03-05,1.3326107
1984-03-06,1.309302
1984-03-07,1.2858988
1984-03-08,2.1614702
1984-03-09,1.6917498
1984-03-10,1.2235718
1984-03-11,1.2020082
1984-03-12,1.1823549
1984-03-13,1.1625423
1984-03-14,2.1944284
1984-03-15,2.7679923
1984-03-16,1.5963233
1984-03-17,1.0914057
1984-03-18,1.0746346
1984-03-19,1.0571195
1984-03-20,1.03976
1984-03-21,1.0227798
1984-03-22,1.0042809
1984-03-23,0.98611844
1984-03-24,0.96772987
1984-03-25,0.94909286
1984-03-26,0.93003696
1984-03-27,0.9109485
1984-03-28,0.89191836
1984-03-29,0.8726358
1984-03-30,0.8529173
1984-03-31,0.8326759
1984-04-01,0.81288075
1984-04-02,0.7930822
1984-04-03,1.1037419
1984-04-04,2.458514
1984-04-05,2.5266306
1984-04-06,1.5774376
1984-04-07,1.597195
1984-04-08,4.67683
1984-04-09,3.3981087
1984-04-10,1.1345277
1984-04-11,0.69733936
1984-04-12,0.70392466
1984-04-13,0.7099775
1984-04-14,0.7266671
1984-04-15,0.72414595
1984-04-16,1.6422144
1984-04-17,1.432002
1984-04-18,1.5805374
1984-04-19,1.6131583
1984-04-20,0.89380336
1984-04-21,0.72694886
1984-04-22,0.7271651
1984-04-23,0.72642595
1984-04-24,0.7246428
1984-04-25,2.0204456
1984-04-26,1.2735068
1984-04-27,0.71387166
1984-04-28,0.7092961
1984-04-29,0.7042112
1984-04-30,0.6978695
1984-05-01,0.7030758
1984-05-02,0.6839303
1984-05-03,0.671414
1984-05-04,0.71294004
1984-05-05,0.6572147
1984-05-06,2.8402336
1984-05-07,1.5665311
1984-05-08,0.6140535
1984-05-09,0.6029791
1984-05-10,0.5908235
1984-05-11,0.57796663
1984-05-12,0.56326044
1984-05-13,0.54880524
1984-05-14,0.534156
1984-05-15,0.51904625
1984-05-16,0.5045911
1984-05-17,0.51080847
1984-05-18,0.48232898
1984-05-19,0.4632096
1984-05-20,0.44853264
1984-05-21,0.4328158
1984-05-22,0.41655353
1984-05-23,0.40117112
1984-05-24,0.38673297
1984-05-25,3.4950411
1984-05-26,1.670427
1984-05-27,2.3867736
1984-05-28,1.8113561
1984-05-29,0.51828
1984-05-30,0.32368663
1984-05-31,0.41473815
1984-06-01,0.90704364
1984-06-02,0.8256354
1984-06-03,1.8738389
1984-06-04,0.8279173
1984-06-05,0.29251453
1984-06-06,0.28833428
1984-06-07,0.28332925
1984-06-08,0.27765378
1984-06-09,0.27133113
1984-06-10,0.26443455
1984-06-11,0.25744215
1984-06-12,0.25010076
1984-06-13,0.2419987
1984-06-14,0.23328182
1984-06-15,0.2241661
1984-06-16,0.21488285
1984-06-17,0.20561223
1984-06-18,0.19622307
1984-06-19,0.1868501
1984-06-20,0.17748433
1984-06-21,0.16824658
1984-06-22,0.33625928
1984-06-23,1.5182755
1984-06-24,2.2020028
1984-06-25,0.7572874
1984-06-26,0.14132503
1984-06-27,0.31587812
1984-06-28,0.16666831
1984-06-29,0.11623626
1984-06-30,0.111710936
1984-07-01,0.10731078
1984-07-02,0.103093505
1984-07-03,0.099137776
1984-07-04,0.095397
1984-07-05,0.091662206
1984-07-06,0.08792999
1984-07-07,0.08433723
1984-07-08,0.080846034
1984-07-09,0.23095009
1984-07-10,0.11422019
1984-07-11,0.07146416
1984-07-12,0.068165615
1984-07-13,0.067682505
1984-07-14,0.06380621
1984-07-15,0.060680486
1984-07-16,0.058382727
1984-07-17,0.05712954
1984-07-18,0.054530058
1984-07-19,0.05231892
1984-07-20,0.05050472
1984-07-21,0.04877162
1984-07-22,0.10394418
1984-07-23,0.06075188
1984-07-24,0.044151396
1984-07-25,0.042770565
1984-07-26,0.04139084
1984-07-27,0.040021714
1984-07-28,0.038677394
1984-07-29,0.037351135
1984-07-30,1.8283291
1984-07-31,0.92887014
1984-08-01,1.1375531
