time,rdis
2052-01-01,0.2618032
2052-01-02,0.8481563
2052-01-03,4.2388973
2052-01-04,3.641774
2052-01-05,3.661376
2052-01-06,1.447889
2052-01-07,1.2294617
2052-01-08,21.118399
2052-01-09,31.082134
2052-01-10,13.832591
2052-01-11,9.840349
2052-01-12,5.346758
2052-01-13,2.7240477
2052-01-14,2.7507787
2052-01-15,3.169208
2052-01-16,3.4864395
2052-01-17,3.711587
2052-01-18,3.8629217
2052-01-19,3.9531097
2052-01-20,3.996715
2052-01-21,4.0068064
2052-01-22,3.9894001
2052-01-23,3.9496632
2052-01-24,3.8932233
2052-01-25,3.8265207
2052-01-26,3.751568
2052-01-27,3.6680639
2052-01-28,3.5743103
2052-01-29,4.744491
2052-01-30,9.891277
2052-01-31,6.135978
2052-02-01,3.8642864
2052-02-02,3.9868088
2052-02-03,3.9852958
2052-02-04,3.2914383
2052-02-05,3.2113824
2052-02-06,3.2148411
2052-02-07,3.3364983
2052-02-08,3.162479
2052-02-09,3.1417265
2052-02-10,3.1257136
2052-02-11,5.199638
2052-02-12,7.985386
2052-02-13,6.5510054
2052-02-14,4.5789423
2052-02-15,3.327448
2052-02-16,3.1504428
2052-02-17,3.1620576
2052-02-18,3.164056
2052-02-19,3.1645558
2052-02-20,3.160405
2052-02-21,3.147627
2052-02-22,3.1255925
2052-02-23,3.0922556
2052-02-24,3.0481074
2052-02-25,2.9962986
2052-02-26,2.9382384
2052-02-27,2.8752544
2052-02-28,2.8081162
2052-02-29,2.7407155
2052-03-01,2.6752095
2052-03-02,2.6091142
2052-03-03,2.5412328
2052-03-04,2.4704967
2052-03-05,2.3948777
2052-03-06,2.3147457
2052-03-07,2.2335415
2052-03-08,2.1536784
2052-03-09,2.0755394
2052-03-10,1.9998368
2052-03-11,1.9261284
2052-03-12,1.8542998
2052-03-13,1.7898972
2052-03-14,1.7375983
2052-03-15,1.7063961
2052-03-16,1.750077
2052-03-17,1.6430764
2052-03-18,1.5655845
2052-03-19,1.5308288
2052-03-20,1.4938356
2052-03-21,1.4546472
2052-03-22,1.4156301
2052-03-23,1.377394
2052-03-24,1.3387334
2052-03-25,1.299286
2052-03-26,1.2579725
2052-03-27,1.2151022
2052-03-28,1.171629
2052-03-29,1.1282569
2052-03-30,1.086002
2052-03-31,1.0458496
2052-04-01,1.0096124
2052-04-02,0.97759867
2052-04-03,0.94791156
2052-04-04,0.9193733
2052-04-05,0.89056814
2052-04-06,0.9276883
2052-04-07,0.8484293
2052-04-08,0.80924535
2052-04-09,0.7842828
2052-04-10,0.7585491
2052-04-11,2.0243368
2052-04-12,4.449838
2052-04-13,2.188962
2052-04-14,0.7626925
2052-04-15,0.65870965
2052-04-16,0.6787303
2052-04-17,0.7068701
2052-04-18,1.7538023
2052-04-19,4.17875
2052-04-20,3.3927624
2052-04-21,1.1532444
2052-04-22,0.58341795
2052-04-23,2.7616503
2052-04-24,2.5820935
2052-04-25,1.3983727
2052-04-26,1.3126456
2052-04-27,2.091359
2052-04-28,0.9665638
2052-04-29,0.6377297
2052-04-30,0.6361109
2052-05-01,0.6373399
2052-05-02,0.63341373
2052-05-03,0.62517333
2052-05-04,0.63794583
2052-05-05,0.6113439
2052-05-06,0.59628034
2052-05-07,0.58424735
2052-05-08,0.56914353
2052-05-09,0.5517726
2052-05-10,0.5331934
2052-05-11,0.5135617
2052-05-12,0.4935421
2052-05-13,0.47347248
2052-05-14,0.7353675
2052-05-15,0.5043754
2052-05-16,0.4191796
2052-05-17,0.40270135
2052-05-18,0.3857401
2052-05-19,0.36887786
2052-05-20,0.3528932
2052-05-21,0.33757195
2052-05-22,0.3228797
2052-05-23,0.30872563
2052-05-24,0.29456177
2052-05-25,0.28063795
2052-05-26,0.2676001
2052-05-27,0.25537497
2052-05-28,0.2600145
2052-05-29,0.24026935
2052-05-30,0.22393851
2052-05-31,0.2133492
2052-06-01,0.26958853
2052-06-02,1.7562624
2052-06-03,0.60618734
2052-06-04,3.2739966
2052-06-05,1.1176475
2052-06-06,0.17248611
2052-06-07,0.16768612
2052-06-08,0.16269338
2052-06-09,0.1569791
2052-06-10,0.15085141
2052-06-11,0.14444289
2052-06-12,0.13788915
2052-06-13,0.1313309
2052-06-14,0.30719015
2052-06-15,0.2812522
2052-06-16,1.5859631
2052-06-17,0.55528814
2052-06-18,0.104749575
2052-06-19,0.10024747
2052-06-20,0.095862426
2052-06-21,0.09179661
2052-06-22,0.08799895
2052-06-23,0.08436316
2052-06-24,0.080984876
2052-06-25,0.07784688
2052-06-26,0.074822985
2052-06-27,0.07211635
2052-06-28,0.06936114
2052-06-29,0.066655636
2052-06-30,0.06407493
2052-07-01,0.061592016
2052-07-02,0.06934371
2052-07-03,0.45120704
2052-07-04,7.097194
2052-07-05,2.0969563
2052-07-06,0.052900065
2052-07-07,0.05198979
2052-07-08,0.051094815
2052-07-09,0.06772909
2052-07-10,0.16434504
2052-07-11,0.096303694
2052-07-12,0.047163565
2052-07-13,0.046083342
2052-07-14,0.056002714
2052-07-15,0.045991793
2052-07-16,0.04256202
2052-07-17,0.041371714
2052-07-18,0.046238817
2052-07-19,0.0774993
2052-07-20,0.04540665
2052-07-21,0.075724065
2052-07-22,0.042530827
2052-07-23,0.03498131
2052-07-24,0.03416711
2052-07-25,0.033354405
2052-07-26,0.032534536
2052-07-27,0.03171123
2052-07-28,0.030884864
2052-07-29,0.03007016
2052-07-30,0.02929183
2052-07-31,0.028564228
2052-08-01,0.027889138
2052-08-02,0.027265668
2052-08-03,0.026693413
2052-08-04,0.02614673
2052-08-05,0.02563214
2052-08-06,0.02516678
2052-08-07,0.024738913
2052-08-08,0.024310527
2052-08-09,0.023869926
2052-08-10,0.023433328
2052-08-11,0.023006849
2052-08-12,0.022585876
2052-08-13,0.023582716
2052-08-14,0.025657162
2052-08-15,0.022166189
2052-08-16,0.021013957
2052-08-17,0.020636093
2052-08-18,0.0202644
2052-08-19,0.019898036
2052-08-20,0.019539976
2052-08-21,0.01918979
2052-08-22,0.018844927
2052-08-23,0.018508015
2052-08-24,0.018179743
2052-08-25,0.017872512
2052-08-26,0.017581485
2052-08-27,0.01730585
2052-08-28,0.017049624
2052-08-29,0.025154795
2052-08-30,0.018108588
2052-08-31,0.016352383
2052-09-01,0.016128108
2052-09-02,0.01591056
2052-09-03,0.015704947
2052-09-04,1.3624481
2052-09-05,0.3915393
2052-09-06,0.015150841
2052-09-07,0.014970119
2052-09-08,0.058945946
2052-09-09,0.040725663
2052-09-10,0.017979516
2052-09-11,0.10893076
2052-09-12,0.038401566
2052-09-13,0.014015028
2052-09-14,0.019609738
2052-09-15,0.016608428
2052-09-16,0.01851132
2052-09-17,0.5062045
2052-09-18,0.42632464
2052-09-19,0.091830894
2052-09-20,0.013266003
2052-09-21,0.013148551
2052-09-22,0.013028355
2052-09-23,0.01448921
2052-09-24,0.012970863
2052-09-25,0.012666387
2052-09-26,0.012549529
2052-09-27,0.012437678
2052-09-28,0.012325551
2052-09-29,0.012214335
2052-09-30,0.013643583
2052-10-01,0.06518554
2052-10-02,0.7865943
2052-10-03,0.41682735
2052-10-04,0.0828766
2052-10-05,1.2541556
2052-10-06,2.1508064
2052-10-07,2.6274996
2052-10-08,1.0970032
2052-10-09,1.4692265
2052-10-10,3.4953508
2052-10-11,0.8952591
2052-10-12,0.049733073
2052-10-13,9.3782625
2052-10-14,3.934545
2052-10-15,0.41416654
2052-10-16,0.020852908
2052-10-17,0.02443874
2052-10-18,0.027695265
2052-10-19,0.030318543
2052-10-20,0.03258378
2052-10-21,0.034496088
2052-10-22,0.7523826
2052-10-23,0.30119076
2052-10-24,0.038657587
2052-10-25,0.039689675
2052-10-26,0.04050857
2052-10-27,0.041143768
2052-10-28,0.0416259
2052-10-29,0.041969392
2052-10-30,0.21724325
2052-10-31,0.11202014
2052-11-01,0.057760008
2052-11-02,0.047275882
2052-11-03,0.042255763
2052-11-04,0.042131707
2052-11-05,0.047756266
2052-11-06,0.15265588
2052-11-07,0.074526675
2052-11-08,0.041465435
2052-11-09,0.041276474
2052-11-10,0.04106399
2052-11-11,0.040844426
2052-11-12,0.04061933
2052-11-13,0.19823654
2052-11-14,0.16995226
2052-11-15,0.3235648
2052-11-16,0.11537085
2052-11-17,0.040007766
2052-11-18,0.039727833
2052-11-19,0.039613962
2052-11-20,0.039486706
2052-11-21,0.039361898
2052-11-22,0.043552626
2052-11-23,0.04014835
2052-11-24,0.038998116
2052-11-25,0.038855486
2052-11-26,0.03869457
2052-11-27,0.038541093
2052-11-28,0.038394876
2052-11-29,0.038250573
2052-11-30,0.038115926
2052-12-01,0.037999403
2052-12-02,0.037886456
2052-12-03,0.1970718
2052-12-04,2.8312438
2052-12-05,1.1379912
2052-12-06,0.12685034
2052-12-07,0.03751848
2052-12-08,0.037604965
2052-12-09,0.037721224
2052-12-10,0.037849963
2052-12-11,0.03797757
2052-12-12,0.03810507
2052-12-13,0.038223512
2052-12-14,0.03831811
2052-12-15,0.37753344
2052-12-16,0.2964611
2052-12-17,0.24209008
2052-12-18,0.09001729
2052-12-19,0.042306926
2052-12-20,0.04947158
2052-12-21,0.58003193
2052-12-22,0.22266757
2052-12-23,0.17547083
2052-12-24,0.15133883
2052-12-25,0.06240514
2052-12-26,0.040344328
2052-12-27,0.040320437
2052-12-28,0.040541265
2052-12-29,0.04075656
2052-12-30,0.042817492
2052-12-31,1.2897335
