time,rdis
2019-01-01,0.9309
2019-01-02,0.90315
2019-01-03,1.4983
2019-01-04,1.4251
2019-01-05,1.3272
2019-01-06,1.6316
2019-01-07,5.8984
2019-01-08,3.9067
2019-01-09,2.871
2019-01-10,2.5857
2019-01-11,2.4997
2019-01-12,2.3744
2019-01-13,2.3076
2019-01-14,2.1899
2019-01-15,2.0576
2019-01-16,1.9371
2019-01-17,1.892
2019-01-18,1.8105
2019-01-19,1.7175
2019-01-20,1.6326
2019-01-21,1.5509
2019-01-22,1.4612
2019-01-23,1.3723
2019-01-24,1.2922
2019-01-25,1.219
2019-01-26,1.1473
2019-01-27,1.0744
2019-01-28,1.0057
2019-01-29,0.94365
2019-01-30,0.89169
2019-01-31,0.84637
2019-02-01,0.79589
2019-02-02,0.7571
2019-02-03,0.72666
2019-02-04,0.70121
2019-02-05,0.67699
2019-02-06,0.65529
2019-02-07,0.6363
2019-02-08,0.61891
2019-02-09,0.60266
2019-02-10,0.58786
2019-02-11,0.57389
2019-02-12,0.56054
2019-02-13,0.54758
2019-02-14,0.68202
2019-02-15,0.58544
2019-02-16,0.53043
2019-02-17,0.50585
2019-02-18,0.49108
2019-02-19,4.9253
2019-02-20,3.4048
2019-02-21,2.2643
2019-02-22,1.8922
2019-02-23,2.1957
2019-02-24,2.1373
2019-02-25,2.0019
2019-02-26,1.8555
2019-02-27,1.7143
2019-02-28,1.582
2019-03-01,1.4582
2019-03-02,1.3451
2019-03-03,1.2401
2019-03-04,1.1473
2019-03-05,1.069
2019-03-06,0.99831
2019-03-07,0.92986
2019-03-08,0.85619
2019-03-09,0.77422
2019-03-10,0.70844
2019-03-11,0.65594
2019-03-12,0.60965
2019-03-13,0.5724
2019-03-14,0.54925
2019-03-15,0.53169
2019-03-16,0.51727
2019-03-17,0.50467
2019-03-18,0.49285
2019-03-19,0.48144
2019-03-20,0.4703
2019-03-21,0.45943
2019-03-22,0.44881
2019-03-23,0.43843
2019-03-24,0.42852
2019-03-25,0.41882
