time,rdis
2088-01-01,0.7991351
2088-01-02,0.79377073
2088-01-03,0.7878771
2088-01-04,0.9076533
2088-01-05,0.8653749
2088-01-06,0.77689224
2088-01-07,0.7649417
2088-01-08,0.75760984
2088-01-09,0.75026643
2088-01-10,0.74219656
2088-01-11,0.73380136
2088-01-12,0.7339825
2088-01-13,1.2981457
2088-01-14,0.9386004
2088-01-15,1.1228485
2088-01-16,0.89538836
2088-01-17,0.72120786
2088-01-18,0.94127834
2088-01-19,0.7529253
2088-01-20,0.7189081
2088-01-21,0.67114097
2088-01-22,7.025359
2088-01-23,3.693653
2088-01-24,0.82255274
2088-01-25,1.3587848
2088-01-26,1.0173811
2088-01-27,0.78433025
2088-01-28,0.75150454
2088-01-29,0.7880479
2088-01-30,0.83226013
2088-01-31,0.7507382
2088-02-01,0.744561
2088-02-02,0.73770714
2088-02-03,0.7900429
2088-02-04,0.7833253
2088-02-05,0.75191325
2088-02-06,0.7520714
2088-02-07,0.7516968
2088-02-08,0.7496448
2088-02-09,0.74635875
2088-02-10,0.7421543
2088-02-11,0.7489436
2088-02-12,0.7374857
2088-02-13,0.7264134
2088-02-14,0.71921676
2088-02-15,0.7122013
2088-02-16,0.7044961
2088-02-17,0.6963048
2088-02-18,0.6879295
2088-02-19,0.7256959
2088-02-20,0.69713587
2088-02-21,0.662756
2088-02-22,0.6542132
2088-02-23,1.2930021
2088-02-24,0.90322137
2088-02-25,0.6300146
2088-02-26,0.6226038
2088-02-27,0.6157932
2088-02-28,0.6090928
2088-02-29,0.6211892
2088-03-01,0.64108604
2088-03-02,0.60557944
2088-03-03,0.5845474
2088-03-04,0.5782806
2088-03-05,0.5714615
2088-03-06,0.9701676
2088-03-07,0.7647419
2088-03-08,0.5516991
2088-03-09,0.5447761
2088-03-10,0.53735983
2088-03-11,0.5295536
2088-03-12,0.5213353
2088-03-13,0.51256096
2088-03-14,0.5034616
2088-03-15,1.8723512
2088-03-16,0.99553734
2088-03-17,0.48074055
2088-03-18,0.47270456
2088-03-19,0.46470103
2088-03-20,0.45676512
2088-03-21,0.4487955
2088-03-22,0.4405255
2088-03-23,0.43243986
2088-03-24,0.42460012
2088-03-25,0.41688076
2088-03-26,0.40936583
2088-03-27,0.4016134
2088-03-28,0.39308763
2088-03-29,0.3837806
2088-03-30,0.3740913
2088-03-31,0.36447346
2088-04-01,0.35517842
2088-04-02,0.3460457
2088-04-03,0.33669344
2088-04-04,0.3271824
2088-04-05,0.3180424
2088-04-06,0.30966184
2088-04-07,0.3018333
2088-04-08,0.29426533
2088-04-09,0.28671795
2088-04-10,0.27904963
2088-04-11,0.27116576
2088-04-12,0.26321405
2088-04-13,0.25531682
2088-04-14,0.24731551
2088-04-15,0.23915423
2088-04-16,0.23093607
2088-04-17,0.22287856
2088-04-18,0.21489836
