time,rdis
2019-01-01 00:00:00,1.7739
2019-01-02 00:00:00,1.7071
2019-01-03 00:00:00,1.6429
2019-01-04 00:00:00,1.5799
2019-01-05 00:00:00,1.514
2019-01-06 00:00:00,1.4428
2019-01-07 00:00:00,1.3753
2019-01-08 00:00:00,1.3125
2019-01-09 00:00:00,1.3559
2019-01-10 00:00:00,1.3357
2019-01-11 00:00:00,1.4015
2019-01-12 00:00:00,1.3756
2019-01-13 00:00:00,1.3144
2019-01-14 00:00:00,1.4226
2019-01-15 00:00:00,1.508
2019-01-16 00:00:00,1.4802
2019-01-17 00:00:00,1.4175
2019-01-18 00:00:00,1.3509
2019-01-19 00:00:00,1.2867
2019-01-20 00:00:00,1.2294
2019-01-21 00:00:00,1.1802
2019-01-22 00:00:00,1.1359
2019-01-23 00:00:00,1.0954
2019-01-24 00:00:00,1.0502
2019-01-25 00:00:00,1.0069
2019-01-26 00:00:00,0.96422
2019-01-27 00:00:00,0.92392
2019-01-28 00:00:00,1.5181
2019-01-29 00:00:00,14.73
2019-01-30 00:00:00,9.0292
2019-01-31 00:00:00,5.2974
2019-02-01 00:00:00,4.0613
2019-02-02 00:00:00,3.5875
2019-02-03 00:00:00,3.3337
2019-02-04 00:00:00,3.138
2019-02-05 00:00:00,2.9318
2019-02-06 00:00:00,2.7338
2019-02-07 00:00:00,2.548
2019-02-08 00:00:00,2.3766
2019-02-09 00:00:00,2.225
2019-02-10 00:00:00,2.0889
2019-02-11 00:00:00,1.9598
2019-02-12 00:00:00,1.8364
2019-02-13 00:00:00,1.7571
2019-02-14 00:00:00,1.6551
2019-02-15 00:00:00,1.5466
2019-02-16 00:00:00,1.4397
2019-02-17 00:00:00,1.3388
2019-02-18 00:00:00,1.2458
2019-02-19 00:00:00,1.1594
2019-02-20 00:00:00,1.0746
2019-02-21 00:00:00,0.99992
2019-02-22 00:00:00,0.9459
2019-02-23 00:00:00,0.90133
2019-02-24 00:00:00,0.87883
2019-02-25 00:00:00,7.8618
2019-02-26 00:00:00,4.2817
2019-02-27 00:00:00,2.4658
2019-02-28 00:00:00,1.954
2019-03-01 00:00:00,1.7496
2019-03-02 00:00:00,1.6092
2019-03-03 00:00:00,1.4875
2019-03-04 00:00:00,1.3783
2019-03-05 00:00:00,1.2803
2019-03-06 00:00:00,1.1893
2019-03-07 00:00:00,1.1098
2019-03-08 00:00:00,1.035
2019-03-09 00:00:00,0.97182
2019-03-10 00:00:00,1.0034
2019-03-11 00:00:00,0.97811
2019-03-12 00:00:00,4.9532
2019-03-13 00:00:00,3.1472
2019-03-14 00:00:00,2.202
2019-03-15 00:00:00,1.8802
2019-03-16 00:00:00,1.7237
2019-03-17 00:00:00,1.5875
