time,rdis
2022-01-01 00:00:00,8.1417
2022-01-02 00:00:00,7.4323
2022-01-03 00:00:00,6.78
2022-01-04 00:00:00,6.1824
2022-01-05 00:00:00,5.6591
2022-01-06 00:00:00,5.2382
2022-01-07 00:00:00,4.9023
2022-01-08 00:00:00,4.6199
2022-01-09 00:00:00,4.3698
2022-01-10 00:00:00,4.1418
2022-01-11 00:00:00,3.9316
2022-01-12 00:00:00,3.7359
2022-01-13 00:00:00,3.5629
2022-01-14 00:00:00,3.3895
2022-01-15 00:00:00,3.2211
2022-01-16 00:00:00,3.062
2022-01-17 00:00:00,2.911
2022-01-18 00:00:00,2.7728
2022-01-19 00:00:00,2.6438
2022-01-20 00:00:00,2.5661
2022-01-21 00:00:00,2.4592
2022-01-22 00:00:00,2.3524
2022-01-23 00:00:00,2.2557
2022-01-24 00:00:00,2.1571
2022-01-25 00:00:00,2.0637
2022-01-26 00:00:00,1.9756
2022-01-27 00:00:00,1.8954
2022-01-28 00:00:00,1.8242
2022-01-29 00:00:00,1.7594
2022-01-30 00:00:00,1.6986
2022-01-31 00:00:00,1.6408
2022-02-01 00:00:00,1.5829
2022-02-02 00:00:00,1.5293
2022-02-03 00:00:00,1.4793
2022-02-04 00:00:00,1.4324
2022-02-05 00:00:00,1.3923
2022-02-06 00:00:00,1.3563
2022-02-07 00:00:00,1.3218
2022-02-08 00:00:00,1.2958
2022-02-09 00:00:00,1.2629
2022-02-10 00:00:00,1.2301
2022-02-11 00:00:00,1.1987
2022-02-12 00:00:00,1.1685
2022-02-13 00:00:00,1.1388
2022-02-14 00:00:00,1.1124
2022-02-15 00:00:00,1.0866
2022-02-16 00:00:00,1.0607
2022-02-17 00:00:00,1.0444
2022-02-18 00:00:00,2.9177
2022-02-19 00:00:00,2.2956
2022-02-20 00:00:00,2.0198
2022-02-21 00:00:00,1.8651
2022-02-22 00:00:00,1.7385
2022-02-23 00:00:00,1.6232
2022-02-24 00:00:00,1.5175
2022-02-25 00:00:00,1.4238
2022-02-26 00:00:00,1.3481
2022-02-27 00:00:00,1.2873
2022-02-28 00:00:00,1.2314
2022-03-01 00:00:00,1.1722
2022-03-02 00:00:00,1.1008
2022-03-03 00:00:00,1.0332
2022-03-04 00:00:00,0.97414
2022-03-05 00:00:00,0.91668
2022-03-06 00:00:00,0.87385
2022-03-07 00:00:00,1.987
2022-03-08 00:00:00,1.6413
2022-03-09 00:00:00,1.3978
2022-03-10 00:00:00,1.2587
2022-03-11 00:00:00,1.1646
2022-03-12 00:00:00,1.0779
2022-03-13 00:00:00,0.99093
2022-03-14 00:00:00,0.91715
2022-03-15 00:00:00,0.85294
2022-03-16 00:00:00,0.8011
2022-03-17 00:00:00,0.75651
2022-03-18 00:00:00,0.72126
2022-03-19 00:00:00,0.69284
2022-03-20 00:00:00,0.6715
2022-03-21 00:00:00,0.65445
2022-03-22 00:00:00,0.63899
2022-03-23 00:00:00,0.62416
2022-03-24 00:00:00,0.60972
2022-03-25 00:00:00,0.59562
2022-03-26 00:00:00,0.58184
2022-03-27 00:00:00,0.56837
2022-03-28 00:00:00,0.56532
2022-03-29 00:00:00,0.5474
2022-03-30 00:00:00,0.53189
2022-03-31 00:00:00,0.51917
2022-04-01 00:00:00,0.50725
2022-04-02 00:00:00,0.49559
2022-04-03 00:00:00,0.48415
2022-04-04 00:00:00,0.47298
2022-04-05 00:00:00,0.46219
2022-04-06 00:00:00,0.45158
2022-04-07 00:00:00,0.72221
2022-04-08 00:00:00,16.631
2022-04-09 00:00:00,8.4872
2022-04-10 00:00:00,4.3341
2022-04-11 00:00:00,2.9327
2022-04-12 00:00:00,2.3745
2022-04-13 00:00:00,2.057
2022-04-14 00:00:00,1.8349
2022-04-15 00:00:00,1.6691
2022-04-16 00:00:00,1.528
2022-04-17 00:00:00,24.105
2022-04-18 00:00:00,17.322
2022-04-19 00:00:00,9.5139
2022-04-20 00:00:00,5.9629
2022-04-21 00:00:00,4.6843
2022-04-22 00:00:00,4.1564
2022-04-23 00:00:00,3.7989
2022-04-24 00:00:00,3.4776
2022-04-25 00:00:00,3.1966
2022-04-26 00:00:00,2.9449
2022-04-27 00:00:00,2.7163
2022-04-28 00:00:00,2.5036
2022-04-29 00:00:00,2.3063
2022-04-30 00:00:00,2.1213
2022-05-01 00:00:00,1.9428
2022-05-02 00:00:00,1.7797
2022-05-03 00:00:00,1.6259
2022-05-04 00:00:00,1.4884
2022-05-05 00:00:00,1.3745
2022-05-06 00:00:00,1.2835
2022-05-07 00:00:00,1.2208
2022-05-08 00:00:00,1.1763
2022-05-09 00:00:00,1.1404
2022-05-10 00:00:00,1.1086
2022-05-11 00:00:00,1.0811
2022-05-12 00:00:00,1.0557
2022-05-13 00:00:00,1.0313
2022-05-14 00:00:00,1.0075
2022-05-15 00:00:00,0.98419
2022-05-16 00:00:00,0.96145
2022-05-17 00:00:00,0.93922
2022-05-18 00:00:00,0.9175
2022-05-19 00:00:00,0.89634
2022-05-20 00:00:00,0.87572
2022-05-21 00:00:00,0.85557
2022-05-22 00:00:00,0.83589
2022-05-23 00:00:00,0.81667
2022-05-24 00:00:00,0.79789
2022-05-25 00:00:00,0.77953
2022-05-26 00:00:00,0.76161
2022-05-27 00:00:00,0.74409
2022-05-28 00:00:00,0.72697
2022-05-29 00:00:00,0.71025
2022-05-30 00:00:00,0.69392
2022-05-31 00:00:00,0.67796
2022-06-01 00:00:00,0.66236
2022-06-02 00:00:00,0.64713
2022-06-03 00:00:00,0.63225
