time,rdis
1987-01-01,0.49405
1987-01-02,0.47351
1987-01-03,0.46721
1987-01-04,0.4499
1987-01-05,0.43162
1987-01-06,0.41413
1987-01-07,0.39815
1987-01-08,0.38307
1987-01-09,0.36784
1987-01-10,0.35312
1987-01-11,0.33872
1987-01-12,0.32576
1987-01-13,0.31375
1987-01-14,0.30241
1987-01-15,0.29175
1987-01-16,0.2816
1987-01-17,0.27137
1987-01-18,0.26115
1987-01-19,0.25207
1987-01-20,0.29828
1987-01-21,3.0471
1987-01-22,1.1772
1987-01-23,0.66189
1987-01-24,0.55019
1987-01-25,0.51281
1987-01-26,0.48768
1987-01-27,0.46556
1987-01-28,0.44503
1987-01-29,0.46763
1987-01-30,0.48334
1987-01-31,0.46698
1987-02-01,2.2776
1987-02-02,6.7041
1987-02-03,3.1412
1987-02-04,1.8342
1987-02-05,4.3358
1987-02-06,2.4155
1987-02-07,1.9392
1987-02-08,1.426
1987-02-09,1.1459
1987-02-10,1.0346
1987-02-11,0.96078
1987-02-12,0.89566
1987-02-13,0.8366
1987-02-14,0.78298
1987-02-15,0.73354
1987-02-16,0.69267
1987-02-17,0.65899
1987-02-18,0.62828
1987-02-19,0.60027
1987-02-20,0.57366
1987-02-21,0.5482
1987-02-22,0.52388
1987-02-23,0.50084
1987-02-24,0.47938
1987-02-25,0.45925
1987-02-26,0.44013
1987-02-27,0.42166
1987-02-28,3.9423
1987-03-01,2.3091
1987-03-02,1.2509
1987-03-03,0.9471
1987-03-04,1.5015
1987-03-05,1.0465
1987-03-06,0.89456
1987-03-07,0.81792
1987-03-08,0.76083
1987-03-09,0.71489
1987-03-10,0.6768
1987-03-11,0.6952
1987-03-12,0.66804
1987-03-13,0.63364
1987-03-14,0.60007
1987-03-15,0.56979
1987-03-16,0.54027
1987-03-17,0.51328
1987-03-18,0.48858
1987-03-19,0.46565
1987-03-20,0.44444
1987-03-21,0.42454
1987-03-22,0.40606
1987-03-23,0.38884
1987-03-24,0.37213
1987-03-25,0.35648
1987-03-26,0.34164
1987-03-27,0.3271
1987-03-28,0.31352
1987-03-29,1.6454
1987-03-30,1.4808
1987-03-31,0.77642
1987-04-01,0.5748
1987-04-02,0.51198
1987-04-03,0.55033
1987-04-04,0.5265
1987-04-05,0.51242
1987-04-06,1.0631
1987-04-07,0.7267
1987-04-08,0.60503
1987-04-09,0.55479
1987-04-10,0.52021
1987-04-11,0.48895
1987-04-12,0.45911
1987-04-13,0.43076
1987-04-14,0.40416
1987-04-15,0.37966
1987-04-16,0.35813
1987-04-17,0.33829
1987-04-18,0.32002
1987-04-19,0.30275
1987-04-20,0.2868
1987-04-21,0.27169
1987-04-22,0.25701
1987-04-23,0.24292
1987-04-24,0.22855
1987-04-25,0.22149
1987-04-26,0.21594
1987-04-27,0.2107
1987-04-28,0.20558
1987-04-29,0.20057
1987-04-30,0.19567
1987-05-01,0.19084
1987-05-02,0.1863
1987-05-03,0.18199
1987-05-04,0.17786
1987-05-05,0.17372
1987-05-06,0.16971
1987-05-07,0.16581
1987-05-08,0.162
1987-05-09,0.15827
1987-05-10,0.15463
1987-05-11,0.15107
1987-05-12,0.1476
1987-05-13,0.1442
1987-05-14,0.14089
1987-05-15,0.13765
1987-05-16,0.13448
