time,rdis
1974-01-01,0.45935
1974-01-02,0.43509
1974-01-03,0.41058
1974-01-04,0.38746
1974-01-05,0.36678
1974-01-06,0.34773
1974-01-07,0.3298
1974-01-08,0.31346
1974-01-09,0.29819
1974-01-10,0.28354
1974-01-11,0.2699
1974-01-12,0.2569
1974-01-13,0.24477
1974-01-14,0.23319
1974-01-15,0.22222
1974-01-16,0.21262
1974-01-17,0.20299
1974-01-18,0.19351
1974-01-19,0.18478
1974-01-20,0.17663
1974-01-21,0.16879
1974-01-22,0.16126
1974-01-23,0.15457
1974-01-24,0.14861
1974-01-25,0.14334
1974-01-26,0.13803
1974-01-27,0.13199
1974-01-28,0.12838
1974-01-29,0.12531
1974-01-30,0.12237
1974-01-31,0.1195
1974-02-01,0.11671
1974-02-02,0.11397
1974-02-03,0.1113
1974-02-04,0.1087
1974-02-05,0.10615
1974-02-06,0.10365
1974-02-07,0.1012
1974-02-08,0.098799
1974-02-09,0.096462
1974-02-10,0.094171
1974-02-11,0.09193
1974-02-12,0.089738
1974-02-13,0.087588
1974-02-14,0.085491
1974-02-15,0.083441
1974-02-16,0.081441
1974-02-17,0.079497
1974-02-18,0.07778
1974-02-19,0.075953
1974-02-20,0.074135
1974-02-21,0.072344
1974-02-22,0.070604
1974-02-23,0.068889
1974-02-24,0.06721
1974-02-25,0.065573
1974-02-26,0.063972
1974-02-27,0.062699
1974-02-28,0.99447
1974-03-01,0.24479
1974-03-02,0.63914
1974-03-03,0.23902
1974-03-04,0.14777
1974-03-05,0.12623
1974-03-06,0.11408
1974-03-07,0.10296
1974-03-08,0.092454
1974-03-09,0.083604
1974-03-10,0.075952
1974-03-11,0.066539
1974-03-12,0.063492
1974-03-13,0.061708
1974-03-14,0.060113
1974-03-15,0.058584
1974-03-16,0.057093
1974-03-17,0.055601
1974-03-18,0.054159
1974-03-19,0.052764
1974-03-20,0.05139
1974-03-21,0.050024
1974-03-22,0.048673
1974-03-23,0.047346
1974-03-24,0.047785
1974-03-25,0.046896
1974-03-26,0.045723
1974-03-27,0.044511
1974-03-28,0.043283
1974-03-29,0.16643
1974-03-30,0.74239
1974-03-31,0.19534
1974-04-01,0.072441
1974-04-02,0.052813
1974-04-03,0.048216
1974-04-04,0.046438
1974-04-05,0.045114
1974-04-06,0.044582
1974-04-07,0.066739
1974-04-08,0.072244
1974-04-09,0.065147
1974-04-10,0.055956
1974-04-11,0.043571
1974-04-12,0.040299
1974-04-13,0.038896
1974-04-14,0.063291
1974-04-15,0.066538
1974-04-16,0.058703
1974-04-17,0.04809
1974-04-18,0.037783
1974-04-19,0.035101
1974-04-20,0.033936
1974-04-21,0.033374
1974-04-22,0.03247
1974-04-23,0.03149
1974-04-24,0.030527
1974-04-25,0.029586
1974-04-26,0.02864
1974-04-27,0.027709
1974-04-28,0.026783
1974-04-29,0.025863
1974-04-30,0.025012
1974-05-01,0.024168
1974-05-02,0.023302
1974-05-03,0.022443
1974-05-04,0.0216
1974-05-05,0.021043
1974-05-06,0.020551
1974-05-07,0.020078
1974-05-08,0.019616
1974-05-09,0.019165
1974-05-10,0.018724
1974-05-11,0.018293
1974-05-12,0.017872
1974-05-13,0.017461
1974-05-14,0.01706
1974-05-15,0.016667
1974-05-16,0.016284
1974-05-17,0.015909
1974-05-18,0.015544
1974-05-19,0.015186
1974-05-20,0.014837
1974-05-21,0.014495
1974-05-22,0.014162
1974-05-23,0.013836
1974-05-24,1.3253
1974-05-25,0.27179
1974-05-26,0.053282
1974-05-27,0.022525
1974-05-28,0.018189
1974-05-29,0.01757
1974-05-30,0.016959
1974-05-31,0.01628
1974-06-01,0.015574
1974-06-02,0.014849
1974-06-03,0.014446
1974-06-04,0.013828
1974-06-05,0.013624
1974-06-06,0.013052
1974-06-07,0.012685
1974-06-08,0.012745
1974-06-09,0.012266
1974-06-10,0.011689
1974-06-11,0.011104
1974-06-12,0.010714
1974-06-13,0.010445
1974-06-14,0.010202
1974-06-15,0.0099673
1974-06-16,0.0097379
1974-06-17,0.009514
1974-06-18,0.0092952
1974-06-19,0.0090813
1974-06-20,0.0088724
1974-06-21,0.0086684
1974-06-22,0.008469
1974-06-23,0.0082743
1974-06-24,0.008084
1974-06-25,0.007898
1974-06-26,0.0077163
1974-06-27,0.0075389
1974-06-28,0.0073655
1974-06-29,0.0071961
1974-06-30,0.0070306
1974-07-01,0.0068689
1974-07-02,0.0067109
1974-07-03,0.0065565
1974-07-04,0.0064059
1974-07-05,0.0062585
1974-07-06,0.0061146
1974-07-07,0.0059739
1974-07-08,0.058336
1974-07-09,0.015839
1974-07-10,0.0069404
1974-07-11,0.0056043
1974-07-12,0.0053354
1974-07-13,0.0051973
1974-07-14,0.0050762
1974-07-15,0.0049593
1974-07-16,0.0048452
1974-07-17,0.0047337
1974-07-18,0.0046249
1974-07-19,0.0045185
1974-07-20,0.0044146
1974-07-21,0.004313
1974-07-22,0.0042139
1974-07-23,0.0041169
1974-07-24,0.0040222
1974-07-25,0.0039298
1974-07-26,0.0038393
1974-07-27,0.003751
1974-07-28,0.0036648
1974-07-29,0.0035805
1974-07-30,0.0034982
1974-07-31,0.0034177
1974-08-01,0.0033392
1974-08-02,0.0032623
1974-08-03,0.0031873
1974-08-04,0.0031139
1974-08-05,0.0030423
1974-08-06,0.0029724
1974-08-07,0.0029041
1974-08-08,0.0028372
1974-08-09,0.002772
1974-08-10,0.0027082
1974-08-11,0.002646
1974-08-12,0.0025851
1974-08-13,0.0025257
1974-08-14,0.0024676
1974-08-15,0.0024109
1974-08-16,0.0023554
1974-08-17,0.0023012
1974-08-18,0.0022483
1974-08-19,0.0021966
1974-08-20,0.002146
1974-08-21,0.0020967
1974-08-22,0.0020486
1974-08-23,0.0020014
1974-08-24,0.0019554
1974-08-25,0.0019104
1974-08-26,0.0018665
1974-08-27,0.0018235
1974-08-28,0.0017816
1974-08-29,0.0017406
1974-08-30,0.0017006
1974-08-31,0.0016614
1974-09-01,0.0016233
1974-09-02,0.0015859
1974-09-03,0.0015494
1974-09-04,0.0015138
1974-09-05,0.001479
