time,rdis
1979-01-01,0.00022887
1979-01-02,0.00022358
1979-01-03,0.00021837
1979-01-04,0.0002134
1979-01-05,0.00020851
1979-01-06,0.00020372
1979-01-07,0.000199
1979-01-08,0.00019444
1979-01-09,0.53236
1979-01-10,8.0362
1979-01-11,1.9134
1979-01-12,0.45638
1979-01-13,0.14452
1979-01-14,0.097228
1979-01-15,0.089168
1979-01-16,0.085937
1979-01-17,0.083397
1979-01-18,1.6124
1979-01-19,0.47234
1979-01-20,0.20389
1979-01-21,0.15754
1979-01-22,0.14788
1979-01-23,0.14303
1979-01-24,0.13895
1979-01-25,0.13513
1979-01-26,0.13132
1979-01-27,0.12767
1979-01-28,0.12413
1979-01-29,0.12069
1979-01-30,0.11749
1979-01-31,0.11421
1979-02-01,0.11247
1979-02-02,0.10948
1979-02-03,0.10665
1979-02-04,0.1041
1979-02-05,0.10164
1979-02-06,0.099252
1979-02-07,0.096904
1979-02-08,0.094606
1979-02-09,0.092365
1979-02-10,0.090183
1979-02-11,0.088061
1979-02-12,0.085974
1979-02-13,0.08393
1979-02-14,0.081921
1979-02-15,0.079937
1979-02-16,0.077998
1979-02-17,0.076122
1979-02-18,0.074286
1979-02-19,0.072499
1979-02-20,0.070764
1979-02-21,0.069051
1979-02-22,0.06743
1979-02-23,0.065774
1979-02-24,0.064162
1979-02-25,0.062597
1979-02-26,0.06105
1979-02-27,0.059516
1979-02-28,0.05804
1979-03-01,0.056649
1979-03-02,0.055307
1979-03-03,0.054025
1979-03-04,0.052678
1979-03-05,0.051321
1979-03-06,0.049997
1979-03-07,0.048736
1979-03-08,0.047516
1979-03-09,0.046303
1979-03-10,0.045098
1979-03-11,0.043972
1979-03-12,0.042945
1979-03-13,0.041955
1979-03-14,0.04099
1979-03-15,0.040047
1979-03-16,0.039126
1979-03-17,0.038226
1979-03-18,0.037347
1979-03-19,0.036488
1979-03-20,0.035649
1979-03-21,0.034829
1979-03-22,0.034028
1979-03-23,0.033245
1979-03-24,0.03248
1979-03-25,0.031733
1979-03-26,0.031003
1979-03-27,0.03029
1979-03-28,0.029594
1979-03-29,0.028913
1979-03-30,0.028248
1979-03-31,0.027598
1979-04-01,0.026963
1979-04-02,0.026343
1979-04-03,0.025737
1979-04-04,0.025146
1979-04-05,0.024567
1979-04-06,0.024002
1979-04-07,0.02345
1979-04-08,0.022911
1979-04-09,0.022384
1979-04-10,0.021869
1979-04-11,0.021366
1979-04-12,0.020875
1979-04-13,0.020394
1979-04-14,0.019925
1979-04-15,0.019467
1979-04-16,0.019019
1979-04-17,0.018582
1979-04-18,0.018154
1979-04-19,0.017737
1979-04-20,0.017329
1979-04-21,0.01693
1979-04-22,0.016541
1979-04-23,0.016161
1979-04-24,0.015789
1979-04-25,0.015426
1979-04-26,0.015071
1979-04-27,0.014724
1979-04-28,0.014386
