time,rdis
1999-01-01,0.05608
1999-01-02,0.05474
1999-01-03,0.053431
1999-01-04,0.052151
1999-01-05,0.050904
1999-01-06,0.049704
1999-01-07,0.048542
1999-01-08,0.047396
1999-01-09,0.046279
1999-01-10,0.045189
1999-01-11,0.20171
1999-01-12,0.076856
1999-01-13,0.052268
1999-01-14,0.047863
1999-01-15,0.04636
1999-01-16,0.045246
1999-01-17,0.046928
1999-01-18,0.61628
1999-01-19,0.43572
1999-01-20,0.25503
1999-01-21,0.18492
1999-01-22,0.16723
1999-01-23,0.15579
1999-01-24,0.14514
1999-01-25,0.1354
1999-01-26,0.12582
1999-01-27,0.11855
1999-01-28,0.11111
1999-01-29,0.10441
1999-01-30,0.098853
1999-01-31,0.093417
1999-02-01,0.20551
1999-02-02,0.16892
1999-02-03,0.14997
1999-02-04,0.13826
1999-02-05,0.12849
1999-02-06,0.12005
1999-02-07,0.11229
1999-02-08,0.10494
1999-02-09,0.097861
1999-02-10,0.090802
1999-02-11,0.084234
1999-02-12,0.078644
1999-02-13,0.073477
1999-02-14,0.068271
1999-02-15,0.063685
1999-02-16,0.058927
1999-02-17,0.056932
1999-02-18,0.055882
1999-02-19,0.054616
1999-02-20,0.053315
1999-02-21,0.05204
1999-02-22,0.050788
1999-02-23,0.049581
1999-02-24,0.048405
1999-02-25,0.047244
1999-02-26,0.046091
1999-02-27,0.04495
1999-02-28,0.043845
1999-03-01,0.042771
1999-03-02,0.041706
1999-03-03,0.040665
1999-03-04,0.040205
1999-03-05,0.03952
1999-03-06,0.038584
1999-03-07,0.037611
1999-03-08,0.036678
1999-03-09,0.035743
1999-03-10,0.034826
1999-03-11,0.033945
1999-03-12,0.033049
1999-03-13,0.03216
1999-03-14,0.031376
1999-03-15,0.031678
1999-03-16,0.031028
1999-03-17,0.030215
1999-03-18,0.029403
1999-03-19,0.028952
1999-03-20,0.028211
1999-03-21,0.027423
1999-03-22,0.026641
1999-03-23,4.1184
1999-03-24,1.0917
1999-03-25,0.36269
1999-03-26,0.23936
1999-03-27,0.20875
1999-03-28,0.19071
1999-03-29,0.17385
1999-03-30,0.15815
1999-03-31,0.15062
1999-04-01,0.14283
1999-04-02,0.13088
1999-04-03,0.11867
1999-04-04,0.10622
1999-04-05,0.095141
1999-04-06,0.083585
1999-04-07,0.079737
1999-04-08,0.077497
1999-04-09,0.075502
1999-04-10,0.073556
1999-04-11,0.071644
1999-04-12,0.070352
1999-04-13,0.88887
1999-04-14,0.2947
1999-04-15,0.16333
1999-04-16,0.13111
1999-04-17,0.11414
1999-04-18,0.099761
1999-04-19,0.087737
1999-04-20,0.071348
1999-04-21,0.066752
1999-04-22,0.064654
1999-04-23,0.062914
1999-04-24,0.061171
1999-04-25,0.059487
1999-04-26,0.057911
1999-04-27,0.056372
1999-04-28,0.054829
1999-04-29,0.053312
1999-04-30,0.051803
1999-05-01,0.050327
