time,rdis
1973-01-01,0.0023511
1973-01-02,0.0022747
1973-01-03,0.0022006
1973-01-04,0.0021016
1973-01-05,0.0020185
1973-01-06,0.0019429
1973-01-07,0.0018637
1973-01-08,0.0017844
1973-01-09,0.0018583
1973-01-10,0.0017884
1973-01-11,0.0016847
1973-01-12,0.0015867
1973-01-13,0.0014789
1973-01-14,0.0013638
1973-01-15,0.0012377
1973-01-16,0.0011106
1973-01-17,0.0010076
1973-01-18,0.00090725
1973-01-19,0.00082485
1973-01-20,0.00076598
1973-01-21,0.00072296
1973-01-22,0.00067129
1973-01-23,0.00060974
1973-01-24,0.076225
1973-01-25,0.020502
1973-01-26,0.0087357
1973-01-27,0.0069311
1973-01-28,0.0065517
1973-01-29,0.0063447
1973-01-30,0.006156
1973-01-31,0.0059868
1973-02-01,0.0062692
1973-02-02,0.0061649
1973-02-03,0.0059896
1973-02-04,0.0058025
1973-02-05,0.0056075
1973-02-06,0.0054267
1973-02-07,0.0052185
1973-02-08,0.0050178
1973-02-09,0.0048274
1973-02-10,0.0046152
1973-02-11,0.0044042
1973-02-12,0.0041981
1973-02-13,0.0040011
1973-02-14,0.0038149
1973-02-15,0.0036268
1973-02-16,0.0034504
1973-02-17,0.0032784
1973-02-18,0.003099
1973-02-19,0.002918
1973-02-20,0.0027179
1973-02-21,0.0025304
1973-02-22,0.0023585
1973-02-23,0.0022505
1973-02-24,0.0021896
1973-02-25,0.0021381
1973-02-26,0.0020888
1973-02-27,0.0020406
1973-02-28,0.0019938
1973-03-01,0.0019479
1973-03-02,0.0019031
1973-03-03,0.0018593
1973-03-04,0.0018166
1973-03-05,0.0017747
1973-03-06,0.0017339
1973-03-07,0.001694
1973-03-08,0.001655
1973-03-09,0.001617
1973-03-10,0.0015799
1973-03-11,0.0015435
1973-03-12,0.001508
1973-03-13,0.0014733
1973-03-14,0.0014394
1973-03-15,0.0014062
1973-03-16,0.001374
1973-03-17,0.0013424
1973-03-18,0.0013115
1973-03-19,0.0012813
1973-03-20,0.0012519
1973-03-21,0.0012231
1973-03-22,0.001195
1973-03-23,0.0011674
1973-03-24,0.0011406
1973-03-25,0.0011143
1973-03-26,0.0010886
1973-03-27,0.0010637
1973-03-28,0.0010392
1973-03-29,0.0010153
1973-03-30,0.000992
1973-03-31,0.00096916
1973-04-01,0.00094689
1973-04-02,0.00092512
1973-04-03,0.73925
1973-04-04,0.43337
1973-04-05,0.16722
1973-04-06,0.03702
1973-04-07,0.014459
1973-04-08,0.011294
1973-04-09,0.010589
1973-04-10,0.010113
1973-04-11,0.0096227
1973-04-12,0.0091401
1973-04-13,0.0086877
1973-04-14,0.00838
1973-04-15,0.0081692
1973-04-16,0.007979
1973-04-17,0.0077952
1973-04-18,0.0076159
1973-04-19,0.0074407
1973-04-20,0.0072696
1973-04-21,0.0071024
1973-04-22,0.0069391
1973-04-23,0.0067794
1973-04-24,0.0066235
1973-04-25,0.0064712
1973-04-26,0.0063223
1973-04-27,0.0061769
1973-04-28,0.0060347
1973-04-29,0.0058959
1973-04-30,0.0057603
1973-05-01,0.0056278
1973-05-02,0.0054985
1973-05-03,0.005372
1973-05-04,0.0052483
1973-05-05,0.0051277
1973-05-06,0.0050098
1973-05-07,0.0048946
1973-05-08,0.004782
1973-05-09,0.0046721
1973-05-10,0.0045646
1973-05-11,0.0044596
1973-05-12,0.0043571
1973-05-13,0.0042569
1973-05-14,0.004159
1973-05-15,0.0040633
1973-05-16,0.0039698
1973-05-17,0.0038786
1973-05-18,0.0037894
