time,rdis
1973-01-01,0.0021411
1973-01-02,0.0020919
1973-01-03,0.0020438
1973-01-04,0.0019968
1973-01-05,0.0019509
1973-01-06,0.001906
1973-01-07,0.0018622
1973-01-08,0.0018194
1973-01-09,0.0017775
1973-01-10,0.0017366
1973-01-11,0.0016967
1973-01-12,0.0016576
1973-01-13,0.0016195
1973-01-14,0.0015822
1973-01-15,0.0015459
1973-01-16,0.0015103
1973-01-17,0.0014756
1973-01-18,0.0014416
1973-01-19,0.0014085
1973-01-20,0.0013761
1973-01-21,0.0013445
1973-01-22,0.0013135
1973-01-23,0.0012832
1973-01-24,0.0012538
1973-01-25,0.001225
1973-01-26,0.0011968
1973-01-27,0.0011692
1973-01-28,0.0011423
1973-01-29,0.0011161
1973-01-30,0.0010904
1973-01-31,0.0010653
1973-02-01,0.0010408
1973-02-02,0.0010168
1973-02-03,0.15441
1973-02-04,0.031157
1973-02-05,0.005519
1973-02-06,0.00187
1973-02-07,0.001317
1973-02-08,0.0011462
1973-02-09,0.0010336
1973-02-10,0.00089487
1973-02-11,0.00083266
1973-02-12,0.00080677
1973-02-13,0.0007873
1973-02-14,0.00076917
1973-02-15,0.00075146
1973-02-16,0.00073415
1973-02-17,0.00071727
1973-02-18,0.00070071
1973-02-19,0.00068457
1973-02-20,0.00066892
1973-02-21,0.00065345
1973-02-22,0.00063846
1973-02-23,0.00062381
1973-02-24,0.00060941
1973-02-25,0.00059542
1973-02-26,0.00058168
1973-02-27,0.00056834
1973-02-28,0.00055527
1973-03-01,0.00054245
1973-03-02,0.00053002
1973-03-03,0.00051778
1973-03-04,0.00050585
1973-03-05,0.00049418
1973-03-06,0.00048284
1973-03-07,0.00047175
1973-03-08,0.0004609
1973-03-09,0.00045031
1973-03-10,0.00043989
1973-03-11,0.00042978
1973-03-12,0.00041993
1973-03-13,0.00041025
1973-03-14,0.00040081
1973-03-15,0.00039162
1973-03-16,0.00038267
1973-03-17,0.00037383
1973-03-18,0.00036529
1973-03-19,0.00035686
1973-03-20,0.00034866
1973-03-21,0.00034063
1973-03-22,0.00033277
1973-03-23,0.00032522
1973-03-24,0.0003177
1973-03-25,0.00031041
1973-03-26,0.00030329
1973-03-27,0.00029627
1973-03-28,0.00028955
1973-03-29,0.00028293
1973-03-30,0.0002764
1973-03-31,0.00027002
1973-04-01,0.00026381
1973-04-02,0.00025769
1973-04-03,0.017416
1973-04-04,0.0035601
1973-04-05,0.00068796
1973-04-06,0.00028749
1973-04-07,0.00023519
1973-04-08,0.00022475
1973-04-09,0.000219
1973-04-10,0.0002139
1973-04-11,0.00020901
1973-04-12,0.00020421
1973-04-13,0.00019949
1973-04-14,0.00019486
1973-04-15,0.00019039
1973-04-16,0.00018608
1973-04-17,0.00018171
1973-04-18,0.00017763
1973-04-19,0.00017351
1973-04-20,0.00016953
1973-04-21,0.00016564
1973-04-22,0.00016183
1973-04-23,0.00015818
1973-04-24,0.00015447
1973-04-25,0.00015091
1973-04-26,0.00014743
1973-04-27,0.00014411
1973-04-28,0.00014073
1973-04-29,0.00013749
1973-04-30,0.00013427
1973-05-01,0.00013127
1973-05-02,0.0001283
1973-05-03,0.00012533
1973-05-04,0.00012243
1973-05-05,0.00011961
1973-05-06,0.0001168
1973-05-07,0.00011415
1973-05-08,0.00011158
1973-05-09,0.00010902
1973-05-10,0.00010646
1973-05-11,0.00010397
1973-05-12,0.00010164
1973-05-13,9.9331e-05
1973-05-14,9.7093e-05
1973-05-15,9.4863e-05
1973-05-16,9.2558e-05
1973-05-17,9.0471e-05
1973-05-18,8.8405e-05
1973-05-19,8.6341e-05
1973-05-20,8.435e-05
1973-05-21,8.2368e-05
1973-05-22,8.0536e-05
1973-05-23,7.8642e-05
1973-05-24,7.6894e-05
1973-05-25,7.5157e-05
1973-05-26,7.3424e-05
1973-05-27,7.169e-05
1973-05-28,7.003e-05
1973-05-29,6.8378e-05
1973-05-30,6.6801e-05
1973-05-31,6.5232e-05
