time,rdis
2071-01-01,0.00057042
2071-01-02,0.00055734
2071-01-03,0.00054451
2071-01-04,0.00053193
2071-01-05,0.00051968
2071-01-06,0.00050775
2071-01-07,0.00049601
2071-01-08,0.00048458
2071-01-09,0.00047341
2071-01-10,0.00046248
2071-01-11,0.00045188
2071-01-12,0.00044153
2071-01-13,0.00043136
2071-01-14,0.00042142
2071-01-15,0.00041173
2071-01-16,0.00040229
2071-01-17,0.00039303
2071-01-18,1.7292
2071-01-19,0.33737
2071-01-20,0.45085
2071-01-21,0.0889
2071-01-22,0.017297
2071-01-23,0.0074043
2071-01-24,0.006071
2071-01-25,0.0057506
2071-01-26,0.0055561
2071-01-27,0.0053796
2071-01-28,0.005206
2071-01-29,0.0050462
2071-01-30,0.0048937
2071-01-31,0.0047441
2071-02-01,0.0045655
2071-02-02,0.0043762
2071-02-03,0.0042029
2071-02-04,0.0040358
2071-02-05,0.0038728
2071-02-06,0.0039053
2071-02-07,0.0042482
2071-02-08,3.0731
2071-02-09,0.73352
2071-02-10,5.4176
2071-02-11,2.2863
2071-02-12,0.96307
2071-02-13,0.69556
2071-02-14,0.41757
2071-02-15,0.28866
2071-02-16,0.26118
2071-02-17,0.25259
2071-02-18,0.24556
2071-02-19,0.2395
2071-02-20,0.23329
2071-02-21,0.22696
2071-02-22,0.2208
2071-02-23,0.21496
2071-02-24,0.20899
2071-02-25,0.20382
2071-02-26,0.19899
2071-02-27,0.1943
2071-02-28,0.1897
2071-03-01,0.18519
2071-03-02,0.1808
2071-03-03,0.17651
2071-03-04,0.1723
2071-03-05,0.16819
2071-03-06,0.16416
2071-03-07,0.16023
2071-03-08,0.1564
2071-03-09,0.15265
2071-03-10,0.14897
2071-03-11,0.14536
2071-03-12,0.14187
2071-03-13,0.13844
2071-03-14,0.13508
2071-03-15,0.1318
2071-03-16,0.1286
2071-03-17,0.12546
2071-03-18,0.12239
2071-03-19,0.11939
2071-03-20,0.11647
2071-03-21,0.11375
2071-03-22,0.11112
2071-03-23,0.10857
2071-03-24,0.10607
2071-03-25,0.10363
2071-03-26,0.10125
2071-03-27,0.098917
2071-03-28,0.096642
2071-03-29,0.094419
2071-03-30,0.092248
2071-03-31,0.090126
2071-04-01,0.088053
2071-04-02,0.086028
2071-04-03,0.084049
2071-04-04,0.082116
2071-04-05,0.080227
2071-04-06,0.078382
2071-04-07,0.076579
2071-04-08,0.074818
2071-04-09,0.073097
2071-04-10,0.071416
2071-04-11,0.069773
2071-04-12,0.068169
2071-04-13,0.56429
2071-04-14,0.44488
2071-04-15,0.3662
2071-04-16,0.1508
2071-04-17,0.08431
2071-04-18,0.072303
2071-04-19,0.069149
2071-04-20,0.067149
2071-04-21,0.065329
2071-04-22,0.063547
2071-04-23,0.061808
2071-04-24,0.060117
2071-04-25,0.058504
2071-04-26,0.056924
2071-04-27,0.055339
2071-04-28,0.053786
2071-04-29,0.052258
2071-04-30,0.050922
2071-05-01,0.050002
2071-05-02,0.048678
2071-05-03,0.047479
2071-05-04,0.046374
2071-05-05,0.045305
2071-05-06,0.044263
2071-05-07,0.043245
2071-05-08,0.04225
2071-05-09,0.041279
2071-05-10,0.040329
2071-05-11,0.039402
2071-05-12,0.038495
2071-05-13,0.03761
2071-05-14,0.036745
2071-05-15,0.0359
2071-05-16,0.035074
2071-05-17,0.034268
2071-05-18,0.033479
2071-05-19,0.032709
2071-05-20,0.031957
2071-05-21,0.031222
2071-05-22,0.030504
2071-05-23,0.029802
2071-05-24,0.029117
2071-05-25,0.20419
2071-05-26,0.061726
2071-05-27,0.031737
2071-05-28,0.027069
2071-05-29,0.025978
2071-05-30,0.025329
2071-05-31,0.024741
2071-06-01,0.024171
2071-06-02,0.023615
2071-06-03,0.023072
2071-06-04,0.022542
2071-06-05,0.022023
2071-06-06,0.021517
2071-06-07,0.021022
2071-06-08,0.020538
2071-06-09,0.020066
2071-06-10,0.019604
2071-06-11,0.019153
2071-06-12,0.018713
2071-06-13,0.018283
2071-06-14,0.017862
2071-06-15,0.017451
2071-06-16,0.01705
2071-06-17,0.016658
2071-06-18,0.016274
2071-06-19,0.0159
2071-06-20,0.015534
2071-06-21,0.015177
2071-06-22,0.014828
2071-06-23,0.014487
2071-06-24,0.014154
2071-06-25,0.013828
2071-06-26,0.01351
2071-06-27,0.0132
2071-06-28,0.012896
2071-06-29,0.012599
2071-06-30,0.012309
2071-07-01,0.012026
2071-07-02,0.01175
2071-07-03,0.01148
2071-07-04,0.011216
2071-07-05,0.010958
