time,rdis
1993-01-01,1.1948
1993-01-02,1.1081
1993-01-03,1.0276
1993-01-04,1.2631
1993-01-05,1.375
1993-01-06,1.318
1993-01-07,1.1751
1993-01-08,1.5021
1993-01-09,1.7794
1993-01-10,1.5779
1993-01-11,1.3701
1993-01-12,1.183
1993-01-13,1.0573
1993-01-14,1.7764
1993-01-15,1.6913
1993-01-16,1.7553
1993-01-17,1.5323
1993-01-18,1.3585
1993-01-19,1.2603
1993-01-20,1.6889
1993-01-21,1.9316
1993-01-22,1.673
1993-01-23,1.5501
1993-01-24,1.8975
1993-01-25,1.9995
1993-01-26,1.9797
1993-01-27,2.2698
1993-01-28,2.0306
1993-01-29,1.7026
1993-01-30,1.8132
1993-01-31,1.6066
1993-02-01,1.4043
1993-02-02,1.2914
1993-02-03,1.1396
1993-02-04,1.0695
1993-02-05,0.98009
1993-02-06,1.2713
1993-02-07,1.533
1993-02-08,1.8567
1993-02-09,1.8992
1993-02-10,1.7283
1993-02-11,1.4896
1993-02-12,1.3772
1993-02-13,1.1874
1993-02-14,1.036
1993-02-15,0.93175
1993-02-16,1.0782
1993-02-17,1.2333
1993-02-18,1.2424
1993-02-19,1.1109
1993-02-20,1.0625
1993-02-21,0.96607
1993-02-22,0.88584
1993-02-23,0.82327
1993-02-24,0.78893
1993-02-25,0.76353
1993-02-26,0.74095
1993-02-27,0.71921
1993-02-28,0.69819
1993-03-01,0.67725
1993-03-02,0.65668
1993-03-03,0.63661
1993-03-04,0.61706
1993-03-05,0.59929
1993-03-06,0.58504
1993-03-07,0.57138
1993-03-08,0.55793
1993-03-09,0.54461
1993-03-10,0.53153
1993-03-11,0.5188
1993-03-12,0.50625
1993-03-13,0.49426
1993-03-14,0.48286
1993-03-15,0.47182
1993-03-16,0.46095
1993-03-17,0.45022
1993-03-18,0.43969
1993-03-19,0.43451
1993-03-20,0.42551
1993-03-21,0.42075
1993-03-22,0.41206
1993-03-23,0.4021
1993-03-24,0.39217
1993-03-25,0.38769
1993-03-26,0.38093
1993-03-27,0.39777
1993-03-28,0.38368
1993-03-29,0.37316
1993-03-30,0.36363
1993-03-31,0.36905
1993-04-01,0.43024
1993-04-02,0.40259
1993-04-03,0.5723
1993-04-04,0.62188
1993-04-05,0.51669
1993-04-06,0.40739
1993-04-07,0.36894
1993-04-08,0.36023
1993-04-09,0.35119
1993-04-10,0.34076
1993-04-11,0.33163
1993-04-12,0.32341
1993-04-13,0.31563
1993-04-14,0.30804
1993-04-15,0.30042
1993-04-16,0.29318
1993-04-17,0.28629
1993-04-18,0.27944
1993-04-19,0.27276
1993-04-20,0.26645
1993-04-21,0.26021
1993-04-22,0.26244
1993-04-23,0.26038
1993-04-24,0.2545
1993-04-25,0.30142
1993-04-26,0.26643
1993-04-27,0.25189
1993-04-28,0.24351
1993-04-29,0.2357
1993-04-30,0.22783
1993-05-01,0.21996
1993-05-02,0.21204
1993-05-03,0.20492
1993-05-04,0.19801
1993-05-05,0.19076
1993-05-06,0.18324
1993-05-07,0.1763
1993-05-08,0.17025
1993-05-09,0.16413
1993-05-10,0.15809
1993-05-11,0.15398
1993-05-12,0.15076
1993-05-13,0.14778
1993-05-14,0.14488
1993-05-15,0.14206
1993-05-16,0.13931
1993-05-17,0.13661
1993-05-18,0.13868
1993-05-19,0.13927
1993-05-20,0.14253
1993-05-21,0.14006
1993-05-22,0.13637
1993-05-23,0.13381
1993-05-24,0.12997
1993-05-25,0.12568
1993-05-26,0.12169
1993-05-27,0.11762
1993-05-28,0.12265
1993-05-29,0.31386
1993-05-30,0.24056
1993-05-31,0.19422
1993-06-01,0.14668
1993-06-02,0.13688
1993-06-03,0.13166
1993-06-04,0.12665
1993-06-05,0.12186
1993-06-06,0.11716
1993-06-07,0.11205
1993-06-08,0.10664
1993-06-09,0.10076
1993-06-10,0.094694
1993-06-11,0.089041
1993-06-12,0.085602
1993-06-13,0.083725
1993-06-14,0.082257
1993-06-15,0.080887
1993-06-16,0.079558
1993-06-17,0.078261
1993-06-18,0.076994
1993-06-19,0.075757
1993-06-20,0.074548
1993-06-21,0.073367
1993-06-22,0.091049
1993-06-23,0.075716
1993-06-24,0.070783
1993-06-25,0.069054
1993-06-26,0.06791
1993-06-27,0.066872
1993-06-28,0.065868
1993-06-29,0.064887
1993-06-30,0.06393
1993-07-01,0.062995
1993-07-02,0.062081
1993-07-03,0.061188
1993-07-04,0.060316
1993-07-05,0.059463
1993-07-06,0.1942
1993-07-07,0.0874
1993-07-08,0.061711
1993-07-09,0.057089
1993-07-10,0.055822
1993-07-11,0.055019
1993-07-12,0.054286
1993-07-13,0.053577
1993-07-14,0.052884
1993-07-15,0.084416
1993-07-16,0.32421
