time,rdis
1979-01-01,0.9072618
1979-01-02,1.0413003
1979-01-03,0.95786464
1979-01-04,0.8522705
1979-01-05,0.83488107
1979-01-06,0.8190692
1979-01-07,0.8047584
1979-01-08,0.79142743
1979-01-09,0.77539
1979-01-10,0.7618985
1979-01-11,0.7487126
1979-01-12,0.7369935
1979-01-13,0.7287772
1979-01-14,0.7210372
1979-01-15,0.77693456
1979-01-16,0.79819095
1979-01-17,0.7093898
1979-01-18,0.66651857
1979-01-19,0.65606433
1979-01-20,0.64591485
1979-01-21,1.1172543
1979-01-22,1.2084656
1979-01-23,0.83031356
1979-01-24,0.9755434
1979-01-25,1.0133175
1979-01-26,0.9612939
1979-01-27,1.0619327
1979-01-28,1.1547289
1979-01-29,1.2324643
1979-01-30,0.91266966
1979-01-31,0.8047206
1979-02-01,0.8266947
1979-02-02,0.7128589
1979-02-03,0.8739907
1979-02-04,0.8041485
1979-02-05,0.69781417
1979-02-06,0.7174687
1979-02-07,0.8851167
1979-02-08,0.8863843
1979-02-09,0.76997685
1979-02-10,1.2023414
1979-02-11,1.028162
1979-02-12,0.95768124
1979-02-13,1.0312681
1979-02-14,1.0755601
1979-02-15,0.9004558
1979-02-16,0.777217
1979-02-17,0.78400195
1979-02-18,0.81211084
1979-02-19,0.8099869
1979-02-20,0.79914767
1979-02-21,1.0655315
1979-02-22,1.5485419
1979-02-23,1.2886624
1979-02-24,0.91514957
1979-02-25,0.85515463
1979-02-26,0.87553054
1979-02-27,0.89263815
1979-02-28,0.8995212
1979-03-01,1.0151047
1979-03-02,1.0053827
1979-03-03,0.83064854
1979-03-04,0.85947347
1979-03-05,0.9043988
1979-03-06,0.9004317
1979-03-07,1.0868051
1979-03-08,0.9715981
1979-03-09,0.8307976
1979-03-10,0.8262384
1979-03-11,0.82045627
1979-03-12,0.8160133
1979-03-13,0.8506082
1979-03-14,0.8701364
1979-03-15,0.8369649
1979-03-16,0.8014369
1979-03-17,0.7863488
1979-03-18,0.79706275
1979-03-19,0.9185159
1979-03-20,1.0036302
1979-03-21,0.9996864
1979-03-22,0.86962783
1979-03-23,0.934117
1979-03-24,0.8695383
1979-03-25,0.83706254
1979-03-26,0.83545405
1979-03-27,0.8486364
1979-03-28,0.82188094
1979-03-29,0.75443685
1979-03-30,0.74778587
1979-03-31,0.70291007
1979-04-01,0.69585717
1979-04-02,0.6870486
1979-04-03,0.68193924
1979-04-04,0.676393
1979-04-05,0.6929361
1979-04-06,0.722273
1979-04-07,0.68340147
1979-04-08,0.6472613
1979-04-09,0.6385855
1979-04-10,0.6297889
1979-04-11,0.6207128
1979-04-12,0.6113756
1979-04-13,0.60192996
1979-04-14,0.5924356
1979-04-15,0.5828655
1979-04-16,0.57329565
1979-04-17,0.7652968
1979-04-18,0.6764428
1979-04-19,0.5448281
1979-04-20,0.5488336
1979-04-21,0.5342423
1979-04-22,0.5172884
1979-04-23,0.5081095
1979-04-24,0.50049084
1979-04-25,0.50242853
1979-04-26,0.48585707
1979-04-27,0.4715417
1979-04-28,0.46278477
1979-04-29,0.45404324
1979-04-30,0.4453684
1979-05-01,0.43679178
1979-05-02,0.45486385
1979-05-03,0.43627244
1979-05-04,0.41108105
1979-05-05,0.40250126
1979-05-06,0.39397192
1979-05-07,0.3856018
1979-05-08,0.38717324
1979-05-09,0.37593287
1979-05-10,0.36192092
1979-05-11,0.35425302
1979-05-12,0.6407426
1979-05-13,0.75220954
1979-05-14,0.5558037
1979-05-15,0.372846
1979-05-16,0.31733504
1979-05-17,0.3104931
1979-05-18,0.30372068
1979-05-19,0.29704016
1979-05-20,0.29046857
1979-05-21,0.28397387
1979-05-22,0.27755418
1979-05-23,0.27120093
1979-05-24,0.26485795
1979-05-25,0.25862613
1979-05-26,0.53652185
1979-05-27,0.6369447
1979-05-28,0.37326556
1979-05-29,0.2362312
1979-05-30,0.2305878
1979-05-31,0.22548734
1979-06-01,0.22056922
1979-06-02,0.5416446
1979-06-03,0.4076798
1979-06-04,0.27648336
1979-06-05,0.3456531
1979-06-06,0.25998977
1979-06-07,0.1956227
1979-06-08,0.19196041
1979-06-09,0.37486753
1979-06-10,0.29766253
1979-06-11,0.18169463
1979-06-12,0.17825145
1979-06-13,0.17476472
1979-06-14,0.17106713
1979-06-15,0.2715041
1979-06-16,0.22678688
1979-06-17,0.15932114
1979-06-18,0.15511982
1979-06-19,0.15084341
1979-06-20,0.19889258
1979-06-21,0.17355222
1979-06-22,0.13835785
1979-06-23,0.13445607
1979-06-24,0.13069215
1979-06-25,0.19887874
1979-06-26,0.1672789
1979-06-27,0.12024802
1979-06-28,0.1688375
1979-06-29,0.42437825
1979-06-30,0.279858
1979-07-01,0.108182356
1979-07-02,0.10533531
1979-07-03,0.21277638
1979-07-04,0.167076
1979-07-05,0.1158001
1979-07-06,0.10677171
1979-07-07,0.09293302
1979-07-08,0.090669386
1979-07-09,0.08842418
1979-07-10,0.088564254
1979-07-11,0.08566652
1979-07-12,1.7934192
1979-07-13,1.1408932
1979-07-14,0.07927797
1979-07-15,0.07724399
1979-07-16,0.07593994
1979-07-17,0.12769772
1979-07-18,0.10942495
1979-07-19,0.6328345
1979-07-20,0.41130254
1979-07-21,0.07915642
1979-07-22,0.09489918
1979-07-23,0.27222943
1979-07-24,0.18339743
1979-07-25,0.06751027
1979-07-26,0.066720545
1979-07-27,0.3835585
1979-07-28,0.25794265
1979-07-29,0.064710476
1979-07-30,0.063912086
1979-07-31,0.18138668
1979-08-01,0.1352352
1979-08-02,0.061794095
1979-08-03,0.06380372
1979-08-04,0.06198754
1979-08-05,0.059225067
1979-08-06,0.058354
1979-08-07,0.56561476
1979-08-08,0.53993607
1979-08-09,0.36782506
1979-08-10,0.32048255
1979-08-11,0.22128284
1979-08-12,0.1637017
1979-08-13,0.08977275
1979-08-14,0.053192973
1979-08-15,0.05284931
1979-08-16,0.052537207
1979-08-17,0.09160798
1979-08-18,0.10447397
1979-08-19,0.44098753
1979-08-20,0.70066273
1979-08-21,0.5687179
1979-08-22,0.43286312
1979-08-23,1.2310946
1979-08-24,0.8215285
1979-08-25,0.13401254
1979-08-26,0.058372993
1979-08-27,0.061618958
1979-08-28,0.06475197
1979-08-29,0.06766331
1979-08-30,0.07033028
1979-08-31,0.27519035
1979-09-01,0.8419607
1979-09-02,0.4714574
1979-09-03,0.25970787
1979-09-04,0.19281314
1979-09-05,0.10158001
1979-09-06,0.23495339
1979-09-07,0.17972289
1979-09-08,0.09668842
1979-09-09,0.09475925
1979-09-10,0.1417569
1979-09-11,0.14632556
1979-09-12,0.55740255
1979-09-13,0.7084481
1979-09-14,0.98690146
1979-09-15,0.79582655
1979-09-16,0.3269811
1979-09-17,0.732814
1979-09-18,0.8545742
1979-09-19,0.37312847
1979-09-20,0.14892665
1979-09-21,0.18448544
1979-09-22,0.17928028
1979-09-23,0.5625072
1979-09-24,0.410552
1979-09-25,0.18128553
1979-09-26,0.18827482
1979-09-27,0.19476797
1979-09-28,0.2236973
1979-09-29,0.37085932
1979-09-30,0.30144367
1979-10-01,0.21405812
1979-10-02,0.21746555
1979-10-03,0.22047095
1979-10-04,0.22299112
1979-10-05,0.2250268
1979-10-06,0.3047668
1979-10-07,0.27440143
1979-10-08,0.2286846
1979-10-09,0.22916763
1979-10-10,0.22934043
1979-10-11,0.22920868
1979-10-12,0.22882332
1979-10-13,0.22822815
1979-10-14,0.22743332
1979-10-15,0.568498
1979-10-16,1.1700163
1979-10-17,0.8398556
1979-10-18,0.3266113
1979-10-19,0.22584304
1979-10-20,0.22735113
1979-10-21,0.22913411
1979-10-22,0.23096971
1979-10-23,0.45145288
1979-10-24,0.36729476
1979-10-25,0.23610888
1979-10-26,0.23760596
1979-10-27,0.23905563
1979-10-28,0.24035254
1979-10-29,0.24143253
1979-10-30,0.78395844
1979-10-31,1.0069224
1979-11-01,1.1186318
1979-11-02,0.8163222
1979-11-03,0.8970588
1979-11-04,2.5147066
1979-11-05,1.5741627
1979-11-06,0.45839632
1979-11-07,0.39681277
1979-11-08,0.5246581
1979-11-09,1.487394
1979-11-10,1.2048277
1979-11-11,0.57734036
1979-11-12,0.66315925
1979-11-13,0.9549754
1979-11-14,0.7644544
1979-11-15,0.6153122
1979-11-16,0.64696646
1979-11-17,0.6721537
1979-11-18,1.7251803
1979-11-19,1.3389179
1979-11-20,0.73179454
1979-11-21,0.9855475
1979-11-22,0.9156496
1979-11-23,0.79457724
1979-11-24,0.82834303
1979-11-25,0.8385864
1979-11-26,0.8401179
1979-11-27,1.0049429
1979-11-28,0.9407375
1979-11-29,0.88651925
1979-11-30,0.87672335
1979-12-01,0.90238917
1979-12-02,0.8931327
1979-12-03,0.90630215
1979-12-04,0.8953452
1979-12-05,1.6371489
1979-12-06,1.6575065
1979-12-07,1.0549669
1979-12-08,1.1971812
1979-12-09,1.0885644
1979-12-10,0.94126177
1979-12-11,1.0773509
1979-12-12,1.0297148
1979-12-13,0.9733816
1979-12-14,0.94930845
1979-12-15,0.9071118
1979-12-16,0.9525961
1979-12-17,0.94939923
1979-12-18,1.0539155
1979-12-19,1.7526069
1979-12-20,1.2297046
1979-12-21,1.1504152
1979-12-22,1.3744127
1979-12-23,1.3309163
1979-12-24,1.2088904
1979-12-25,1.5434695
1979-12-26,1.322303
1979-12-27,1.2102926
1979-12-28,1.3779927
1979-12-29,1.2305226
1979-12-30,1.0516151
1979-12-31,1.0464736
