time,rdis
1984-01-01,2.0477
1984-01-02,1.8072
1984-01-03,1.5337
1984-01-04,1.3702
1984-01-05,1.2572
1984-01-06,1.3294
1984-01-07,1.1308
1984-01-08,0.96471
1984-01-09,0.84544
1984-01-10,0.77232
1984-01-11,0.9468
1984-01-12,1.0458
1984-01-13,1.0436
1984-01-14,1.3383
1984-01-15,1.3217
1984-01-16,1.1051
1984-01-17,1.4019
1984-01-18,1.2166
1984-01-19,0.99043
1984-01-20,0.85866
1984-01-21,0.76868
1984-01-22,0.70654
1984-01-23,0.67334
1984-01-24,0.6519
1984-01-25,0.63389
1984-01-26,0.65686
1984-01-27,0.70305
1984-01-28,0.9677
1984-01-29,1.0098
1984-01-30,1.2147
1984-01-31,1.429
1984-02-01,1.2796
1984-02-02,1.0295
1984-02-03,0.85501
1984-02-04,0.79198
1984-02-05,1.0874
1984-02-06,1.4365
1984-02-07,1.9352
1984-02-08,1.6169
1984-02-09,1.505
1984-02-10,1.2881
1984-02-11,1.1009
1984-02-12,0.92128
1984-02-13,0.89174
1984-02-14,0.90631
1984-02-15,1.1197
1984-02-16,1.4216
1984-02-17,1.2516
1984-02-18,1.0201
1984-02-19,0.86871
1984-02-20,1.0376
1984-02-21,0.99965
1984-02-22,0.86916
1984-02-23,0.76409
1984-02-24,0.91508
1984-02-25,0.92991
1984-02-26,0.82825
1984-02-27,0.74196
1984-02-28,0.68175
1984-02-29,0.63959
1984-03-01,0.61591
1984-03-02,0.59931
1984-03-03,0.58305
1984-03-04,0.56718
1984-03-05,0.5518
1984-03-06,0.68434
1984-03-07,0.7387
1984-03-08,0.66806
1984-03-09,0.6035
1984-03-10,0.54903
1984-03-11,0.5169
1984-03-12,0.53178
1984-03-13,0.73021
1984-03-14,1.1328
1984-03-15,1.2376
1984-03-16,1.0994
1984-03-17,1.3947
1984-03-18,1.355
1984-03-19,1.5845
1984-03-20,2.5694
1984-03-21,2.0354
1984-03-22,1.5186
1984-03-23,1.2859
1984-03-24,1.1123
1984-03-25,0.91945
1984-03-26,0.77373
1984-03-27,0.66908
1984-03-28,0.62816
1984-03-29,0.60277
1984-03-30,0.58065
1984-03-31,0.55981
1984-04-01,0.54236
1984-04-02,0.52835
1984-04-03,0.51537
1984-04-04,0.50289
1984-04-05,0.49061
1984-04-06,0.47853
1984-04-07,0.46723
1984-04-08,0.45637
1984-04-09,0.44578
1984-04-10,0.43549
1984-04-11,0.42555
1984-04-12,0.41575
1984-04-13,0.41017
1984-04-14,0.40272
1984-04-15,0.39351
1984-04-16,0.38408
1984-04-17,0.37585
1984-04-18,0.36721
1984-04-19,0.35863
1984-04-20,0.34987
1984-04-21,0.34103
1984-04-22,1.2568
1984-04-23,0.96751
1984-04-24,0.74361
1984-04-25,0.71327
1984-04-26,0.70429
1984-04-27,0.64717
1984-04-28,0.53681
1984-04-29,0.44735
1984-04-30,0.41192
1984-05-01,0.39
1984-05-02,0.37365
1984-05-03,0.36305
1984-05-04,0.35377
1984-05-05,0.3447
1984-05-06,0.33555
1984-05-07,0.32631
1984-05-08,0.31732
1984-05-09,0.3089
1984-05-10,0.30035
1984-05-11,0.29224
1984-05-12,0.28447
1984-05-13,0.27656
1984-05-14,0.26878
1984-05-15,0.26126
1984-05-16,0.25428
1984-05-17,0.24741
1984-05-18,0.24051
1984-05-19,0.23377
1984-05-20,0.22711
1984-05-21,0.22049
1984-05-22,0.21382
1984-05-23,0.2072
1984-05-24,0.20072
1984-05-25,0.19521
1984-05-26,0.19058
1984-05-27,0.1865
1984-05-28,0.18265
1984-05-29,0.17893
1984-05-30,0.17531
1984-05-31,0.17178
1984-06-01,0.16832
1984-06-02,0.16495
1984-06-03,0.16166
1984-06-04,0.15845
1984-06-05,0.15531
1984-06-06,0.15224
1984-06-07,0.14925
1984-06-08,0.14632
1984-06-09,0.14347
1984-06-10,0.14068
1984-06-11,0.13796
1984-06-12,0.1353
1984-06-13,0.1327
1984-06-14,0.13016
1984-06-15,0.12768
1984-06-16,0.12526
1984-06-17,0.1229
1984-06-18,0.12059
1984-06-19,0.11834
1984-06-20,0.21944
1984-06-21,0.13914
1984-06-22,0.11619
1984-06-23,0.11061
1984-06-24,0.10811
1984-06-25,0.10609
1984-06-26,0.10417
1984-06-27,0.10231
1984-06-28,0.10048
1984-06-29,0.098701
1984-06-30,0.096961
1984-07-01,0.095263
1984-07-02,0.093603
1984-07-03,0.12543
1984-07-04,0.098101
1984-07-05,0.090073
1984-07-06,0.15479
1984-07-07,0.10205
1984-07-08,0.087077
1984-07-09,0.083392
1984-07-10,0.081696
1984-07-11,0.080312
1984-07-12,0.078995
1984-07-13,0.077712
1984-07-14,0.07646
1984-07-15,0.075237
1984-07-16,0.074042
1984-07-17,0.072875
1984-07-18,0.071734
1984-07-19,0.07062
1984-07-20,0.069532
1984-07-21,0.068469
1984-07-22,0.06743
1984-07-23,0.066415
1984-07-24,0.065424
1984-07-25,0.064455
1984-07-26,0.063509
1984-07-27,0.062584
1984-07-28,0.061681
1984-07-29,0.060798
1984-07-30,0.059936
1984-07-31,0.059093
1984-08-01,0.05827
1984-08-02,0.3916
1984-08-03,0.13563
1984-08-04,0.069154
1984-08-05,0.11671
1984-08-06,0.068993
1984-08-07,0.056567
1984-08-08,0.053961
1984-08-09,0.56693
1984-08-10,0.30734
1984-08-11,0.16636
1984-08-12,0.14296
1984-08-13,0.20836
1984-08-14,0.24394
1984-08-15,0.23013
1984-08-16,0.15935
1984-08-17,0.13327
1984-08-18,0.12433
1984-08-19,0.1191
1984-08-20,0.1145
1984-08-21,0.11005
1984-08-22,0.10536
1984-08-23,0.10081
1984-08-24,0.09659
1984-08-25,0.092681
1984-08-26,0.094209
1984-08-27,0.091564
1984-08-28,0.087885
1984-08-29,0.084301
1984-08-30,0.080765
1984-08-31,0.077544
1984-09-01,0.074708
1984-09-02,0.15199
1984-09-03,0.36117
1984-09-04,0.96222
1984-09-05,1.2051
1984-09-06,0.92839
1984-09-07,0.65429
1984-09-08,0.50539
1984-09-09,0.38663
1984-09-10,0.29624
1984-09-11,0.2637
1984-09-12,0.24677
1984-09-13,0.23132
1984-09-14,0.22004
1984-09-15,0.21319
1984-09-16,0.20738
1984-09-17,0.2034
1984-09-18,0.19822
1984-09-19,0.19487
1984-09-20,0.19435
1984-09-21,0.49669
1984-09-22,0.52386
1984-09-23,0.43701
1984-09-24,0.5672
1984-09-25,0.42741
1984-09-26,0.33717
1984-09-27,0.32542
1984-09-28,0.31283
1984-09-29,0.29671
1984-09-30,0.28039
1984-10-01,0.26469
1984-10-02,0.24996
1984-10-03,0.23523
1984-10-04,0.22314
1984-10-05,0.21791
1984-10-06,0.21297
1984-10-07,0.20809
1984-10-08,0.20338
1984-10-09,0.1988
1984-10-10,0.19442
1984-10-11,0.19586
1984-10-12,0.21538
1984-10-13,0.32364
1984-10-14,0.28199
1984-10-15,0.80602
1984-10-16,0.74288
1984-10-17,0.98602
1984-10-18,0.85862
1984-10-19,0.6689
1984-10-20,1.3599
1984-10-21,1.8644
1984-10-22,1.4955
1984-10-23,1.1915
1984-10-24,0.99686
1984-10-25,0.88477
1984-10-26,0.76992
1984-10-27,0.6286
1984-10-28,0.52562
1984-10-29,0.46006
1984-10-30,0.41933
1984-10-31,0.40022
1984-11-01,0.38622
1984-11-02,0.44737
1984-11-03,0.41495
1984-11-04,0.38474
1984-11-05,0.54745
1984-11-06,0.64029
1984-11-07,0.98041
1984-11-08,1.6447
1984-11-09,1.386
1984-11-10,3.5835
1984-11-11,3.1007
1984-11-12,2.6604
1984-11-13,2.2397
1984-11-14,1.7575
1984-11-15,1.491
1984-11-16,2.4507
1984-11-17,2.444
1984-11-18,1.9625
1984-11-19,1.651
1984-11-20,1.4669
1984-11-21,1.3707
1984-11-22,1.2605
1984-11-23,1.1434
1984-11-24,1.0023
1984-11-25,1.6901
1984-11-26,2.8084
1984-11-27,2.3829
1984-11-28,2.9017
1984-11-29,2.471
1984-11-30,1.9464
1984-12-01,1.7191
1984-12-02,2.1096
1984-12-03,1.8786
1984-12-04,1.6206
1984-12-05,1.5959
1984-12-06,1.7073
1984-12-07,1.8885
1984-12-08,1.6787
1984-12-09,1.9279
1984-12-10,2.462
1984-12-11,2.1781
1984-12-12,1.7901
1984-12-13,1.6894
1984-12-14,1.5538
1984-12-15,1.7699
1984-12-16,1.5898
1984-12-17,1.3611
1984-12-18,2.1446
1984-12-19,1.912
1984-12-20,1.7507
1984-12-21,1.5309
1984-12-22,1.9354
1984-12-23,2.1673
1984-12-24,2.5621
1984-12-25,2.1045
1984-12-26,1.7361
1984-12-27,2.1195
1984-12-28,1.9968
1984-12-29,1.7429
1984-12-30,1.5639
1984-12-31,1.4538
