time,rdis
1976-01-01,0.88208485
1976-01-02,0.86856174
1976-01-03,0.85503453
1976-01-04,0.841536
1976-01-05,0.82809645
1976-01-06,0.81474257
1976-01-07,0.801497
1976-01-08,0.7898355
1976-01-09,0.77868366
1976-01-10,0.7626263
1976-01-11,0.7614708
1976-01-12,0.7613216
1976-01-13,0.8096491
1976-01-14,0.8469558
1976-01-15,0.7639493
1976-01-16,0.6908652
1976-01-17,0.7040581
1976-01-18,0.7096557
1976-01-19,0.6762929
1976-01-20,0.6488941
1976-01-21,0.88143444
1976-01-22,0.8224467
1976-01-23,0.6232744
1976-01-24,0.6134955
1976-01-25,0.6035626
1976-01-26,0.5955418
1976-01-27,0.5879876
1976-01-28,0.58064246
1976-01-29,0.573475
1976-01-30,0.6227592
1976-01-31,0.6253602
1976-02-01,0.6297974
1976-02-02,0.6048459
1976-02-03,0.5808339
1976-02-04,0.5755103
1976-02-05,0.80536085
1976-02-06,1.0238595
1976-02-07,0.6136024
1976-02-08,0.76144534
1976-02-09,0.86475307
1976-02-10,0.6707289
1976-02-11,0.51704353
1976-02-12,0.5581234
1976-02-13,0.55038
1976-02-14,0.5086826
1976-02-15,0.5090387
1976-02-16,0.5095958
1976-02-17,0.6030894
1976-02-18,1.0465412
1976-02-19,0.88402086
1976-02-20,0.5216651
1976-02-21,0.51345676
1976-02-22,0.51565343
1976-02-23,0.51785874
1976-02-24,0.51980215
1976-02-25,0.52136713
1976-02-26,0.52247727
1976-02-27,0.52309704
1976-02-28,0.5232129
1976-02-29,0.52282053
1976-03-01,0.6678126
1976-03-02,0.63763356
1976-03-03,0.53178185
1976-03-04,0.7343097
1976-03-05,0.8662748
1976-03-06,0.8069417
1976-03-07,0.67229635
1976-03-08,0.85556746
1976-03-09,1.1570559
1976-03-10,0.86704475
1976-03-11,0.56619644
1976-03-12,0.53926915
1976-03-13,0.6599626
1976-03-14,0.78347075
1976-03-15,0.6546651
1976-03-16,0.55293995
1976-03-17,0.92899907
1976-03-18,0.8687481
1976-03-19,0.5795082
1976-03-20,0.57688445
1976-03-21,0.58272463
1976-03-22,0.5916016
1976-03-23,0.5942698
1976-03-24,0.5952125
1976-03-25,0.72336674
1976-03-26,0.8570157
1976-03-27,0.729635
1976-03-28,0.67529744
1976-03-29,0.69143
1976-03-30,0.62585104
1976-03-31,0.8308634
1976-04-01,0.7872156
1976-04-02,1.0640929
1976-04-03,0.9892396
1976-04-04,0.6519102
1976-04-05,0.6497942
1976-04-06,0.59774953
1976-04-07,0.5981229
1976-04-08,0.615477
1976-04-09,0.619851
1976-04-10,0.5974002
1976-04-11,0.5954112
1976-04-12,0.5927905
1976-04-13,0.62587446
1976-04-14,0.85188603
1976-04-15,0.77884007
1976-04-16,0.57667965
1976-04-17,0.56962186
1976-04-18,0.563797
1976-04-19,0.6576878
1976-04-20,0.80757105
1976-04-21,0.68624115
1976-04-22,0.5402753
1976-04-23,0.8554675
1976-04-24,0.7647361
1976-04-25,0.5480738
1976-04-26,0.5396667
1976-04-27,0.5429662
1976-04-28,1.9927568
1976-04-29,1.6148158
1976-04-30,0.5096631
1976-05-01,0.6483412
1976-05-02,0.82048917
1976-05-03,0.7365004
1976-05-04,0.6883038
1976-05-05,0.6980717
1976-05-06,0.6033416
1976-05-07,0.53650004
1976-05-08,0.5395026
1976-05-09,0.5418488
1976-05-10,0.54297024
1976-05-11,0.58511794
1976-05-12,0.5788658
1976-05-13,0.9071679
1976-05-14,0.8639921
1976-05-15,0.6077242
1976-05-16,0.824174
1976-05-17,0.73259073
1976-05-18,0.54036564
1976-05-19,0.52067477
1976-05-20,0.5168023
1976-05-21,0.51258117
1976-05-22,0.50778246
1976-05-23,0.50251025
1976-05-24,0.49672583
1976-05-25,0.49040565
1976-05-26,0.4836628
1976-05-27,0.4764832
1976-05-28,0.46885136
1976-05-29,0.46088803
1976-05-30,0.6842728
1976-05-31,0.63041896
1976-06-01,0.60456425
1976-06-02,1.1005493
1976-06-03,1.7350129
1976-06-04,1.1908664
1976-06-05,0.78729564
1976-06-06,0.8735851
1976-06-07,0.7069772
