time,rdis
1992-01-01,0.54604
1992-01-02,1.1487
1992-01-03,1.8464
1992-01-04,1.6335
1992-01-05,1.3621
1992-01-06,1.2358
1992-01-07,1.1884
1992-01-08,1.1445
1992-01-09,1.2224
1992-01-10,1.6716
1992-01-11,1.4299
1992-01-12,1.7934
1992-01-13,1.5552
1992-01-14,1.2884
1992-01-15,1.0523
1992-01-16,1.337
1992-01-17,1.221
1992-01-18,1.0087
1992-01-19,0.86108
1992-01-20,1.0994
1992-01-21,1.0958
1992-01-22,1.1562
1992-01-23,1.0381
1992-01-24,0.88165
1992-01-25,0.77498
1992-01-26,0.70622
1992-01-27,0.75707
1992-01-28,0.70923
1992-01-29,0.66571
1992-01-30,0.81617
1992-01-31,0.87187
1992-02-01,0.80535
1992-02-02,0.74338
1992-02-03,1.0261
1992-02-04,0.99088
1992-02-05,1.0796
1992-02-06,1.2204
1992-02-07,0.97155
1992-02-08,0.80944
1992-02-09,0.71489
1992-02-10,0.70786
1992-02-11,0.76237
1992-02-12,0.70205
1992-02-13,0.64233
1992-02-14,0.69419
1992-02-15,0.88421
1992-02-16,0.86267
1992-02-17,0.74861
1992-02-18,0.65536
1992-02-19,0.59816
1992-02-20,0.56384
1992-02-21,0.6024
1992-02-22,0.56492
1992-02-23,0.52776
1992-02-24,0.50766
1992-02-25,0.4922
1992-02-26,0.47796
1992-02-27,0.46496
1992-02-28,0.45215
1992-02-29,0.43985
1992-03-01,0.42794
1992-03-02,0.4164
1992-03-03,0.48732
1992-03-04,0.46028
1992-03-05,0.78813
1992-03-06,0.85984
1992-03-07,0.87567
1992-03-08,0.75797
1992-03-09,0.62274
1992-03-10,0.65223
1992-03-11,0.56329
1992-03-12,0.59491
1992-03-13,0.52916
1992-03-14,0.4634
1992-03-15,0.43636
1992-03-16,0.41884
1992-03-17,0.40338
1992-03-18,0.38904
1992-03-19,0.37949
1992-03-20,0.41785
1992-03-21,0.58377
1992-03-22,0.54347
1992-03-23,0.72877
1992-03-24,0.76494
1992-03-25,0.8212
1992-03-26,0.68653
1992-03-27,0.54865
1992-03-28,0.68382
1992-03-29,0.66908
1992-03-30,0.57851
1992-03-31,0.89564
1992-04-01,0.81267
1992-04-02,0.6531
1992-04-03,0.5384
1992-04-04,0.46482
1992-04-05,0.43672
1992-04-06,0.42856
1992-04-07,0.41567
1992-04-08,0.73368
1992-04-09,0.95074
1992-04-10,0.86784
1992-04-11,0.70835
1992-04-12,0.55828
1992-04-13,0.45582
1992-04-14,0.41904
1992-04-15,0.39715
1992-04-16,0.37797
1992-04-17,0.3789
1992-04-18,0.36527
1992-04-19,0.37195
1992-04-20,0.42783
1992-04-21,0.58215
1992-04-22,1.1827
1992-04-23,1.448
1992-04-24,1.1235
1992-04-25,0.93976
1992-04-26,0.81903
1992-04-27,0.64541
1992-04-28,0.50897
1992-04-29,0.44595
1992-04-30,0.42085
1992-05-01,0.40605
1992-05-02,0.38831
1992-05-03,0.36951
1992-05-04,0.37761
1992-05-05,0.36994
1992-05-06,0.35458
1992-05-07,0.33891
1992-05-08,0.32867
1992-05-09,0.31981
1992-05-10,0.31191
1992-05-11,0.30429
1992-05-12,0.29621
1992-05-13,0.28767
1992-05-14,0.28089
1992-05-15,0.27961
1992-05-16,0.27435
1992-05-17,0.26719
1992-05-18,0.2598
1992-05-19,0.25262
1992-05-20,0.24974
1992-05-21,0.24499
1992-05-22,0.24301
1992-05-23,0.23659
1992-05-24,0.23403
1992-05-25,0.22686
1992-05-26,0.21897
1992-05-27,0.21124
1992-05-28,0.20399
1992-05-29,0.19767
1992-05-30,0.19179
1992-05-31,0.18591
1992-06-01,0.17978
1992-06-02,0.17367
1992-06-03,0.29684
1992-06-04,0.2109
1992-06-05,0.18328
1992-06-06,0.17366
1992-06-07,0.16752
1992-06-08,0.16208
1992-06-09,0.15688
1992-06-10,0.15138
1992-06-11,0.14547
1992-06-12,0.13919
1992-06-13,0.13369
1992-06-14,0.13002
1992-06-15,0.12731
1992-06-16,0.12486
1992-06-17,0.12251
1992-06-18,0.12021
1992-06-19,0.11797
1992-06-20,0.11579
1992-06-21,0.11365
1992-06-22,0.11156
1992-06-23,0.10953
1992-06-24,0.10754
1992-06-25,0.10559
1992-06-26,0.10369
1992-06-27,0.10184
1992-06-28,0.10003
1992-06-29,0.098257
1992-06-30,0.096528
1992-07-01,0.09484
1992-07-02,0.093191
1992-07-03,0.091581
1992-07-04,0.090008
1992-07-05,0.088471
1992-07-06,0.08697
1992-07-07,0.085504
1992-07-08,0.084072
1992-07-09,0.082673
1992-07-10,0.081307
1992-07-11,0.079972
1992-07-12,0.078668
1992-07-13,0.077394
1992-07-14,0.07615
1992-07-15,0.074935
1992-07-16,0.073747
1992-07-17,0.072587
1992-07-18,0.071454
1992-07-19,0.070347
1992-07-20,0.069265
1992-07-21,0.068209
1992-07-22,0.067176
1992-07-23,0.066168
1992-07-24,0.065183
1992-07-25,0.06422
1992-07-26,0.06328
1992-07-27,0.16449
1992-07-28,0.085023
1992-07-29,0.064477
1992-07-30,0.060431
1992-07-31,0.059157
1992-08-01,0.058284
1992-08-02,0.057478
1992-08-03,0.056696
1992-08-04,0.055932
1992-08-05,0.055186
1992-08-06,0.054457
1992-08-07,0.053745
1992-08-08,0.053048
1992-08-09,0.052368
1992-08-10,0.051703
1992-08-11,0.051053
1992-08-12,0.050418
1992-08-13,0.049798
1992-08-14,0.049191
1992-08-15,0.048598
1992-08-16,0.048019
1992-08-17,0.047452
1992-08-18,0.046899
1992-08-19,0.046358
1992-08-20,0.045829
1992-08-21,0.045312
1992-08-22,0.044806
1992-08-23,0.044312
1992-08-24,0.04383
1992-08-25,0.043358
1992-08-26,0.042896
1992-08-27,0.20059
1992-08-28,0.31982
1992-08-29,0.20533
1992-08-30,0.65591
1992-08-31,0.6412
1992-09-01,0.57367
1992-09-02,0.63253
1992-09-03,0.65714
1992-09-04,2.469
1992-09-05,3.6775
1992-09-06,3.6558
1992-09-07,2.4095
1992-09-08,1.5528
1992-09-09,1.1952
1992-09-10,0.98888
1992-09-11,0.86206
1992-09-12,0.72798
1992-09-13,0.61013
1992-09-14,0.51222
1992-09-15,0.6139
1992-09-16,0.60433
1992-09-17,0.59418
1992-09-18,0.52336
1992-09-19,0.48774
1992-09-20,0.46508
1992-09-21,0.44263
1992-09-22,0.42228
1992-09-23,0.40579
1992-09-24,0.39416
1992-09-25,0.38426
1992-09-26,0.3748
1992-09-27,0.36552
1992-09-28,0.35667
1992-09-29,0.34788
1992-09-30,0.33944
1992-10-01,0.33131
1992-10-02,0.32331
1992-10-03,0.31557
1992-10-04,0.30789
1992-10-05,0.30061
1992-10-06,0.29362
1992-10-07,0.28684
1992-10-08,0.28014
1992-10-09,0.27343
1992-10-10,0.2667
1992-10-11,0.26001
1992-10-12,0.25341
1992-10-13,0.24697
1992-10-14,0.24072
1992-10-15,0.23466
1992-10-16,0.2288
1992-10-17,0.22314
1992-10-18,0.22781
1992-10-19,0.23606
1992-10-20,0.28832
1992-10-21,0.25056
1992-10-22,0.23676
1992-10-23,0.22995
1992-10-24,0.22444
1992-10-25,0.21929
1992-10-26,0.21432
1992-10-27,0.20947
1992-10-28,0.20564
1992-10-29,0.2013
1992-10-30,0.19699
1992-10-31,0.19281
1992-11-01,0.18873
1992-11-02,0.18486
1992-11-03,0.18112
1992-11-04,0.23388
1992-11-05,0.21105
1992-11-06,0.19071
1992-11-07,0.18346
1992-11-08,0.17906
1992-11-09,0.17532
1992-11-10,0.17364
1992-11-11,0.1706
1992-11-12,0.24914
1992-11-13,0.49794
1992-11-14,0.46825
1992-11-15,0.59747
1992-11-16,0.4821
1992-11-17,0.4505
1992-11-18,0.66916
1992-11-19,1.9392
1992-11-20,1.5653
1992-11-21,1.3656
1992-11-22,0.99504
1992-11-23,0.77468
1992-11-24,0.96249
1992-11-25,1.2371
1992-11-26,1.4361
1992-11-27,1.6926
1992-11-28,1.3805
1992-11-29,1.1211
1992-11-30,1.0041
1992-12-01,0.86414
1992-12-02,0.79603
1992-12-03,0.70294
1992-12-04,0.6204
1992-12-05,0.56001
1992-12-06,0.57248
1992-12-07,0.66044
1992-12-08,0.69958
1992-12-09,0.74349
1992-12-10,0.6907
1992-12-11,0.61181
1992-12-12,0.59294
1992-12-13,1.3283
1992-12-14,1.7746
1992-12-15,1.5242
1992-12-16,1.2144
1992-12-17,1.2191
1992-12-18,1.148
1992-12-19,0.99269
1992-12-20,1.0042
1992-12-21,0.8484
1992-12-22,0.73087
1992-12-23,0.65382
1992-12-24,0.60183
1992-12-25,0.56836
1992-12-26,0.54934
1992-12-27,0.59675
1992-12-28,1.1716
1992-12-29,1.743
1992-12-30,2.1376
1992-12-31,2.0292
