time,rdis
1992-01-01,1.5264
1992-01-02,2.5054
1992-01-03,2.1843
1992-01-04,1.7221
1992-01-05,1.4847
1992-01-06,1.7427
1992-01-07,1.5513
1992-01-08,2.0165
1992-01-09,2.4014
1992-01-10,1.992
1992-01-11,1.6177
1992-01-12,2.3214
1992-01-13,1.9869
1992-01-14,2.0
1992-01-15,2.596
1992-01-16,2.6274
1992-01-17,2.1409
1992-01-18,1.7849
1992-01-19,1.6142
1992-01-20,1.5031
1992-01-21,1.7524
1992-01-22,1.6035
1992-01-23,1.4164
1992-01-24,1.2188
1992-01-25,1.1719
1992-01-26,1.5509
1992-01-27,1.4277
1992-01-28,1.2366
1992-01-29,1.561
1992-01-30,1.4213
1992-01-31,1.2007
1992-02-01,1.0715
1992-02-02,2.0107
1992-02-03,1.8062
1992-02-04,1.5242
1992-02-05,1.3387
1992-02-06,1.1532
1992-02-07,1.0193
1992-02-08,1.3822
1992-02-09,1.3015
1992-02-10,1.2838
1992-02-11,1.2758
1992-02-12,1.2345
1992-02-13,1.9026
1992-02-14,1.6516
1992-02-15,1.5657
1992-02-16,1.3399
1992-02-17,1.1285
1992-02-18,0.98665
1992-02-19,0.89705
1992-02-20,0.83095
1992-02-21,0.79514
1992-02-22,0.76966
1992-02-23,0.74872
1992-02-24,0.84163
1992-02-25,0.84456
1992-02-26,0.78314
1992-02-27,0.71634
1992-02-28,0.6849
1992-02-29,0.66229
1992-03-01,0.64114
1992-03-02,0.62094
1992-03-03,0.60123
1992-03-04,0.58376
1992-03-05,0.56931
1992-03-06,0.55592
1992-03-07,0.54307
1992-03-08,0.53074
1992-03-09,0.51869
1992-03-10,0.5067
1992-03-11,0.49729
1992-03-12,0.58276
1992-03-13,0.63301
1992-03-14,1.5148
1992-03-15,1.739
1992-03-16,1.4361
1992-03-17,1.2529
1992-03-18,1.1866
1992-03-19,1.1366
1992-03-20,1.2978
1992-03-21,1.4838
1992-03-22,1.4195
1992-03-23,1.1566
1992-03-24,0.92982
1992-03-25,0.78436
1992-03-26,1.0168
1992-03-27,0.95732
1992-03-28,0.80351
1992-03-29,0.69461
1992-03-30,0.68712
1992-03-31,0.62494
1992-04-01,0.59679
1992-04-02,0.58245
1992-04-03,0.56187
1992-04-04,0.54696
1992-04-05,0.53136
1992-04-06,0.51299
1992-04-07,0.49468
1992-04-08,0.47595
1992-04-09,0.45997
1992-04-10,0.44769
1992-04-11,0.43633
1992-04-12,0.4255
1992-04-13,0.41506
1992-04-14,0.40474
1992-04-15,0.39447
1992-04-16,0.38382
1992-04-17,0.37329
1992-04-18,0.36364
1992-04-19,0.35911
1992-04-20,0.35101
1992-04-21,0.34218
1992-04-22,0.33351
1992-04-23,0.3253
1992-04-24,0.31683
1992-04-25,0.30853
1992-04-26,0.30156
1992-04-27,0.35875
1992-04-28,0.3156
1992-04-29,0.2978
1992-04-30,0.28794
1992-05-01,0.27967
1992-05-02,0.27219
1992-05-03,0.26503
1992-05-04,0.25736
1992-05-05,0.2498
1992-05-06,0.24292
1992-05-07,0.23574
1992-05-08,0.22869
1992-05-09,0.22335
1992-05-10,0.21679
1992-05-11,0.21024
1992-05-12,0.20332
1992-05-13,0.19599
1992-05-14,0.18922
1992-05-15,0.18383
1992-05-16,0.1798
1992-05-17,0.17611
1992-05-18,0.17255
1992-05-19,0.16907
1992-05-20,0.16567
1992-05-21,0.16236
1992-05-22,0.15912
1992-05-23,0.15596
1992-05-24,0.15287
1992-05-25,0.14985
1992-05-26,0.14691
1992-05-27,0.14403
1992-05-28,0.14122
1992-05-29,0.13848
1992-05-30,0.1358
1992-05-31,0.13318
1992-06-01,0.13063
1992-06-02,0.12813
1992-06-03,0.12569
1992-06-04,0.13623
1992-06-05,0.12475
1992-06-06,0.11943
1992-06-07,0.12692
1992-06-08,0.16432
1992-06-09,0.15567
1992-06-10,0.11884
1992-06-11,0.56716
1992-06-12,0.36364
1992-06-13,0.22975
1992-06-14,0.24202
1992-06-15,0.19253
1992-06-16,0.15031
1992-06-17,0.19169
1992-06-18,0.52139
1992-06-19,0.49788
1992-06-20,0.37985
1992-06-21,0.26761
1992-06-22,0.23361
1992-06-23,0.21781
1992-06-24,0.20896
1992-06-25,0.2012
