time,rdis
1989-01-01,0.71885
1989-01-02,1.1859
1989-01-03,1.217
1989-01-04,1.1615
1989-01-05,1.5751
1989-01-06,1.4335
1989-01-07,1.3389
1989-01-08,1.7074
1989-01-09,1.8031
1989-01-10,1.8351
1989-01-11,1.5683
1989-01-12,2.0103
1989-01-13,3.2279
1989-01-14,2.6298
1989-01-15,2.7002
1989-01-16,2.2243
1989-01-17,1.8244
1989-01-18,1.6195
1989-01-19,1.4926
1989-01-20,1.3651
1989-01-21,1.1782
1989-01-22,1.0321
1989-01-23,0.94401
1989-01-24,0.94541
1989-01-25,1.0544
1989-01-26,1.1638
1989-01-27,1.0534
1989-01-28,0.93542
1989-01-29,0.85173
1989-01-30,0.79579
1989-01-31,0.76244
1989-02-01,0.74
1989-02-02,0.7202
1989-02-03,0.70129
1989-02-04,0.68301
1989-02-05,0.66529
1989-02-06,0.64811
1989-02-07,0.63145
1989-02-08,0.6154
1989-02-09,0.61025
1989-02-10,0.64389
1989-02-11,0.89167
1989-02-12,0.98809
1989-02-13,0.90805
1989-02-14,1.1062
1989-02-15,1.1153
1989-02-16,0.99883
1989-02-17,0.84741
1989-02-18,0.73127
1989-02-19,0.68403
1989-02-20,1.0562
1989-02-21,1.3536
1989-02-22,1.9465
1989-02-23,1.8302
1989-02-24,1.4784
1989-02-25,1.28
1989-02-26,1.2071
1989-02-27,1.9104
1989-02-28,2.8484
1989-03-01,2.3911
1989-03-02,2.0381
1989-03-03,1.6325
1989-03-04,1.4304
1989-03-05,1.3361
1989-03-06,1.2328
1989-03-07,1.0466
1989-03-08,0.97013
1989-03-09,1.0547
1989-03-10,1.1381
1989-03-11,0.98401
1989-03-12,0.85492
1989-03-13,0.84363
1989-03-14,1.3359
1989-03-15,1.188
1989-03-16,1.0178
1989-03-17,0.8653
1989-03-18,0.75112
1989-03-19,0.70723
1989-03-20,0.67963
1989-03-21,0.65497
1989-03-22,0.63099
1989-03-23,0.90149
1989-03-24,0.92095
1989-03-25,0.92169
1989-03-26,0.92255
1989-03-27,0.8465
1989-03-28,0.73887
1989-03-29,1.982
1989-03-30,1.6902
1989-03-31,2.052
1989-04-01,1.9127
1989-04-02,1.6
1989-04-03,1.3436
1989-04-04,1.1827
1989-04-05,0.97654
1989-04-06,0.81677
1989-04-07,0.71856
1989-04-08,0.80052
1989-04-09,0.73884
1989-04-10,0.82742
1989-04-11,0.78803
1989-04-12,0.70468
1989-04-13,0.63212
1989-04-14,0.59964
1989-04-15,0.57667
1989-04-16,0.56645
1989-04-17,0.54836
1989-04-18,0.53599
1989-04-19,0.5182
1989-04-20,0.4986
1989-04-21,0.48462
1989-04-22,0.4725
1989-04-23,0.46078
1989-04-24,0.44857
1989-04-25,0.43677
1989-04-26,0.42517
1989-04-27,0.41699
1989-04-28,0.40625
1989-04-29,0.44042
1989-04-30,0.40943
1989-05-01,0.39302
1989-05-02,0.38076
1989-05-03,0.36905
1989-05-04,0.35776
1989-05-05,0.34705
1989-05-06,0.33698
1989-05-07,0.32768
1989-05-08,0.3186
1989-05-09,0.30987
1989-05-10,0.30138
1989-05-11,0.29261
1989-05-12,0.28362
1989-05-13,0.27474
1989-05-14,0.43751
1989-05-15,0.322
1989-05-16,0.28538
1989-05-17,0.27521
1989-05-18,0.26692
1989-05-19,0.25901
1989-05-20,0.25888
1989-05-21,0.25323
1989-05-22,0.24575
1989-05-23,0.23779
1989-05-24,0.23026
1989-05-25,0.22327
1989-05-26,0.21652
1989-05-27,0.20974
1989-05-28,0.20294
1989-05-29,0.19615
1989-05-30,0.18917
1989-05-31,0.18982
1989-06-01,0.19288
1989-06-02,0.18809
1989-06-03,0.18183
1989-06-04,0.29621
1989-06-05,0.21555
1989-06-06,0.18752
1989-06-07,0.17752
1989-06-08,0.1737
1989-06-09,0.16811
1989-06-10,0.16204
1989-06-11,0.15602
1989-06-12,0.14999
1989-06-13,0.14427
1989-06-14,0.13873
1989-06-15,0.1341
1989-06-16,0.13061
1989-06-17,0.14634
1989-06-18,0.16853
1989-06-19,0.14544
1989-06-20,0.14
1989-06-21,0.13497
1989-06-22,0.1296
1989-06-23,0.12421
1989-06-24,0.11884
1989-06-25,0.11356
1989-06-26,0.10928
1989-06-27,0.10632
1989-06-28,0.10418
1989-06-29,0.10227
1989-06-30,0.10044
1989-07-01,0.14348
1989-07-02,0.10972
1989-07-03,0.098442
1989-07-04,0.094211
1989-07-05,0.092088
1989-07-06,0.090424
1989-07-07,0.088864
1989-07-08,0.087349
1989-07-09,0.085871
1989-07-10,0.084427
1989-07-11,0.083017
1989-07-12,0.081639
1989-07-13,0.080293
1989-07-14,0.078979
1989-07-15,0.077694
1989-07-16,0.07644
1989-07-17,0.075214
1989-07-18,0.074017
1989-07-19,0.072848
1989-07-20,0.071706
1989-07-21,0.07059
1989-07-22,0.069499
1989-07-23,0.068434
1989-07-24,0.067394
1989-07-25,0.066377
1989-07-26,0.065384
1989-07-27,0.064414
1989-07-28,0.063465
1989-07-29,0.062539
1989-07-30,0.061634
1989-07-31,0.06075
1989-08-01,0.059886
1989-08-02,0.059042
1989-08-03,0.058218
1989-08-04,0.057412
1989-08-05,0.056624
1989-08-06,0.055855
1989-08-07,0.095019
1989-08-08,0.06477
1989-08-09,0.055507
1989-08-10,0.053286
1989-08-11,0.055423
1989-08-12,0.052273
1989-08-13,0.10929
1989-08-14,0.063239
1989-08-15,0.051817
1989-08-16,0.049521
1989-08-17,0.0487
1989-08-18,0.048088
1989-08-19,0.047514
1989-08-20,0.046956
1989-08-21,0.14653
1989-08-22,0.43253
1989-08-23,0.40452
1989-08-24,0.32882
1989-08-25,0.2309
1989-08-26,0.13341
1989-08-27,0.067766
1989-08-28,0.05187
1989-08-29,0.047243
1989-08-30,0.0451
1989-08-31,0.043799
1989-09-01,0.043191
1989-09-02,0.042717
1989-09-03,0.042269
1989-09-04,0.041833
1989-09-05,0.041408
1989-09-06,0.040992
1989-09-07,0.040585
1989-09-08,0.040187
1989-09-09,0.039798
1989-09-10,0.039417
1989-09-11,0.039045
1989-09-12,0.038682
1989-09-13,0.038326
1989-09-14,0.037978
1989-09-15,0.037638
1989-09-16,0.037305
1989-09-17,0.036979
1989-09-18,0.036661
1989-09-19,0.03635
1989-09-20,0.036045
1989-09-21,0.035747
1989-09-22,0.035456
1989-09-23,0.035171
1989-09-24,0.034892
