time,rdis
2019-01-01,1.3984
2019-01-02,1.2882
2019-01-03,1.0986
2019-01-04,0.93964
2019-01-05,0.83389
2019-01-06,0.80528
2019-01-07,1.2862
2019-01-08,1.2942
2019-01-09,1.1834
2019-01-10,1.0218
2019-01-11,0.88762
2019-01-12,0.79644
2019-01-13,0.73509
2019-01-14,0.79392
2019-01-15,0.74513
2019-01-16,0.69273
2019-01-17,0.65417
2019-01-18,0.6303
2019-01-19,0.61236
2019-01-20,0.59589
2019-01-21,0.58006
2019-01-22,0.56475
2019-01-23,0.54992
2019-01-24,0.53555
2019-01-25,1.1815
2019-01-26,1.3424
2019-01-27,1.7467
2019-01-28,1.5622
2019-01-29,1.3157
2019-01-30,1.1968
2019-01-31,1.0423
2019-02-01,0.87816
2019-02-02,0.76198
2019-02-03,0.68557
2019-02-04,0.63421
2019-02-05,0.60011
2019-02-06,0.58051
2019-02-07,0.79497
2019-02-08,0.89542
2019-02-09,0.79099
2019-02-10,0.68523
2019-02-11,0.61351
2019-02-12,0.56996
2019-02-13,0.54416
2019-02-14,1.0507
2019-02-15,1.0377
2019-02-16,1.0285
2019-02-17,1.3791
2019-02-18,1.1815
2019-02-19,1.0793
2019-02-20,0.89648
2019-02-21,1.3793
2019-02-22,1.2031
2019-02-23,1.3984
2019-02-24,1.4257
2019-02-25,1.2831
2019-02-26,1.1823
2019-02-27,1.6516
2019-02-28,1.3905
2019-03-01,1.4682
2019-03-02,1.8962
2019-03-03,1.5738
2019-03-04,1.7455
2019-03-05,1.5917
2019-03-06,1.682
2019-03-07,1.4528
2019-03-08,1.3322
2019-03-09,1.2986
2019-03-10,1.5002
2019-03-11,2.08
2019-03-12,2.0457
2019-03-13,1.6182
2019-03-14,1.3549
2019-03-15,1.1252
2019-03-16,0.94923
2019-03-17,0.82957
2019-03-18,0.7566
2019-03-19,0.72268
2019-03-20,0.69821
2019-03-21,0.67651
2019-03-22,0.65601
2019-03-23,0.65322
2019-03-24,0.65927
2019-03-25,0.85132
2019-03-26,0.97864
2019-03-27,0.9577
2019-03-28,0.81986
2019-03-29,0.70413
2019-03-30,0.6341
2019-03-31,0.60061
2019-04-01,0.58515
2019-04-02,0.85615
2019-04-03,1.3286
2019-04-04,2.2212
2019-04-05,1.8201
2019-04-06,1.4216
2019-04-07,1.5533
2019-04-08,1.5249
2019-04-09,1.2703
2019-04-10,1.0774
2019-04-11,1.0428
2019-04-12,0.86942
2019-04-13,0.71749
2019-04-14,0.65139
2019-04-15,0.61836
2019-04-16,0.601
2019-04-17,0.59169
2019-04-18,0.57364
2019-04-19,0.55098
2019-04-20,0.53016
2019-04-21,0.51497
2019-04-22,0.50145
2019-04-23,0.48875
2019-04-24,0.47622
2019-04-25,0.46386
2019-04-26,0.45183
2019-04-27,0.4428
2019-04-28,0.43225
2019-04-29,0.4214
2019-04-30,0.41051
2019-05-01,0.39989
2019-05-02,0.40632
2019-05-03,0.39821
2019-05-04,0.39661
2019-05-05,0.38546
2019-05-06,0.37935
2019-05-07,0.37458
2019-05-08,0.37772
2019-05-09,0.44222
2019-05-10,2.9237
2019-05-11,2.8972
2019-05-12,2.0531
2019-05-13,1.5504
2019-05-14,1.3381
2019-05-15,1.1429
2019-05-16,1.0027
2019-05-17,0.96181
2019-05-18,0.84983
2019-05-19,0.71222
2019-05-20,0.61531
2019-05-21,0.54333
2019-05-22,0.50645
2019-05-23,0.49037
2019-05-24,0.47252
2019-05-25,0.45966
2019-05-26,0.44676
2019-05-27,0.44734
2019-05-28,1.8912
2019-05-29,2.4101
2019-05-30,1.7897
2019-05-31,1.2931
2019-06-01,1.0847
2019-06-02,0.93118
2019-06-03,0.7294
2019-06-04,0.5908
2019-06-05,0.54075
2019-06-06,0.5262
2019-06-07,0.50851
2019-06-08,0.4941
2019-06-09,0.57205
2019-06-10,0.52019
2019-06-11,0.6788
2019-06-12,0.6805
2019-06-13,0.61143
2019-06-14,0.50007
2019-06-15,0.47681
2019-06-16,0.44669
2019-06-17,0.42353
2019-06-18,0.40849
2019-06-19,0.39611
2019-06-20,0.38418
2019-06-21,0.37276
2019-06-22,0.365
2019-06-23,0.35369
2019-06-24,0.34063
2019-06-25,0.3269
2019-06-26,0.31453
2019-06-27,0.30287
2019-06-28,0.29227
2019-06-29,0.28349
2019-06-30,0.27681
2019-07-01,0.27079
2019-07-02,0.265
2019-07-03,0.25936
2019-07-04,0.25385
2019-07-05,0.24847
2019-07-06,0.34685
2019-07-07,1.757
2019-07-08,0.70149
2019-07-09,0.36422
2019-07-10,0.29589
2019-07-11,0.27853
2019-07-12,0.26882
2019-07-13,0.25982
2019-07-14,0.25057
2019-07-15,0.24772
2019-07-16,0.24057
2019-07-17,0.23235
2019-07-18,0.22431
2019-07-19,0.2165
2019-07-20,3.1189
2019-07-21,1.3258
2019-07-22,0.69308
2019-07-23,0.47312
2019-07-24,0.37462
2019-07-25,0.34565
2019-07-26,0.33795
2019-07-27,0.40595
2019-07-28,0.35512
2019-07-29,0.32496
2019-07-30,0.31049
2019-07-31,0.31598
2019-08-01,0.48228
2019-08-02,0.6063
2019-08-03,1.4136
2019-08-04,1.098
2019-08-05,0.76257
2019-08-06,0.67229
2019-08-07,0.56574
2019-08-08,0.47216
2019-08-09,0.39366
2019-08-10,0.35383
2019-08-11,0.33694
2019-08-12,0.32568
2019-08-13,0.31715
2019-08-14,0.30794
2019-08-15,0.29873
2019-08-16,0.98155
2019-08-17,4.1078
2019-08-18,3.6399
2019-08-19,2.4232
2019-08-20,1.6674
2019-08-21,1.3162
2019-08-22,1.1073
2019-08-23,0.95849
2019-08-24,0.79305
2019-08-25,0.6233
2019-08-26,0.54079
2019-08-27,0.51048
2019-08-28,0.49312
2019-08-29,0.47785
2019-08-30,0.46396
2019-08-31,0.45073
2019-09-01,0.43819
2019-09-02,0.42598
2019-09-03,0.41391
2019-09-04,0.40247
2019-09-05,0.39144
2019-09-06,0.38078
2019-09-07,0.37041
2019-09-08,0.36036
2019-09-09,0.35119
2019-09-10,0.34585
2019-09-11,0.33738
2019-09-12,0.32825
2019-09-13,0.31963
2019-09-14,0.31219
2019-09-15,0.30533
2019-09-16,0.29872
2019-09-17,0.29228
2019-09-18,0.28599
2019-09-19,0.27985
2019-09-20,0.30986
2019-09-21,0.27988
2019-09-22,0.26618
2019-09-23,0.25838
2019-09-24,0.25183
2019-09-25,0.2461
2019-09-26,0.24082
2019-09-27,0.23658
2019-09-28,0.23121
2019-09-29,0.22604
2019-09-30,0.22122
2019-10-01,0.21659
2019-10-02,0.21208
2019-10-03,0.20768
2019-10-04,0.20529
2019-10-05,0.20098
2019-10-06,0.19625
2019-10-07,0.19158
2019-10-08,0.18728
2019-10-09,0.18337
2019-10-10,0.17963
2019-10-11,0.17599
2019-10-12,0.17243
2019-10-13,0.17364
2019-10-14,0.29268
2019-10-15,0.22651
2019-10-16,0.19086
2019-10-17,0.21072
2019-10-18,0.21666
2019-10-19,0.19125
2019-10-20,0.55047
2019-10-21,0.97743
2019-10-22,0.87823
2019-10-23,0.62322
2019-10-24,0.48259
2019-10-25,0.40109
2019-10-26,0.33772
2019-10-27,0.31324
2019-10-28,0.30042
2019-10-29,0.2885
2019-10-30,0.27696
2019-10-31,0.26683
2019-11-01,0.25782
2019-11-02,0.24954
2019-11-03,0.24144
2019-11-04,0.23287
2019-11-05,0.22571
2019-11-06,0.22035
2019-11-07,0.21548
2019-11-08,0.2259
2019-11-09,0.23582
2019-11-10,0.37829
2019-11-11,0.62716
2019-11-12,0.66986
2019-11-13,0.67894
2019-11-14,0.66836
2019-11-15,1.5277
2019-11-16,1.7081
2019-11-17,1.2973
2019-11-18,1.0344
2019-11-19,0.87506
2019-11-20,0.72158
2019-11-21,0.58616
2019-11-22,0.49363
2019-11-23,1.4939
2019-11-24,3.5817
2019-11-25,2.8649
2019-11-26,2.0334
2019-11-27,1.5812
2019-11-28,1.6357
2019-11-29,1.3786
2019-11-30,1.2149
2019-12-01,1.5485
2019-12-02,1.5244
2019-12-03,1.3832
2019-12-04,1.7096
2019-12-05,1.4426
2019-12-06,1.3079
2019-12-07,1.1511
2019-12-08,0.96533
2019-12-09,0.83089
2019-12-10,0.75203
2019-12-11,0.69079
2019-12-12,0.64708
2019-12-13,0.62578
2019-12-14,0.82761
2019-12-15,1.6817
2019-12-16,1.8964
2019-12-17,1.6135
2019-12-18,1.3877
2019-12-19,2.2173
2019-12-20,2.4671
2019-12-21,1.9873
2019-12-22,1.7608
2019-12-23,2.5857
2019-12-24,2.1799
2019-12-25,2.8748
2019-12-26,2.4326
2019-12-27,1.9908
2019-12-28,1.699
2019-12-29,1.5473
2019-12-30,2.3918
2019-12-31,3.0854
