time,rdis
2089-01-01,1.1557
2089-01-02,1.4816
2089-01-03,2.8234
2089-01-04,2.2869
2089-01-05,2.4032
2089-01-06,5.3
2089-01-07,4.2175
2089-01-08,3.0332
2089-01-09,2.3324
2089-01-10,2.5857
2089-01-11,2.4252
2089-01-12,2.0383
2089-01-13,1.9188
2089-01-14,2.2227
2089-01-15,2.0337
2089-01-16,4.0088
2089-01-17,3.4087
2089-01-18,2.636
2089-01-19,2.1506
2089-01-20,2.1338
2089-01-21,2.1269
2089-01-22,1.9009
2089-01-23,1.7089
2089-01-24,1.5809
2089-01-25,1.4946
2089-01-26,1.4642
2089-01-27,1.3285
2089-01-28,1.4058
2089-01-29,1.5556
2089-01-30,1.3715
2089-01-31,2.1519
2089-02-01,1.8788
2089-02-02,1.8321
2089-02-03,1.585
2089-02-04,1.3541
2089-02-05,1.1822
2089-02-06,1.0657
2089-02-07,0.98682
2089-02-08,0.93371
2089-02-09,0.89959
2089-02-10,0.90537
2089-02-11,1.0122
2089-02-12,1.3498
2089-02-13,1.3203
2089-02-14,1.192
2089-02-15,1.0501
2089-02-16,0.94647
2089-02-17,0.87549
2089-02-18,0.82526
2089-02-19,0.84096
2089-02-20,0.84087
2089-02-21,0.79382
2089-02-22,0.74963
2089-02-23,0.72435
2089-02-24,0.70693
2089-02-25,1.5709
2089-02-26,1.7536
2089-02-27,1.4577
2089-02-28,1.2896
2089-03-01,1.1079
2089-03-02,1.0655
2089-03-03,0.91771
2089-03-04,0.82113
2089-03-05,0.98311
2089-03-06,0.9607
2089-03-07,0.84657
2089-03-08,0.76044
2089-03-09,0.70037
2089-03-10,0.67146
2089-03-11,0.64951
2089-03-12,0.62938
2089-03-13,0.60988
2089-03-14,0.59094
2089-03-15,0.58843
2089-03-16,0.68609
2089-03-17,0.78183
2089-03-18,0.73197
2089-03-19,0.64733
2089-03-20,1.1169
2089-03-21,1.8893
2089-03-22,2.0452
2089-03-23,1.8355
2089-03-24,1.4976
2089-03-25,1.3045
2089-03-26,1.1665
2089-03-27,0.94654
2089-03-28,0.77379
2089-03-29,0.66406
2089-03-30,0.62092
2089-03-31,0.59513
2089-04-01,0.57429
2089-04-02,0.55855
2089-04-03,0.54418
2089-04-04,0.53014
2089-04-05,0.51624
2089-04-06,0.50313
2089-04-07,0.49032
2089-04-08,0.47783
2089-04-09,0.46543
2089-04-10,0.45701
2089-04-11,0.44628
2089-04-12,0.43509
2089-04-13,0.42417
2089-04-14,0.41343
2089-04-15,0.41517
2089-04-16,0.40581
2089-04-17,0.40708
2089-04-18,0.39573
2089-04-19,0.38761
2089-04-20,0.37869
