time,rdis
2082-01-01,0.74666
2082-01-02,0.69778
2082-01-03,0.71032
2082-01-04,0.67679
2082-01-05,0.64623
2082-01-06,0.62549
2082-01-07,0.60704
2082-01-08,0.5895
2082-01-09,0.86992
2082-01-10,0.92845
2082-01-11,1.2765
2082-01-12,1.5209
2082-01-13,1.2778
2082-01-14,1.3309
2082-01-15,1.3637
2082-01-16,1.214
2082-01-17,1.0705
2082-01-18,1.0126
2082-01-19,1.1523
2082-01-20,1.0392
2082-01-21,1.1135
2082-01-22,0.97853
2082-01-23,1.8855
2082-01-24,2.3628
2082-01-25,2.5102
2082-01-26,2.0381
2082-01-27,3.2153
2082-01-28,3.4197
2082-01-29,2.6857
2082-01-30,4.5698
2082-01-31,3.9188
2082-02-01,2.8915
2082-02-02,2.6371
2082-02-03,2.2387
2082-02-04,2.7059
2082-02-05,2.3065
2082-02-06,1.9624
2082-02-07,1.7819
2082-02-08,1.649
2082-02-09,2.203
2082-02-10,2.1415
2082-02-11,2.1221
2082-02-12,1.9416
2082-02-13,1.8804
2082-02-14,1.6605
2082-02-15,1.7066
2082-02-16,1.5834
2082-02-17,1.5253
2082-02-18,1.5304
2082-02-19,1.2909
2082-02-20,1.8353
2082-02-21,2.2583
2082-02-22,1.9197
2082-02-23,1.7161
2082-02-24,1.5496
2082-02-25,1.3611
2082-02-26,1.1778
2082-02-27,1.0472
2082-02-28,0.95744
2082-03-01,0.9171
2082-03-02,0.88853
2082-03-03,0.86483
2082-03-04,0.84552
2082-03-05,0.82065
2082-03-06,0.79441
2082-03-07,0.76884
2082-03-08,0.74568
2082-03-09,0.72904
2082-03-10,0.71209
2082-03-11,0.69507
2082-03-12,0.67814
2082-03-13,0.66153
2082-03-14,0.64544
2082-03-15,0.62983
2082-03-16,0.62117
2082-03-17,0.60773
2082-03-18,0.59351
2082-03-19,0.58057
2082-03-20,0.56682
2082-03-21,0.55306
2082-03-22,0.53954
2082-03-23,0.52639
2082-03-24,0.51383
2082-03-25,0.5016
2082-03-26,0.48932
2082-03-27,0.47722
2082-03-28,0.46614
2082-03-29,0.4548
2082-03-30,0.44835
2082-03-31,0.43859
2082-04-01,0.42817
2082-04-02,0.41772
2082-04-03,2.4738
2082-04-04,1.6405
2082-04-05,1.0955
2082-04-06,0.97798
2082-04-07,0.93724
2082-04-08,0.88286
2082-04-09,0.73594
2082-04-10,0.61379
2082-04-11,0.54555
2082-04-12,0.5183
2082-04-13,0.49949
2082-04-14,0.48298
2082-04-15,0.47015
2082-04-16,0.45807
2082-04-17,0.44592
2082-04-18,0.4339
2082-04-19,0.42213
2082-04-20,0.41074
2082-04-21,0.40005
2082-04-22,0.39139
2082-04-23,0.39281
2082-04-24,0.58345
2082-04-25,0.67363
2082-04-26,1.2979
2082-04-27,1.3412
2082-04-28,1.0914
2082-04-29,0.94538
2082-04-30,0.84992
2082-05-01,0.67512
2082-05-02,0.5118
2082-05-03,0.45766
2082-05-04,0.43772
2082-05-05,0.41985
2082-05-06,0.40714
2082-05-07,0.3957
2082-05-08,0.38461
2082-05-09,0.37428
2082-05-10,0.36427
2082-05-11,0.35454
2082-05-12,0.34513
2082-05-13,0.33588
2082-05-14,0.32672
2082-05-15,0.31791
2082-05-16,0.30907
2082-05-17,0.30012
2082-05-18,0.29137
2082-05-19,0.28304
2082-05-20,0.27498
