time,rdis
2095-01-01,1.4342968
2095-01-02,1.3831253
2095-01-03,1.3514452
2095-01-04,1.3125033
2095-01-05,1.2660769
2095-01-06,1.2439792
2095-01-07,1.2215897
2095-01-08,1.1989931
2095-01-09,1.176284
2095-01-10,1.1535488
2095-01-11,1.1308733
2095-01-12,1.1171997
2095-01-13,1.1708729
2095-01-14,1.3415624
2095-01-15,1.6082696
2095-01-16,1.9309132
2095-01-17,1.6312515
2095-01-18,1.6336412
2095-01-19,1.8297627
2095-01-20,1.3454041
2095-01-21,1.2856724
2095-01-22,1.290421
2095-01-23,1.2378556
2095-01-24,1.2887853
2095-01-25,1.1522827
2095-01-26,1.2401483
2095-01-27,1.179859
2095-01-28,1.2989441
2095-01-29,1.2371548
2095-01-30,1.1118668
2095-01-31,1.334395
2095-02-01,1.3670083
2095-02-02,1.4977722
2095-02-03,1.3040221
2095-02-04,1.404346
2095-02-05,1.3074945
2095-02-06,1.1408203
2095-02-07,1.8100034
2095-02-08,1.5987277
2095-02-09,1.1663307
2095-02-10,1.1354656
2095-02-11,1.2537742
2095-02-12,1.4742243
2095-02-13,1.6690118
2095-02-14,1.471059
2095-02-15,1.2751215
2095-02-16,1.2307874
2095-02-17,1.2098832
2095-02-18,1.1809188
2095-02-19,1.159861
2095-02-20,1.358641
2095-02-21,1.3853493
2095-02-22,1.2911041
2095-02-23,1.1522455
2095-02-24,1.1409615
2095-02-25,1.134174
2095-02-26,1.1262519
2095-02-27,1.1216581
2095-02-28,1.1129013
2095-03-01,1.100146
2095-03-02,1.0847571
2095-03-03,1.0693029
2095-03-04,1.0583773
2095-03-05,1.3447672
2095-03-06,1.2890145
2095-03-07,1.0557661
2095-03-08,0.99568033
2095-03-09,0.98108476
2095-03-10,0.9665035
2095-03-11,1.123027
2095-03-12,1.2087523
2095-03-13,1.023236
2095-03-14,0.9102892
2095-03-15,0.8971835
2095-03-16,0.8843714
2095-03-17,0.87323564
2095-03-18,0.85934794
2095-03-19,0.84674335
2095-03-20,0.83427185
2095-03-21,0.8217897
2095-03-22,0.8093096
2095-03-23,0.82161474
2095-03-24,0.7997444
2095-03-25,0.77193516
2095-03-26,0.9119824
2095-03-27,0.84742683
2095-03-28,0.74120843
2095-03-29,0.7238155
2095-03-30,1.196066
2095-03-31,0.9927166
2095-04-01,0.68763053
2095-04-02,0.6767669
2095-04-03,0.6667088
2095-04-04,0.66471547
2095-04-05,0.6522285
2095-04-06,0.7897672
2095-04-07,0.8179048
