time,rdis
1978-01-01,0.079079
1978-01-02,0.067583
1978-01-03,0.058439
1978-01-04,0.051151
1978-01-05,0.041468
1978-01-06,0.032919
1978-01-07,0.025269
1978-01-08,0.017846
1978-01-09,0.013418
1978-01-10,0.011711
1978-01-11,0.012581
1978-01-12,0.013239
1978-01-13,0.01425
1978-01-14,0.012291
1978-01-15,0.016103
1978-01-16,0.019447
1978-01-17,0.10219
1978-01-18,1.5862
1978-01-19,0.70045
1978-01-20,0.56833
1978-01-21,0.45197
1978-01-22,0.39594
1978-01-23,0.35953
1978-01-24,0.37493
1978-01-25,0.35745
1978-01-26,0.32883
1978-01-27,0.30287
1978-01-28,0.33636
1978-01-29,0.32675
1978-01-30,0.48137
1978-01-31,1.1615
1978-02-01,0.94232
1978-02-02,0.66708
1978-02-03,0.55934
1978-02-04,0.53962
1978-02-05,0.49648
1978-02-06,0.45314
1978-02-07,0.4665
1978-02-08,0.43354
1978-02-09,0.39486
1978-02-10,0.3585
1978-02-11,0.32554
1978-02-12,0.29588
1978-02-13,0.31464
1978-02-14,1.438
1978-02-15,0.8504
1978-02-16,0.57017
1978-02-17,0.47022
1978-02-18,0.41981
1978-02-19,0.38073
1978-02-20,0.346
1978-02-21,0.31369
1978-02-22,0.28553
1978-02-23,0.25645
1978-02-24,0.23067
1978-02-25,0.20784
1978-02-26,0.18715
1978-02-27,0.16798
1978-02-28,0.15027
1978-03-01,0.13443
1978-03-02,0.12038
1978-03-03,0.1087
1978-03-04,0.094925
1978-03-05,0.082215
1978-03-06,0.070276
1978-03-07,0.058956
1978-03-08,0.048001
1978-03-09,0.046202
1978-03-10,0.040949
1978-03-11,0.03892
1978-03-12,0.040974
1978-03-13,0.046006
1978-03-14,0.038723
1978-03-15,0.036861
1978-03-16,0.67697
1978-03-17,0.33647
1978-03-18,0.25235
1978-03-19,0.19658
1978-03-20,0.15983
1978-03-21,0.1347
1978-03-22,0.1129
1978-03-23,0.092511
1978-03-24,0.073724
1978-03-25,0.056607
1978-03-26,0.036992
1978-03-27,0.027696
1978-03-28,0.024645
1978-03-29,0.02352
1978-03-30,0.022802
1978-03-31,0.02207
1978-04-01,0.021824
1978-04-02,0.021073
1978-04-03,0.020099
1978-04-04,0.019711
1978-04-05,0.01922
1978-04-06,0.018473
1978-04-07,0.017893
1978-04-08,0.017653
1978-04-09,0.017152
1978-04-10,0.016463
1978-04-11,0.015965
1978-04-12,0.017477
1978-04-13,0.015668
1978-04-14,0.014808
1978-04-15,0.014162
1978-04-16,0.013567
1978-04-17,0.013571
1978-04-18,0.012777
1978-04-19,0.012194
1978-04-20,0.012141
1978-04-21,0.01142
1978-04-22,0.010762
1978-04-23,0.010343
1978-04-24,0.0099545
1978-04-25,0.0093861
1978-04-26,0.0087825
1978-04-27,0.0082869
1978-04-28,0.036124
1978-04-29,0.021959
1978-04-30,0.011611
1978-05-01,0.0081317
1978-05-02,0.0083067
1978-05-03,0.0070879
1978-05-04,0.01416
1978-05-05,0.0085682
1978-05-06,0.011883
1978-05-07,0.0070838
1978-05-08,0.0056584
1978-05-09,0.0051121
1978-05-10,0.0051786
1978-05-11,0.46296
1978-05-12,0.23196
1978-05-13,0.09222
1978-05-14,0.042507
1978-05-15,0.019641
1978-05-16,0.0077632
1978-05-17,0.0037431
1978-05-18,0.0023595
1978-05-19,0.0015653
1978-05-20,0.0014199
1978-05-21,0.0016557
1978-05-22,0.0014088
1978-05-23,0.0011755
1978-05-24,0.0010564
1978-05-25,0.00116
1978-05-26,0.00086727
1978-05-27,0.00044285
1978-05-28,4.195e-05
1978-05-29,3.641e-06
1978-05-30,3.161e-07
1978-05-31,2.7094e-08
1978-06-01,2.5804e-09
1978-06-02,0.0
1978-06-03,0.0
1978-06-04,0.0
1978-06-05,0.0
1978-06-06,0.0
1978-06-07,0.0
1978-06-08,0.0
1978-06-09,0.0
1978-06-10,0.0
1978-06-11,0.0
1978-06-12,0.0
1978-06-13,0.0
1978-06-14,0.0
1978-06-15,0.0
1978-06-16,0.0
1978-06-17,0.0
1978-06-18,0.0
1978-06-19,0.0
1978-06-20,0.0
1978-06-21,0.0
1978-06-22,0.0
1978-06-23,0.0
1978-06-24,0.0
1978-06-25,0.0
1978-06-26,0.0
1978-06-27,0.0
1978-06-28,0.0
1978-06-29,0.0
1978-06-30,0.0
1978-07-01,0.0
1978-07-02,0.0
1978-07-03,0.0
1978-07-04,0.0
1978-07-05,0.0
1978-07-06,0.0
1978-07-07,0.0
1978-07-08,0.0
1978-07-09,0.0
1978-07-10,0.0
1978-07-11,0.0
1978-07-12,0.0
1978-07-13,0.0
1978-07-14,0.0
1978-07-15,0.0
1978-07-16,0.0
1978-07-17,0.0
1978-07-18,0.0
1978-07-19,0.0
1978-07-20,0.0
1978-07-21,0.0
1978-07-22,0.0
1978-07-23,0.0
1978-07-24,0.0
1978-07-25,0.0
1978-07-26,0.0
1978-07-27,0.0
1978-07-28,0.0
1978-07-29,0.0
1978-07-30,0.0
1978-07-31,0.0
1978-08-01,0.0
1978-08-02,0.0
1978-08-03,0.0
1978-08-04,0.0
1978-08-05,0.0
1978-08-06,0.0
1978-08-07,0.0
1978-08-08,0.0
1978-08-09,0.0
1978-08-10,0.0
1978-08-11,0.0
1978-08-12,0.0
1978-08-13,0.0
1978-08-14,0.0
1978-08-15,0.0
1978-08-16,0.0
1978-08-17,0.0
1978-08-18,0.0
1978-08-19,0.0
1978-08-20,0.0
1978-08-21,0.0
1978-08-22,0.0
1978-08-23,0.0
1978-08-24,0.0
1978-08-25,0.0
1978-08-26,0.0
1978-08-27,0.0
1978-08-28,0.0
1978-08-29,0.0
1978-08-30,0.0
1978-08-31,0.0
1978-09-01,0.0
1978-09-02,0.0
1978-09-03,0.0
1978-09-04,0.0
1978-09-05,0.0
1978-09-06,0.0
1978-09-07,0.0
1978-09-08,0.0
1978-09-09,0.0
1978-09-10,0.0
1978-09-11,0.0
1978-09-12,0.0
1978-09-13,0.0
1978-09-14,0.0
1978-09-15,0.0
1978-09-16,0.0
1978-09-17,0.0
1978-09-18,0.0
1978-09-19,0.0
1978-09-20,0.0
1978-09-21,0.0
1978-09-22,0.0
1978-09-23,0.0
1978-09-24,0.0
1978-09-25,0.0
1978-09-26,0.0
1978-09-27,0.0
1978-09-28,0.0
1978-09-29,0.0
1978-09-30,0.0
1978-10-01,0.0
1978-10-02,0.0
1978-10-03,0.0
1978-10-04,0.0
1978-10-05,0.0
1978-10-06,0.0
1978-10-07,0.0
1978-10-08,0.0
1978-10-09,0.0
1978-10-10,0.0
1978-10-11,0.0
1978-10-12,0.0
1978-10-13,0.0
1978-10-14,0.0
1978-10-15,0.0
1978-10-16,0.0
1978-10-17,0.0
1978-10-18,0.0
1978-10-19,0.0
1978-10-20,0.0
1978-10-21,0.0
1978-10-22,0.0
1978-10-23,0.0
1978-10-24,0.0
1978-10-25,0.0
1978-10-26,0.0
1978-10-27,0.0
1978-10-28,0.0
1978-10-29,0.0
1978-10-30,0.0
1978-10-31,0.0
1978-11-01,0.0
1978-11-02,0.0
1978-11-03,0.0
1978-11-04,0.0
1978-11-05,0.0
1978-11-06,0.0
1978-11-07,0.0
1978-11-08,0.0
1978-11-09,0.0
1978-11-10,0.0
1978-11-11,0.0
1978-11-12,0.0
1978-11-13,0.0
1978-11-14,0.0
1978-11-15,0.0
1978-11-16,0.0
1978-11-17,0.0
1978-11-18,0.0
1978-11-19,0.0
1978-11-20,0.0
1978-11-21,0.0
1978-11-22,0.0
1978-11-23,0.0
1978-11-24,0.0
1978-11-25,0.0
1978-11-26,0.0
1978-11-27,0.0
1978-11-28,0.0
1978-11-29,0.0
1978-11-30,0.0
1978-12-01,0.0
1978-12-02,0.0
1978-12-03,0.0
1978-12-04,0.0
1978-12-05,0.0
1978-12-06,7.0547
1978-12-07,2.0366
1978-12-08,0.54275
1978-12-09,0.15193
1978-12-10,0.065668
1978-12-11,0.037581
1978-12-12,0.026326
1978-12-13,0.019447
1978-12-14,0.017373
1978-12-15,0.016939
1978-12-16,0.016009
1978-12-17,0.015353
1978-12-18,0.014826
1978-12-19,0.014348
1978-12-20,0.013613
1978-12-21,0.012993
1978-12-22,0.012472
1978-12-23,0.012081
1978-12-24,0.011749
1978-12-25,0.011416
1978-12-26,0.073657
1978-12-27,0.082476
1978-12-28,0.037778
1978-12-29,0.077331
1978-12-30,0.043487
1978-12-31,0.026925
