time,rdis
1997-01-01,0.23833
1997-01-02,0.29412
1997-01-03,0.3068
1997-01-04,0.32227
1997-01-05,0.35749
1997-01-06,0.33838
1997-01-07,0.31025
1997-01-08,0.28349
1997-01-09,0.2591
1997-01-10,0.23674
1997-01-11,0.21617
1997-01-12,0.19707
1997-01-13,0.17939
1997-01-14,0.16326
1997-01-15,0.14871
1997-01-16,0.13448
1997-01-17,0.12165
1997-01-18,0.10991
1997-01-19,0.099302
1997-01-20,0.089689
1997-01-21,0.084176
1997-01-22,0.074592
1997-01-23,0.063115
1997-01-24,0.053964
1997-01-25,0.042086
1997-01-26,0.035997
1997-01-27,0.033891
1997-01-28,0.032856
1997-01-29,0.032474
1997-01-30,0.03154
1997-01-31,0.030404
1997-02-01,0.030156
1997-02-02,0.030759
1997-02-03,0.029491
1997-02-04,0.028739
1997-02-05,0.027537
1997-02-06,0.026919
1997-02-07,0.026534
1997-02-08,0.027638
1997-02-09,0.025414
1997-02-10,0.024267
1997-02-11,0.023422
1997-02-12,0.023094
1997-02-13,0.022472
1997-02-14,0.022132
1997-02-15,0.021337
1997-02-16,0.022353
1997-02-17,0.023901
1997-02-18,0.021353
1997-02-19,0.020458
1997-02-20,0.019491
1997-02-21,0.024305
1997-02-22,0.021066
1997-02-23,0.017827
1997-02-24,0.016843
1997-02-25,0.015899
1997-02-26,0.023561
1997-02-27,0.019013
1997-02-28,0.016228
1997-03-01,0.015176
1997-03-02,0.014773
1997-03-03,0.014262
1997-03-04,0.013862
1997-03-05,0.013368
1997-03-06,1.9421
1997-03-07,0.7213
1997-03-08,0.27237
1997-03-09,0.13991
1997-03-10,0.083797
1997-03-11,0.052816
1997-03-12,0.034549
1997-03-13,0.019601
1997-03-14,0.01226
1997-03-15,0.0094496
1997-03-16,0.0088609
1997-03-17,0.0083139
1997-03-18,0.0099348
1997-03-19,0.008807
1997-03-20,0.0082591
1997-03-21,0.0081208
1997-03-22,0.0077925
1997-03-23,0.0077238
1997-03-24,0.007308
1997-03-25,0.0067208
1997-03-26,0.0062237
1997-03-27,0.0056666
1997-03-28,0.0048878
1997-03-29,0.0047445
1997-03-30,0.004597
1997-03-31,0.004534
1997-04-01,0.004179
1997-04-02,0.0039998
1997-04-03,0.0037941
1997-04-04,0.0037055
1997-04-05,0.0035885
1997-04-06,0.0032396
1997-04-07,0.0027567
1997-04-08,0.0023356
1997-04-09,0.002329
1997-04-10,0.0021224
1997-04-11,0.0021627
1997-04-12,0.0022401
1997-04-13,0.0014672
1997-04-14,0.00086944
1997-04-15,0.00073421
1997-04-16,0.00066419
1997-04-17,0.00063986
1997-04-18,0.00063994
1997-04-19,0.00058759
1997-04-20,0.00010186
1997-04-21,0.014112
1997-04-22,0.0063665
1997-04-23,0.0026612
1997-04-24,0.0012517
1997-04-25,0.00068365
1997-04-26,0.00041554
1997-04-27,0.00013947
1997-04-28,1.308e-05
1997-04-29,1.1354e-06
1997-04-30,9.8056e-08
1997-05-01,9.0315e-09
1997-05-02,1.2902e-09
1997-05-03,0.0
1997-05-04,0.0
1997-05-05,0.0
1997-05-06,0.0
1997-05-07,0.0
1997-05-08,0.0
1997-05-09,0.0
1997-05-10,0.0
1997-05-11,0.0
1997-05-12,0.0
1997-05-13,0.0
1997-05-14,0.0
1997-05-15,0.0
1997-05-16,0.0
1997-05-17,0.0
1997-05-18,0.0
1997-05-19,0.0
1997-05-20,0.0
1997-05-21,0.0
1997-05-22,0.0
1997-05-23,0.0
1997-05-24,0.0
1997-05-25,0.0
1997-05-26,0.0
1997-05-27,0.0
1997-05-28,0.0
1997-05-29,0.0
1997-05-30,0.0
1997-05-31,0.0
1997-06-01,0.0
1997-06-02,0.0
1997-06-03,0.0
1997-06-04,0.0
1997-06-05,0.0
1997-06-06,0.0
1997-06-07,0.0
1997-06-08,0.0
1997-06-09,0.0
1997-06-10,0.0
1997-06-11,0.0
1997-06-12,0.0
1997-06-13,0.0
1997-06-14,0.0
1997-06-15,0.0
1997-06-16,0.0
1997-06-17,0.0
1997-06-18,0.0
1997-06-19,0.0
1997-06-20,0.0
1997-06-21,0.0
1997-06-22,0.0
1997-06-23,0.0
1997-06-24,0.0
1997-06-25,0.0
1997-06-26,0.0
1997-06-27,0.0
