time,rdis
1992-01-01,0.17086999
1992-01-02,0.1618185
1992-01-03,0.17996494
1992-01-04,0.19448802
1992-01-05,0.20620053
1992-01-06,0.21522538
1992-01-07,0.22197622
1992-01-08,0.22682011
1992-01-09,0.23003545
1992-01-10,0.39128157
1992-01-11,0.4122586
1992-01-12,0.2878587
1992-01-13,0.23624659
1992-01-14,0.23250626
1992-01-15,0.23163237
1992-01-16,0.42555037
1992-01-17,0.24405393
1992-01-18,0.5460109
1992-01-19,1.3728734
1992-01-20,0.538009
1992-01-21,0.28128573
1992-01-22,0.65048224
1992-01-23,1.349917
1992-01-24,2.2292387
1992-01-25,0.4463363
1992-01-26,0.43755007
1992-01-27,0.5303124
1992-01-28,0.6907921
1992-01-29,1.3015094
1992-01-30,0.9858897
1992-01-31,0.69168484
1992-02-01,0.55600977
1992-02-02,1.3039342
1992-02-03,1.733307
1992-02-04,1.4955947
1992-02-05,1.7889118
1992-02-06,1.272809
1992-02-07,0.8931501
1992-02-08,1.1216482
1992-02-09,0.92257214
1992-02-10,0.9298297
1992-02-11,1.6556236
1992-02-12,1.0693865
1992-02-13,0.9616873
1992-02-14,1.6828187
1992-02-15,0.98972726
1992-02-16,0.9950401
1992-02-17,0.916908
1992-02-18,0.8956268
1992-02-19,0.883187
1992-02-20,1.0029716
1992-02-21,0.8395659
1992-02-22,1.5392524
1992-02-23,1.0433388
1992-02-24,0.77331614
1992-02-25,0.73900783
1992-02-26,0.72127175
1992-02-27,0.7027796
1992-02-28,0.6836999
1992-02-29,0.6640339
1992-03-01,0.64393026
1992-03-02,0.62346905
1992-03-03,0.6029017
1992-03-04,0.5824643
1992-03-05,0.5624143
1992-03-06,0.54287213
1992-03-07,0.52391255
1992-03-08,0.5056007
1992-03-09,0.48802602
1992-03-10,0.47122997
1992-03-11,0.4552226
1992-03-12,0.4399555
1992-03-13,0.42533374
1992-03-14,0.4113313
1992-03-15,0.39797047
1992-03-16,0.3852879
1992-03-17,0.37325364
1992-03-18,0.396066
1992-03-19,0.35364422
1992-03-20,0.34081036
1992-03-21,0.33113003
1992-03-22,0.38712466
1992-03-23,0.32367447
1992-03-24,0.3048724
1992-03-25,0.29629302
1992-03-26,0.288444
1992-03-27,0.28086883
1992-03-28,0.273553
1992-03-29,0.26648748
1992-03-30,0.25965098
1992-03-31,0.25305185
1992-04-01,0.24671589
1992-04-02,0.24067938
1992-04-03,0.23494509
1992-04-04,0.22948618
1992-04-05,0.22427754
1992-04-06,0.2192586
1992-04-07,0.21444085
1992-04-08,0.20984034
1992-04-09,0.20537312
1992-04-10,0.20100625
1992-04-11,0.19670072
1992-04-12,0.19249007
1992-04-13,0.26957765
1992-04-14,0.19076423
1992-04-15,0.18071525
1992-04-16,0.17707762
1992-04-17,0.17353581
1992-04-18,0.1700807
1992-04-19,0.16670866
1992-04-20,0.16346169
1992-04-21,0.16029312
1992-04-22,0.15719369
1992-04-23,0.15416247
1992-04-24,0.1512012
1992-04-25,0.14830363
1992-04-26,0.14547895
1992-04-27,0.14273699
1992-04-28,0.1400688
1992-04-29,0.13746828
1992-04-30,0.13492227
1992-05-01,0.13242069
1992-05-02,0.13002536
1992-05-03,0.32062593
1992-05-04,0.23977493
1992-05-05,0.13128142
1992-05-06,0.12160606
1992-05-07,0.11964232
1992-05-08,0.11766514
1992-05-09,0.5165695
1992-05-10,0.14505622
1992-05-11,0.23348147
1992-05-12,0.24367166
1992-05-13,0.118150115
1992-05-14,0.10681879
1992-05-15,0.105092466
1992-05-16,0.1033325
1992-05-17,0.10162399
1992-05-18,0.09998337
1992-05-19,0.09840049
1992-05-20,0.09686611
1992-05-21,0.09536152
1992-05-22,0.09385826
1992-05-23,0.09236027
1992-05-24,0.09084345
1992-05-25,0.089342214
1992-05-26,0.08910062
1992-05-27,0.2534545
1992-05-28,0.31369862
1992-05-29,0.10072816
1992-05-30,0.08272799
1992-05-31,0.081407726
1992-06-01,0.080079354
1992-06-02,0.07881505
1992-06-03,0.07761667
1992-06-04,0.0764772
1992-06-05,0.07537403
1992-06-06,0.074271776
1992-06-07,0.07315227
1992-06-08,0.07204027
1992-06-09,0.07096997
1992-06-10,0.06994157
1992-06-11,0.06894118
1992-06-12,0.067957304
1992-06-13,0.066974044
1992-06-14,0.14352547
1992-06-15,0.07113572
1992-06-16,0.06425761
1992-06-17,0.063380994
1992-06-18,0.06251999
1992-06-19,0.06169115
1992-06-20,0.06087904
1992-06-21,0.060077537
1992-06-22,0.059276897
1992-06-23,0.11109663
1992-06-24,0.0617679
1992-06-25,0.05693115
1992-06-26,0.056189608
1992-06-27,0.055464882
1992-06-28,0.05475927
1992-06-29,0.05407204
1992-06-30,0.05339767
1992-07-01,0.05273182
1992-07-02,0.052073147
1992-07-03,0.05141341
1992-07-04,0.05077215
1992-07-05,0.0501435
1992-07-06,0.049526982
1992-07-07,0.04892639
1992-07-08,0.048338138
1992-07-09,0.04775344
1992-07-10,0.047165122
1992-07-11,0.046589058
1992-07-12,0.046024818
1992-07-13,0.045466755
1992-07-14,0.044915915
1992-07-15,0.044367883
1992-07-16,0.043831673
1992-07-17,0.04330401
1992-07-18,0.042784993
1992-07-19,0.042267844
1992-07-20,0.04175154
1992-07-21,0.041249324
1992-07-22,0.040766228
1992-07-23,0.04030157
1992-07-24,0.039846208
1992-07-25,0.039395202
1992-07-26,0.038952246
1992-07-27,0.038518317
1992-07-28,0.038091395
1992-07-29,0.03766437
1992-07-30,0.03722792
1992-07-31,0.036782853
1992-08-01,0.036356468
1992-08-02,0.035955835
1992-08-03,0.035577998
1992-08-04,0.03521912
1992-08-05,0.034876067
1992-08-06,0.03454829
1992-08-07,0.034229405
1992-08-08,0.03391674
1992-08-09,0.03360942
1992-08-10,0.03330756
1992-08-11,0.033012725
1992-08-12,0.032725487
1992-08-13,0.03244365
1992-08-14,0.03216616
1992-08-15,0.031891704
1992-08-16,0.03162069
1992-08-17,0.031352002
1992-08-18,0.031085653
1992-08-19,0.030821878
1992-08-20,0.030559678
1992-08-21,0.030296562
1992-08-22,0.030029578
1992-08-23,0.029750682
1992-08-24,0.032144822
1992-08-25,0.029383436
1992-08-26,0.028885499
1992-08-27,0.028598782
1992-08-28,0.028317843
1992-08-29,0.028047737
1992-08-30,0.027787019
1992-08-31,0.027535455
1992-09-01,0.027292628
1992-09-02,0.02705896
1992-09-03,0.026834078
1992-09-04,0.026617741
1992-09-05,0.026408402
1992-09-06,0.026204603
1992-09-07,0.026005317
1992-09-08,0.025810715
1992-09-09,0.02562173
