time,rdis
1993-01-01,0.00064038
1993-01-02,0.0024473
1993-01-03,0.0014276
1993-01-04,0.0012421
1993-01-05,0.00070635
1993-01-06,0.0012475
1993-01-07,0.086142
1993-01-08,0.066957
1993-01-09,0.031671
1993-01-10,0.014351
1993-01-11,0.0061525
1993-01-12,0.002856
1993-01-13,1.4839
1993-01-14,0.69403
1993-01-15,0.30566
1993-01-16,0.17578
1993-01-17,0.11712
1993-01-18,0.083349
1993-01-19,0.063641
1993-01-20,0.051374
1993-01-21,0.041397
1993-01-22,0.032369
1993-01-23,0.025073
1993-01-24,2.2749
1993-01-25,1.3838
1993-01-26,0.71051
1993-01-27,0.43088
1993-01-28,0.32925
1993-01-29,0.28028
1993-01-30,0.24916
1993-01-31,0.22544
1993-02-01,0.20346
1993-02-02,0.18288
1993-02-03,0.68092
1993-02-04,1.4055
1993-02-05,1.9967
1993-02-06,2.2947
1993-02-07,1.6688
1993-02-08,2.4576
1993-02-09,1.6512
1993-02-10,1.2156
1993-02-11,1.0889
1993-02-12,1.1145
1993-02-13,0.91538
1993-02-14,0.81029
1993-02-15,0.73916
1993-02-16,0.70208
1993-02-17,0.64762
1993-02-18,0.65468
1993-02-19,0.6294
1993-02-20,1.3522
1993-02-21,0.99047
1993-02-22,0.75369
1993-02-23,0.65494
1993-02-24,0.6327
1993-02-25,0.58421
1993-02-26,0.53534
1993-02-27,0.49156
1993-02-28,0.45166
1993-03-01,0.41454
1993-03-02,0.38207
1993-03-03,0.34671
1993-03-04,0.34911
1993-03-05,0.32138
1993-03-06,0.29244
1993-03-07,0.26536
1993-03-08,0.23992
1993-03-09,0.22146
1993-03-10,0.1979
1993-03-11,0.21038
1993-03-12,0.19688
1993-03-13,0.18067
1993-03-14,0.16459
1993-03-15,0.14891
1993-03-16,0.17797
1993-03-17,0.16766
1993-03-18,0.15057
1993-03-19,0.13305
1993-03-20,0.11683
1993-03-21,0.10172
1993-03-22,0.087475
1993-03-23,0.070987
1993-03-24,0.063099
1993-03-25,0.05995
1993-03-26,0.067777
1993-03-27,0.05919
1993-03-28,0.056126
1993-03-29,0.055535
1993-03-30,0.054577
1993-03-31,0.053087
1993-04-01,0.053096
1993-04-02,0.050141
1993-04-03,0.048987
1993-04-04,0.047338
1993-04-05,0.047914
1993-04-06,0.046415
1993-04-07,0.046008
1993-04-08,0.043491
1993-04-09,0.042165
1993-04-10,0.042496
1993-04-11,0.039212
1993-04-12,0.037818
1993-04-13,0.036337
1993-04-14,0.034834
1993-04-15,0.034442
1993-04-16,0.033685
1993-04-17,0.032908
1993-04-18,0.031863
1993-04-19,0.030775
1993-04-20,0.029739
1993-04-21,0.028184
1993-04-22,0.028506
1993-04-23,0.027668
1993-04-24,0.026302
1993-04-25,0.031289
1993-04-26,0.026079
1993-04-27,0.024628
1993-04-28,0.023691
1993-04-29,0.022919
1993-04-30,0.022054
1993-05-01,0.021859
1993-05-02,0.021429
1993-05-03,0.020746
1993-05-04,0.019967
1993-05-05,0.019173
1993-05-06,0.028923
1993-05-07,0.022186
1993-05-08,0.017857
1993-05-09,0.017101
1993-05-10,0.016535
1993-05-11,0.015736
1993-05-12,0.015181
1993-05-13,0.014799
1993-05-14,0.01435
1993-05-15,0.013791
1993-05-16,0.013252
1993-05-17,0.01322
1993-05-18,0.014967
1993-05-19,0.014216
1993-05-20,0.012409
1993-05-21,0.013523
1993-05-22,0.011704
1993-05-23,0.010298
1993-05-24,0.0094153
1993-05-25,0.0092041
1993-05-26,0.0089409
1993-05-27,0.008196
1993-05-28,0.007994
1993-05-29,0.0073857
1993-05-30,0.0075525
1993-05-31,0.0074757
1993-06-01,0.0070101
1993-06-02,0.0066087
1993-06-03,0.006515
1993-06-04,0.0062665
1993-06-05,0.0056204
1993-06-06,0.0048507
1993-06-07,0.0042391
1993-06-08,0.0039649
1993-06-09,0.0041977
1993-06-10,0.0038634
1993-06-11,0.0036996
1993-06-12,0.0036587
1993-06-13,0.0035691
1993-06-14,0.0032871
1993-06-15,0.0029516
1993-06-16,0.0026924
1993-06-17,0.0021682
1993-06-18,0.0018401
1993-06-19,0.0012043
1993-06-20,0.00098461
1993-06-21,0.0008746
1993-06-22,0.00079381
1993-06-23,0.00059659
1993-06-24,0.00016734
1993-06-25,1.5601e-05
1993-06-26,1.3547e-06
1993-06-27,1.1741e-07
1993-06-28,1.0322e-08
1993-06-29,1.2902e-09
1993-06-30,0.0
1993-07-01,0.0
1993-07-02,0.0
1993-07-03,0.0
1993-07-04,0.0
1993-07-05,0.0
1993-07-06,0.0
1993-07-07,0.0
1993-07-08,0.0
1993-07-09,0.0
1993-07-10,0.0
1993-07-11,0.0
1993-07-12,0.0
1993-07-13,0.0
1993-07-14,0.0
1993-07-15,0.0
1993-07-16,0.0
1993-07-17,0.0
1993-07-18,0.0
1993-07-19,0.0
1993-07-20,0.0
1993-07-21,0.0
1993-07-22,0.0
1993-07-23,0.0
1993-07-24,0.0
1993-07-25,0.0
1993-07-26,0.0
1993-07-27,0.0
1993-07-28,0.0
1993-07-29,0.0
1993-07-30,0.0
1993-07-31,0.0
1993-08-01,0.0
1993-08-02,0.0
1993-08-03,0.0
1993-08-04,0.0
1993-08-05,0.0
1993-08-06,0.0
1993-08-07,0.0
1993-08-08,0.0
1993-08-09,0.0
1993-08-10,0.0
1993-08-11,0.0
1993-08-12,0.0
1993-08-13,0.0
1993-08-14,0.0
1993-08-15,0.0
1993-08-16,0.0
1993-08-17,0.0
1993-08-18,0.0
1993-08-19,0.0
1993-08-20,0.0
1993-08-21,0.0
1993-08-22,0.0
1993-08-23,0.0
1993-08-24,0.0
1993-08-25,0.0
1993-08-26,0.0
1993-08-27,0.0
1993-08-28,0.0
1993-08-29,0.0
1993-08-30,0.0
1993-08-31,0.0
1993-09-01,0.0
1993-09-02,0.0
1993-09-03,0.0
1993-09-04,0.0
1993-09-05,0.0
1993-09-06,0.0
1993-09-07,0.0
1993-09-08,0.0
1993-09-09,0.0
1993-09-10,0.0
1993-09-11,0.0
1993-09-12,0.0
1993-09-13,0.0
1993-09-14,0.0
1993-09-15,0.0
1993-09-16,0.0
1993-09-17,0.0
1993-09-18,0.0
1993-09-19,0.0
1993-09-20,0.0
1993-09-21,0.0
1993-09-22,0.0
1993-09-23,0.0
1993-09-24,0.0
1993-09-25,0.0
1993-09-26,0.0
1993-09-27,0.0
1993-09-28,0.0
1993-09-29,0.0
1993-09-30,0.0
1993-10-01,0.0
1993-10-02,0.0
1993-10-03,0.0
1993-10-04,0.0
1993-10-05,0.0
1993-10-06,0.0
1993-10-07,0.0
1993-10-08,0.0
1993-10-09,0.0
1993-10-10,0.0
1993-10-11,0.0
1993-10-12,0.0
1993-10-13,0.0
1993-10-14,0.0
1993-10-15,0.0
1993-10-16,0.0
1993-10-17,0.0
1993-10-18,0.0
1993-10-19,0.0
1993-10-20,0.0
1993-10-21,0.0
1993-10-22,0.0
1993-10-23,0.0
1993-10-24,0.0
1993-10-25,0.0
1993-10-26,0.0
1993-10-27,0.0
1993-10-28,0.0
1993-10-29,0.0
1993-10-30,0.0
1993-10-31,0.0
1993-11-01,0.0
1993-11-02,0.0
1993-11-03,0.0
1993-11-04,0.0
1993-11-05,0.0
1993-11-06,0.0
1993-11-07,0.0
1993-11-08,0.0
1993-11-09,0.0
1993-11-10,0.0
1993-11-11,0.0
1993-11-12,0.0
1993-11-13,0.0
1993-11-14,0.0
1993-11-15,0.0
1993-11-16,0.0
1993-11-17,0.0
1993-11-18,0.0
1993-11-19,0.0
1993-11-20,0.0
1993-11-21,0.0
1993-11-22,0.0
1993-11-23,0.0
1993-11-24,0.0
1993-11-25,0.0
1993-11-26,0.0
1993-11-27,0.0
1993-11-28,0.0
1993-11-29,0.0
1993-11-30,0.0
1993-12-01,0.0
1993-12-02,0.0
1993-12-03,0.0
1993-12-04,0.0
1993-12-05,0.0
1993-12-06,0.0
1993-12-07,0.0
1993-12-08,0.0
1993-12-09,0.0
1993-12-10,0.0
1993-12-11,0.0
1993-12-12,0.0
1993-12-13,0.0
1993-12-14,0.0
1993-12-15,0.0
1993-12-16,0.0
1993-12-17,0.0
1993-12-18,0.0
1993-12-19,0.0
1993-12-20,0.0
1993-12-21,1.4179
1993-12-22,0.40326
1993-12-23,0.10069
1993-12-24,0.034872
1993-12-25,0.014672
1993-12-26,0.0085963
1993-12-27,0.35972
1993-12-28,0.20696
1993-12-29,0.079611
1993-12-30,0.034639
1993-12-31,0.16809
