time,rdis
1992-01-01,0.043039
1992-01-02,0.018366
1992-01-03,0.0073744
1992-01-04,0.0027628
1992-01-05,0.0010514
1992-01-06,0.00037292
1992-01-07,0.00011457
1992-01-08,1.5925e-05
1992-01-09,1.4321e-06
1992-01-10,1.2386e-07
1992-01-11,1.0322e-08
1992-01-12,1.2902e-09
1992-01-13,0.0
1992-01-14,0.0
1992-01-15,0.0
1992-01-16,0.0
1992-01-17,0.0
1992-01-18,0.0
1992-01-19,0.0
1992-01-20,0.0
1992-01-21,0.0
1992-01-22,0.0
1992-01-23,0.0
1992-01-24,0.0
1992-01-25,0.0
1992-01-26,0.0
1992-01-27,0.0
1992-01-28,0.0
1992-01-29,0.0
1992-01-30,0.0
1992-01-31,0.0
1992-02-01,0.0
1992-02-02,0.0
1992-02-03,2.1316
1992-02-04,1.382
1992-02-05,0.57375
1992-02-06,0.26396
1992-02-07,0.12989
1992-02-08,0.065626
1992-02-09,0.033275
1992-02-10,0.062175
1992-02-11,0.026822
1992-02-12,0.012282
1992-02-13,0.0063597
1992-02-14,0.0041081
1992-02-15,0.0031884
1992-02-16,0.0054506
1992-02-17,0.0034653
1992-02-18,0.0023687
1992-02-19,0.0047532
1992-02-20,0.03805
1992-02-21,0.029048
1992-02-22,0.014156
1992-02-23,0.0067774
1992-02-24,0.0037081
1992-02-25,0.0023608
1992-02-26,0.0058872
1992-02-27,2.0352
1992-02-28,0.74535
1992-02-29,0.25077
1992-03-01,0.11162
1992-03-02,0.059337
1992-03-03,0.034225
1992-03-04,0.020724
1992-03-05,0.014927
1992-03-06,0.013208
1992-03-07,0.012028
1992-03-08,0.011053
1992-03-09,0.010251
1992-03-10,0.0098167
1992-03-11,0.0094018
1992-03-12,0.0094005
1992-03-13,0.01036
1992-03-14,0.010213
1992-03-15,0.012234
1992-03-16,0.0092291
1992-03-17,0.0078421
1992-03-18,0.010322
1992-03-19,0.0080661
1992-03-20,0.0081073
1992-03-21,0.0079966
1992-03-22,0.0068655
1992-03-23,0.0063148
1992-03-24,0.0094368
1992-03-25,0.010551
1992-03-26,0.0091531
1992-03-27,0.0066749
1992-03-28,0.0061355
1992-03-29,0.011549
1992-03-30,0.0088717
1992-03-31,0.0068976
1992-04-01,0.0058495
1992-04-02,0.01134
1992-04-03,0.0072223
1992-04-04,0.0051163
1992-04-05,0.0040896
1992-04-06,0.0035544
1992-04-07,0.0032591
1992-04-08,0.0031677
1992-04-09,0.0030056
1992-04-10,0.0023582
1992-04-11,0.0018309
1992-04-12,0.0020237
1992-04-13,0.0019491
1992-04-14,0.0015058
1992-04-15,0.0010357
1992-04-16,0.00087992
1992-04-17,0.00089856
1992-04-18,0.00082561
1992-04-19,0.00064483
1992-04-20,0.00047054
1992-04-21,0.0002634
1992-04-22,0.00010078
1992-04-23,9.3874e-05
1992-04-24,8.9708e-06
1992-04-25,7.7929e-07
1992-04-26,6.7091e-08
1992-04-27,6.451e-09
1992-04-28,0.0
1992-04-29,0.0
1992-04-30,0.0
1992-05-01,0.0
1992-05-02,0.0
1992-05-03,0.0
1992-05-04,0.0
1992-05-05,0.0
1992-05-06,0.0
1992-05-07,0.0
1992-05-08,0.0
1992-05-09,0.0
1992-05-10,0.0
1992-05-11,0.0
1992-05-12,0.0
1992-05-13,0.0
1992-05-14,0.0
1992-05-15,0.0
1992-05-16,0.0
1992-05-17,0.0
1992-05-18,0.0
1992-05-19,0.0
1992-05-20,0.0
1992-05-21,0.0
1992-05-22,0.0
1992-05-23,0.0
1992-05-24,0.0
1992-05-25,0.0
1992-05-26,0.0
1992-05-27,0.0
1992-05-28,0.0
1992-05-29,0.0
1992-05-30,0.0
1992-05-31,0.0
1992-06-01,0.0
1992-06-02,0.0
1992-06-03,0.0
1992-06-04,0.0
1992-06-05,0.0
1992-06-06,0.0
1992-06-07,0.0
1992-06-08,0.0
1992-06-09,0.0
1992-06-10,0.0
1992-06-11,0.0
1992-06-12,0.0
1992-06-13,0.0
1992-06-14,0.0
1992-06-15,0.0
1992-06-16,0.0
1992-06-17,0.0
1992-06-18,0.0
1992-06-19,0.0
1992-06-20,0.0
1992-06-21,0.0
1992-06-22,0.0
1992-06-23,0.0
1992-06-24,0.0
1992-06-25,0.0
1992-06-26,0.0
1992-06-27,0.0
1992-06-28,0.0
1992-06-29,0.0
1992-06-30,0.0
1992-07-01,0.0
1992-07-02,0.0
1992-07-03,0.0
1992-07-04,0.0
1992-07-05,0.0
1992-07-06,0.0
1992-07-07,0.0
1992-07-08,0.0
1992-07-09,0.0
1992-07-10,0.0
1992-07-11,0.0
1992-07-12,0.0
1992-07-13,0.0
1992-07-14,0.0
1992-07-15,0.0
1992-07-16,0.0
1992-07-17,0.0
1992-07-18,0.0
1992-07-19,0.0
1992-07-20,0.0
1992-07-21,0.0
1992-07-22,0.0
1992-07-23,0.0
1992-07-24,0.0
1992-07-25,0.0
1992-07-26,0.0
1992-07-27,0.0
1992-07-28,0.0
1992-07-29,0.0
1992-07-30,0.0
1992-07-31,0.0
1992-08-01,0.0
1992-08-02,0.0
1992-08-03,0.0
1992-08-04,0.0
1992-08-05,0.0
1992-08-06,0.0
1992-08-07,0.0
1992-08-08,0.0
1992-08-09,0.0
1992-08-10,0.0
1992-08-11,0.0
1992-08-12,0.0
1992-08-13,0.0
1992-08-14,0.0
1992-08-15,0.0
1992-08-16,0.0
1992-08-17,0.0
1992-08-18,0.0
1992-08-19,0.0
1992-08-20,0.0
1992-08-21,0.0
1992-08-22,0.0
1992-08-23,0.0
1992-08-24,0.0
1992-08-25,0.0
1992-08-26,0.0
1992-08-27,0.0
1992-08-28,0.0
1992-08-29,0.0
1992-08-30,0.0
