time,rdis
2035-01-01,0.049947
2035-01-02,0.048841
2035-01-03,0.042636
2035-01-04,0.035992
2035-01-05,0.029486
2035-01-06,0.022915
2035-01-07,0.016276
2035-01-08,0.007744
2035-01-09,0.0032108
2035-01-10,0.0015301
2035-01-11,0.0090329
2035-01-12,0.02287
2035-01-13,0.025533
2035-01-14,0.020357
2035-01-15,0.0154
2035-01-16,0.046639
2035-01-17,0.067531
2035-01-18,0.23277
2035-01-19,0.20445
2035-01-20,0.3235
2035-01-21,0.27549
2035-01-22,0.23731
2035-01-23,0.21111
2035-01-24,0.18866
2035-01-25,0.16806
2035-01-26,0.14906
2035-01-27,0.13156
2035-01-28,0.11542
2035-01-29,0.10017
2035-01-30,0.091006
2035-01-31,0.096435
2035-02-01,0.48979
2035-02-02,0.33116
2035-02-03,0.24127
2035-02-04,0.19907
2035-02-05,0.20221
2035-02-06,0.1859
2035-02-07,0.16689
2035-02-08,0.14819
2035-02-09,0.1921
2035-02-10,2.6428
2035-02-11,1.0547
2035-02-12,0.54782
2035-02-13,0.40192
2035-02-14,0.33705
2035-02-15,0.29944
2035-02-16,0.27051
2035-02-17,0.24402
2035-02-18,0.22146
2035-02-19,0.19773
2035-02-20,0.24361
2035-02-21,0.23611
2035-02-22,0.21627
2035-02-23,0.1956
2035-02-24,0.17509
2035-02-25,0.15505
2035-02-26,0.13755
2035-02-27,0.12626
2035-02-28,0.11056
2035-03-01,0.097993
2035-03-02,0.085302
2035-03-03,0.071977
2035-03-04,0.34983
2035-03-05,0.29218
2035-03-06,0.22576
2035-03-07,0.18994
2035-03-08,0.20943
2035-03-09,0.19711
2035-03-10,0.17497
2035-03-11,0.15367
2035-03-12,0.1339
2035-03-13,0.11615
2035-03-14,0.099407
2035-03-15,0.083306
2035-03-16,0.067989
2035-03-17,0.054507
2035-03-18,0.046289
2035-03-19,0.027192
2035-03-20,0.018703
2035-03-21,0.01635
2035-03-22,0.01556
2035-03-23,0.014901
2035-03-24,0.014514
2035-03-25,0.017038
2035-03-26,0.01423
2035-03-27,0.013695
2035-03-28,0.016996
2035-03-29,0.013889
2035-03-30,0.015659
2035-03-31,0.019655
2035-04-01,0.018127
2035-04-02,0.013191
2035-04-03,0.011524
2035-04-04,0.01135
2035-04-05,0.010988
2035-04-06,0.010436
2035-04-07,0.0099125
2035-04-08,0.0094519
2035-04-09,0.0092588
2035-04-10,0.0090349
2035-04-11,0.0085919
2035-04-12,0.0079788
2035-04-13,0.0074101
2035-04-14,0.0068191
2035-04-15,0.0063802
2035-04-16,0.006031
2035-04-17,0.0057198
2035-04-18,0.0053947
2035-04-19,0.0048303
2035-04-20,0.0041908
2035-04-21,0.0043663
2035-04-22,0.004787
2035-04-23,0.0047053
2035-04-24,0.004393
2035-04-25,0.0040978
2035-04-26,0.012502
2035-04-27,0.0065493
2035-04-28,0.0049564
2035-04-29,0.0041309
2035-04-30,0.0030268
2035-05-01,0.0023352
2035-05-02,0.0018832
2035-05-03,0.0014672
2035-05-04,0.0013264
2035-05-05,0.0012231
2035-05-06,0.0010471
2035-05-07,0.001024
2035-05-08,0.00074403
2035-05-09,0.0013407
2035-05-10,0.00079548
2035-05-11,0.0011719
2035-05-12,0.00064889
2035-05-13,0.00043247
2035-05-14,4.9763e-05
2035-05-15,4.4035e-06
2035-05-16,3.819e-07
2035-05-17,3.3545e-08
2035-05-18,2.5804e-09
2035-05-19,0.0
2035-05-20,0.0
2035-05-21,0.0
2035-05-22,0.0
2035-05-23,0.0
2035-05-24,0.0
2035-05-25,0.0
2035-05-26,0.0
2035-05-27,0.0
2035-05-28,0.0
2035-05-29,0.0
2035-05-30,0.0
2035-05-31,0.0
2035-06-01,0.0
2035-06-02,0.0
2035-06-03,0.0
2035-06-04,0.0
2035-06-05,0.0
2035-06-06,0.0
2035-06-07,0.0
2035-06-08,0.0
2035-06-09,0.0
2035-06-10,0.0
2035-06-11,0.0
2035-06-12,0.0
2035-06-13,0.0
2035-06-14,0.0
2035-06-15,0.0
2035-06-16,0.0
2035-06-17,0.0
2035-06-18,0.0
2035-06-19,0.0
2035-06-20,0.0
2035-06-21,0.0
2035-06-22,0.0
2035-06-23,0.0
2035-06-24,0.0
2035-06-25,0.0
2035-06-26,0.0
2035-06-27,0.0
2035-06-28,0.0
2035-06-29,0.0
2035-06-30,0.0
2035-07-01,0.0
2035-07-02,0.0
2035-07-03,0.0
2035-07-04,0.0
2035-07-05,0.0
2035-07-06,0.0
2035-07-07,0.0
2035-07-08,0.0
2035-07-09,0.0
2035-07-10,0.0
2035-07-11,0.0
2035-07-12,0.0
2035-07-13,0.0
2035-07-14,0.0
2035-07-15,0.0
2035-07-16,0.0
2035-07-17,0.0
2035-07-18,0.0
2035-07-19,0.0
2035-07-20,0.0
2035-07-21,0.0
2035-07-22,0.0
2035-07-23,0.0
2035-07-24,0.0
2035-07-25,0.0
2035-07-26,0.0
2035-07-27,0.0
2035-07-28,0.0
2035-07-29,0.0
2035-07-30,0.0
2035-07-31,0.0
2035-08-01,0.0
2035-08-02,0.0
2035-08-03,0.0
2035-08-04,0.0
2035-08-05,0.0
2035-08-06,0.0
2035-08-07,0.0
2035-08-08,0.0
2035-08-09,0.0
2035-08-10,0.0
2035-08-11,0.0
2035-08-12,0.0
2035-08-13,0.0
2035-08-14,0.0
2035-08-15,0.0
2035-08-16,0.0
2035-08-17,0.0
2035-08-18,0.0
2035-08-19,0.0
2035-08-20,0.0
2035-08-21,0.0
2035-08-22,0.0
2035-08-23,0.0
2035-08-24,0.0
2035-08-25,0.0
2035-08-26,0.0
2035-08-27,0.0
2035-08-28,0.0
2035-08-29,0.0
2035-08-30,0.0
2035-08-31,0.0
2035-09-01,0.0
2035-09-02,0.0
2035-09-03,0.0
2035-09-04,0.0
2035-09-05,0.0
2035-09-06,0.0
2035-09-07,0.0
2035-09-08,0.0
2035-09-09,0.0
2035-09-10,0.0
2035-09-11,0.0
2035-09-12,0.0
2035-09-13,0.0
2035-09-14,0.0
2035-09-15,0.0
2035-09-16,0.0
2035-09-17,0.0
2035-09-18,0.0
2035-09-19,0.0
2035-09-20,0.0
2035-09-21,0.0
2035-09-22,0.0
2035-09-23,0.0
2035-09-24,0.0
2035-09-25,0.0
2035-09-26,0.0
2035-09-27,0.0
2035-09-28,0.0
2035-09-29,0.0
2035-09-30,0.0
2035-10-01,0.0
2035-10-02,0.0
2035-10-03,0.0
2035-10-04,0.0
2035-10-05,0.0
2035-10-06,0.0
2035-10-07,0.0
2035-10-08,0.0
2035-10-09,0.0
2035-10-10,0.0
2035-10-11,0.0
2035-10-12,0.0
2035-10-13,0.0
2035-10-14,0.0
2035-10-15,0.0
2035-10-16,0.0
2035-10-17,0.0
2035-10-18,0.0
2035-10-19,0.0
2035-10-20,0.0
2035-10-21,0.0
2035-10-22,0.0
2035-10-23,0.0
2035-10-24,0.0
2035-10-25,0.0
2035-10-26,0.0
2035-10-27,0.0
2035-10-28,0.0
2035-10-29,0.0
2035-10-30,0.0
2035-10-31,0.0
2035-11-01,0.0
2035-11-02,0.0
2035-11-03,0.0
2035-11-04,0.0
2035-11-05,0.0
2035-11-06,0.0
2035-11-07,0.0
2035-11-08,0.0
2035-11-09,0.0
2035-11-10,0.0
2035-11-11,0.0
2035-11-12,0.0
2035-11-13,0.0
2035-11-14,0.0
2035-11-15,0.0
2035-11-16,0.0
2035-11-17,0.0
2035-11-18,0.0
2035-11-19,0.0
2035-11-20,0.0
2035-11-21,0.0
2035-11-22,0.0
2035-11-23,0.0
2035-11-24,0.0
2035-11-25,0.0
2035-11-26,0.0
2035-11-27,0.0
2035-11-28,0.0
2035-11-29,0.0
2035-11-30,0.0
2035-12-01,0.0
2035-12-02,0.0
2035-12-03,0.0
2035-12-04,0.0
2035-12-05,0.0
2035-12-06,0.0
2035-12-07,0.0
2035-12-08,0.0
2035-12-09,0.0
2035-12-10,0.0
2035-12-11,0.0
2035-12-12,0.0
2035-12-13,0.0
2035-12-14,0.0
2035-12-15,0.0
2035-12-16,0.0
2035-12-17,0.0
2035-12-18,0.0
2035-12-19,0.0
2035-12-20,0.0
2035-12-21,0.0
2035-12-22,0.0
2035-12-23,0.0
2035-12-24,2.1127
2035-12-25,0.60587
2035-12-26,0.1413
2035-12-27,0.046501
2035-12-28,0.020708
2035-12-29,0.0089333
2035-12-30,0.0042424
2035-12-31,2.4711
